method,representation,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,37f,37,1.0,5,42,iid,42,4096,0.1,40,34,0.3547409825571871,252.23933249492256,61.510890372992435,313.750222867915
FedProx,37f,37,1.0,5,42,alpha_0p1,42,4096,0.1,40,37,0.28527422258876634,257.7669631730387,61.94194812399655,319.70891129703523
FedProx,37f,37,1.0,5,42,alpha_0p5,42,4096,0.1,40,37,0.3243080990255064,256.70131400399987,62.27448824800376,318.97580225200363
FedProx,37f,37,1.0,5,42,alpha_1p0,42,4096,0.1,40,33,0.3759960791317454,256.74874512700626,62.331585914012976,319.08033104101924
FedProx,37f,37,1.0,5,43,iid,42,4096,0.1,40,34,0.353313565442191,256.11290562205977,62.76685753800848,318.87976316006825
FedProx,37f,37,1.0,5,43,alpha_0p1,42,4096,0.1,40,29,0.1604945360526898,256.6885742890081,61.91500758402981,318.6035818730379
FedProx,37f,37,1.0,5,43,alpha_0p5,42,4096,0.1,40,22,0.31677838159910593,256.63639196807344,62.43967995798448,319.0760719260579
FedProx,37f,37,1.0,5,43,alpha_1p0,42,4096,0.1,40,35,0.37205240340522916,252.21111829601432,61.445363038015785,313.6564813340301
FedProx,37f,37,1.0,5,44,iid,42,4096,0.1,40,40,0.3595109734415097,250.65987374806718,61.2614465419756,311.9213202900428
FedProx,37f,37,1.0,5,44,alpha_0p1,42,4096,0.1,40,30,0.2179691822056439,256.57403209291806,62.68639058298868,319.26042267590674
FedProx,37f,37,1.0,5,44,alpha_0p5,42,4096,0.1,40,38,0.3051086588242666,258.3993901280628,62.64030712396925,321.03969725203206
FedProx,37f,37,1.0,5,44,alpha_1p0,42,4096,0.1,40,36,0.27510481666688447,258.66032128897496,62.63159816701227,321.2919194559872
