round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1e-05,1.9427355328198446,9.029570370318748e-06,1.9427448712651425,1673190.71875,1.8802429826382945,0.9483463583066977,0.3126275015551629,0.2189860765424263,0.3126275015551629,0.2410543352923876,0.9539589051787676,0.26162098672796075,0.0,0.0,0.9937632097651333,0.9723687420850228,0.9829495739595628,344284,336872,0.14831981460023175,0.3710144927536232,0.2119205298013245,345,863,0.11190817790530846,0.24,0.15264187866927592,325,697,0.11538461538461539,0.010356731875719217,0.01900739176346357,869,78,0.18922852983988356,0.35706739911261354,0.24736533957845433,4733,8931,0.3159602901870943,0.49447266208544965,0.38555620267909146,3347,5238,0.29256885501472374,0.6799516908212561,0.4091074240038755,2484,5773,0.022727272727272728,0.0010432968179447052,0.00199501246882793,1917,88,0.0,0.0,0.0,214,2,0.0,0.0,0.0,24,0,1.9028347730636597,6.080217190174153e-06,1.9028418064117432,284984.21875,0.017364390194416046,279480,69,1.593863218507438,1.0961877919999097,1.8559012413024902,1.0648589523043483e-05,1.8559118509292603,377454.1875,0.5212511420249939,433365,106,2.208596047014648,1.665009790998738,2.174067497253418,1.1827082744275685e-06,2.1740686893463135,276029.5625,0.040745142847299576,78267,20,0.8224824759048557,0.3322748330010654,1.8575575351715088,1.5894478565314785e-05,1.8575738668441772,360039.625,0.5797637104988098,519008,127,2.8131781065237114,1.9838186249999126,1.9719871282577515,8.826038538245484e-06,1.9719961881637573,374683.125,0.10878588259220123,363071,89,2.0659954851719213,1.3620648329997493,6.439355873999375,0.0024466249997203704,6.441802498999095,1.5293541670016566,7.971156666000752,0.02184291800040228
2,1e-05,1.624042573740039,7.593189841143248e-06,1.6240501378793175,1673191.03125,1.6075148944867237,0.963580277903286,0.4170702427251922,0.3302324781003844,0.4170702427251922,0.34697492352583137,0.966837851579622,0.2931976653074743,0.0,0.0,0.9965199674961431,0.9831127789847917,0.989770972722594,344284,339652,0.13742875237492083,0.6289855072463768,0.22557172557172558,345,1579,0.11458333333333333,0.06769230769230769,0.0851063829787234,325,192,0.1111111111111111,0.011507479861910242,0.020855057351407715,869,90,0.42011732229123533,0.5144728502007183,0.46253205432614686,4733,5796,0.3048941798941799,0.4132058559904392,0.3508816440441456,3347,4536,0.4631639063392347,0.6529790660225443,0.5419311727363849,2484,3502,0.4277088225427709,0.6651017214397497,0.5206206614944875,1917,2981,0.32679738562091504,0.2336448598130841,0.2724795640326976,214,153,0.0,0.0,0.0,24,61,1.6241974830627441,5.206976311455946e-06,1.6242026090621948,284984.28125,0.8747602701187134,279480,69,1.54201725340867,1.0497484170009557,1.5367035865783691,7.3555329436203465e-06,1.5367107391357422,377454.34375,0.9223172068595886,433365,106,1.8386182854620765,1.6097537909990933,1.8202956914901733,1.1307383829262108e-06,1.8202967643737793,276029.59375,0.7425990700721741,78267,20,0.7087934239501137,0.2902983330004645,1.546592116355896,1.471331597713288e-05,1.5466067790985107,360039.6875,0.9312939047813416,519008,127,2.4612900920351706,1.9106448749989795,1.6417533159255981,7.566601652797544e-06,1.641761064529419,374683.125,0.7939714193344116,363071,89,1.8691082755291952,1.3558272080008464,6.216272624000339,0.0011998749996564584,6.217472498999996,1.533382542000254,7.75085504100025,0.02440879299865628
3,1e-05,1.4391574325487466,5.014371185621027e-06,1.4391624939853418,1673190.96875,1.4988156232080232,0.9651449481511232,0.4758869771994676,0.3091774745389416,0.4758869771994676,0.3321094355285407,0.9694181441648486,0.3353768841474811,0.0,0.0,0.9998110812645747,0.9837982595763962,0.991740038122901,344284,338770,0.0,0.0,0.0,345,1,0.11660397635679742,0.6676923076923077,0.19853613906678866,325,1861,0.15384615384615385,0.011507479861910242,0.021413276231263382,869,65,0.502906976744186,0.6944855271497993,0.5833703079243944,4733,6536,0.30652269722344644,0.4155960561697042,0.35282181357006975,3347,4538,0.4650229357798165,0.6529790660225443,0.5432016075016745,2484,3488,0.40433001755412523,0.3604590505998957,0.38113623827909543,1917,1709,0.07840342124019957,0.514018691588785,0.1360544217687075,214,1403,0.06432748538011696,0.4583333333333333,0.11282051282051282,24,171,1.4539144039154053,4.455664111446822e-06,1.4539185762405396,284984.28125,0.9240410923957825,279480,69,1.3618767028459193,1.0230366249998042,1.4008328914642334,4.2764927457028534e-06,1.4008374214172363,377454.1875,0.9443425536155701,433365,106,1.345983507874833,1.6305508330005978,1.584547519683838,1.1710193348335451e-06,1.5845485925674438,276029.59375,0.839792013168335,78267,20,0.6846507179299867,0.29228062499896623,1.3466713428497314,7.4440704338485375e-06,1.3466790914535522,360039.65625,0.9602973461151123,519008,127,1.8157548033607955,1.9314611669997248,1.4483036994934082,6.67932135911542e-06,1.448310375213623,374683.25,0.9129261374473572,363071,89,1.6343777896089615,1.34726637499989,6.224595624998983,0.001480790999266901,6.22607641599825,1.505008292000639,7.731084707998889,0.021752542001195252
4,1e-05,1.3570902470190194,4.218240087355412e-06,1.357094318580485,1673191.0,1.4294070711909062,0.9649664474454875,0.4936574541569995,0.3376710199231511,0.4936574541569995,0.33221426634246326,0.9694847857454061,0.34969784837373064,0.0,0.0,0.9998966478467317,0.9835281337500436,0.9916448489747149,344284,338648,0.0,0.0,0.0,345,1,0.11432850723914129,0.7046153846153846,0.19673539518900343,325,2003,0.41935483870967744,0.014959723820483314,0.028888888888888888,869,31,0.5061320754716981,0.6801183181914219,0.5803659965744163,4733,6360,0.31253978357733925,0.4400956080071706,0.36550868486352356,3347,4713,0.4665133659097442,0.6533816425120773,0.54435686734865,2484,3479,0.432807570977918,0.35785080855503393,0.3917761279268989,1917,1585,0.07784011220196353,0.5186915887850467,0.1353658536585366,214,1426,0.0472972972972973,0.5833333333333334,0.0875,24,296,1.3789390325546265,4.236766017129412e-06,1.3789430856704712,284984.3125,0.9443967342376709,279480,69,1.4019881089060762,1.0554160829997272,1.319820523262024,2.8862248200312024e-06,1.319823145866394,377454.25,0.9514774084091187,433365,106,1.1036901825435292,1.6227435000000696,1.4882017374038696,1.114427504944615e-06,1.488202691078186,276029.59375,0.8829519748687744,78267,20,0.6644477391220928,0.2883886669987987,1.2895008325576782,6.653792297584005e-06,1.289507269859314,360039.65625,0.9613609313964844,519008,127,1.5997686557160768,1.9045124580006814,1.3463753461837769,5.492233412951464e-06,1.3463808298110962,374683.1875,0.9345003962516785,363071,89,1.3983801265220892,1.3583045420000417,6.229365249999319,0.0012025839987472864,6.230567833998066,1.5329023340000276,7.7634701679980935,0.025310125000032713
5,1e-05,1.2886696151621522,3.4798388525949043e-06,1.2886731824478561,1673190.90625,1.3878243701671786,0.9670582525896547,0.5129446380509123,0.3475115708770839,0.5129446380509123,0.3647688743383723,0.9710870389285601,0.36722581452308983,0.010443864229765013,0.005797101449275362,0.9999055403534561,0.9838883015185138,0.9918322589901516,344284,338769,0.05263157894736842,0.005797101449275362,0.010443864229765013,345,38,0.11292795094532447,0.68,0.1936897458369851,325,1957,0.23809523809523808,0.01726121979286536,0.032188841201716736,869,63,0.5665145665145666,0.6820198605535601,0.6189243600805292,4733,5698,0.33276047261009667,0.4628025097101882,0.3871532116970757,3347,4655,0.4666283084004603,0.6529790660225443,0.5442953020134228,2484,3476,0.4066216650594664,0.6598852373500261,0.5031821797931583,1917,3111,0.2682926829268293,0.3598130841121495,0.3073852295409182,214,287,0.030737704918032786,0.625,0.05859375,24,488,1.3020387887954712,3.6571691452991217e-06,1.3020422458648682,284984.28125,0.9512093663215637,279480,69,1.1950364799260877,1.047458375000133,1.2884575128555298,3.436903170950245e-06,1.2884612083435059,377454.15625,0.9525273442268372,433365,106,1.1360093603662527,1.5905539999985194,1.3847657442092896,9.320818321612023e-07,1.3847668170928955,276029.625,0.897862434387207,78267,20,0.5914963783155451,0.28914987499956624,1.2104462385177612,4.4858866203867365e-06,1.2104507684707642,360039.6875,0.963936984539032,519008,127,1.4302006228012911,1.9423533329991187,1.2830866575241089,4.2984215724573005e-06,1.2830913066864014,374683.15625,0.9412428736686707,363071,89,1.268479177960203,1.357819875000132,6.227335457997469,0.0012068750002072193,6.228542332997677,1.5296200419998058,7.758162374997482,0.021242626002276666
6,1e-05,1.2632144483499474,3.581420371591753e-06,1.263218277111733,1673191.0625,1.343384167119006,0.9652369875774666,0.5120808879799944,0.34798391066828854,0.5120808879799944,0.3382079983039424,0.9703406622909332,0.38786781739569515,0.010869565217391304,0.005797101449275362,0.9999143754724111,0.9836617443738309,0.9917214761366498,344284,338688,0.08695652173913043,0.005797101449275362,0.010869565217391304,345,23,0.11100702576112412,0.7292307692307692,0.1926829268292683,325,2135,0.30434782608695654,0.01611047180667434,0.030601092896174863,869,46,0.5578497686009256,0.6621593069934503,0.6055453579364313,4733,5618,0.3193096008629989,0.44218703316402747,0.37083437734903535,3347,4635,0.467163751075423,0.6557971014492754,0.5456372466923464,2484,3487,0.5401106500691563,0.4074074074074074,0.4644662503716919,1917,1446,0.07079152731326645,0.5934579439252337,0.12649402390438247,214,1794,0.022388059701492536,0.625,0.043227665706051875,24,670,1.2839210033416748,6.910619504196802e-06,1.2839279174804688,284984.34375,0.9535172581672668,279480,69,1.6054016636431767,1.057805249998637,1.2560029029846191,2.4213081815105397e-06,1.2560056447982788,377454.1875,0.9575046300888062,433365,106,0.9795279173072483,1.6214373749990045,1.356477975845337,1.0724166941145086e-06,1.3564791679382324,276029.59375,0.905515730381012,78267,20,0.5893122654038847,0.29099562499868625,1.1654341220855713,3.5982197914563585e-06,1.1654382944107056,360039.75,0.9652028679847717,519008,127,1.32080434350963,1.922284291998949,1.2799814939498901,4.0501636249246076e-06,1.2799855470657349,374683.1875,0.9458453059196472,363071,89,1.3750542838586883,1.3499215840001852,6.242444125995462,0.001193542000692105,6.243637667996154,1.5093989169999986,7.753036584996153,0.02287299900308426
7,1e-05,1.2375167562027296,3.845853407776998e-06,1.2375207717334578,1673191.03125,1.2937900968141165,0.9652732455332987,0.5059972941257307,0.33195263775693895,0.5059972941257307,0.3332074758451714,0.9701816845722278,0.4035480537954904,0.023923444976076555,0.014492753623188406,0.9999114404215436,0.983853446573178,0.9918174511265097,344284,338755,0.0684931506849315,0.014492753623188406,0.023923444976076555,345,73,0.11485148514851486,0.7138461538461538,0.1978678038379531,325,2020,0.30612244897959184,0.01726121979286536,0.032679738562091505,869,49,0.5690472012633795,0.6851890978237904,0.6217407975460123,4733,5699,0.3379007238883144,0.3904989542874216,0.3623007623007623,3347,3868,0.46527579308373823,0.6553945249597424,0.5442085910078556,2484,3499,0.36504324078288575,0.41836202399582684,0.38988818667963054,1917,2197,0.07282741738066095,0.5560747663551402,0.12878787878787878,214,1634,0.020053475935828877,0.625,0.038860103626943004,24,748,1.2948614358901978,6.9429693212441634e-06,1.2948689460754395,284984.28125,0.9532918334007263,279480,69,1.6146987764492822,1.0515932500002236,1.2313686609268188,2.809121724567376e-06,1.2313722372055054,377454.25,0.9583307504653931,433365,106,1.0133726150495335,1.6242009160014277,1.2984830141067505,8.006621214917686e-07,1.2984834909439087,276029.625,0.9098981618881226,78267,20,0.7359712546017313,0.28825462500026333,1.1468368768692017,3.5472448871587403e-06,1.1468403339385986,360039.71875,0.9662221074104309,519008,127,1.208994521035311,1.9203803750006045,1.2423158884048462,5.0649191507545765e-06,1.2423208951950073,374683.15625,0.9480624794960022,363071,89,1.4286526438644844,1.3545703330000833,6.2389994990026025,0.0012087079994671512,6.24020820700207,1.5366245839995827,7.776832791001652,0.02174545999878319
8,1e-05,1.1942156707269163,2.904338174403243e-06,1.1942185096138627,1673190.96875,1.291301589880368,0.9661545927673746,0.5089845120548668,0.33704089006488763,0.5089845120548668,0.34151320374767224,0.9708357194143258,0.4182461890460834,0.0,0.0,0.9999114404215436,0.983853446573178,0.9918174511265097,344284,338755,0.0,0.0,0.0,345,5,0.11588204862907397,0.6892307692307692,0.19840566873339238,325,1933,0.3181818181818182,0.01611047180667434,0.03066812705366922,869,44,0.5944919278252612,0.6613141770547222,0.626125225045009,4733,5265,0.33408748114630465,0.5294293397072005,0.4096636227025777,3347,5304,0.4655812624964296,0.6561996779388084,0.5446950710108605,2484,3501,0.43425414364640885,0.41001564945226915,0.421786960021465,1917,1810,0.0808448652585579,0.5186915887850467,0.13988657844990549,214,1373,0.02717391304347826,0.625,0.052083333333333336,24,552,1.189619541168213,3.0887472348695155e-06,1.1896227598190308,284984.3125,0.9573422074317932,279480,69,1.0961513427006055,1.054247750000286,1.2227859497070312,2.633558551679016e-06,1.2227888107299805,377454.25,0.9610951542854309,433365,106,0.9630084376773531,1.5947801660004188,1.2661218643188477,7.619203188369283e-07,1.266122579574585,276029.59375,0.9135523438453674,78267,20,0.5782641820407071,0.2908311669998511,1.108276605606079,3.56177770299837e-06,1.1082799434661865,360039.71875,0.9675958752632141,519008,127,1.2081992653724352,1.93258408300062,1.198536992073059,3.983435817644931e-06,1.1985405683517456,374683.09375,0.9494947195053101,363071,89,1.2496175527379576,1.354109874999267,6.226553041000443,0.0010418749989185017,6.2275949159993615,1.5143189999998867,7.741913915999248,0.023600375998285017
9,1e-05,1.180368816245755,3.1938009887322617e-06,1.1803722714700635,1673190.9375,1.2625138138830698,0.9658394274589867,0.5133634474839135,0.3438796835889002,0.5133634474839135,0.3449033182192879,0.970885522872326,0.40684760673487796,0.031746031746031744,0.018411967779056387,0.9999143802755774,0.9837169313706127,0.9917495252499667,344284,338707,0.07291666666666667,0.020289855072463767,0.031746031746031744,345,96,0.11581173982020095,0.6738461538461539,0.1976534296028881,325,1891,0.2807017543859649,0.018411967779056387,0.03455723542116631,869,57,0.6033687587728093,0.6357489964081977,0.6191358024691358,4733,4987,0.345547750142396,0.5437705407827905,0.4225679127002554,3347,5267,0.4666666666666667,0.6537842190016103,0.5446009389671361,2484,3480,0.4555490993608367,0.40897235263432447,0.43100604727872455,1917,1721,0.07968647942521227,0.5700934579439252,0.13982808022922635,214,1531,0.018633540372670808,0.625,0.03618817852834741,24,805,1.1628941297531128,3.613128001234145e-06,1.1628979444503784,284984.25,0.9582439064979553,279480,69,1.1580014795077735,1.0141002500004106,1.2085529565811157,2.36992468671815e-06,1.208555817604065,377454.25,0.9611067175865173,433365,106,0.9314523550152481,1.6106398750016524,1.2639926671981812,7.986970445017505e-07,1.263993263244629,276029.625,0.9150089025497437,78267,20,0.8954840956472815,0.28643962500063935,1.0932921171188354,4.6417935664067045e-06,1.0932973623275757,360039.65625,0.9669485092163086,519008,127,1.7146802131253973,1.9185337499984598,1.1873352527618408,4.0779050323180854e-06,1.187339425086975,374683.15625,0.9534278512001038,363071,89,1.2726086979383835,1.3357176249992335,6.165431125000396,0.001177292000647867,6.166608417001044,1.4874902080009633,7.654098625002007,0.01994149999882211
10,1e-05,1.1588092005037083,3.4468233597077743e-06,1.158812674404775,1673191.0,1.2452462699009734,0.9668295485605591,0.5173795784838445,0.3398898135272871,0.5173795784838445,0.341469232089152,0.9715184480549146,0.4126940433935179,0.00558659217877095,0.002898550724637681,0.9999144731991447,0.9847858163609113,0.9922924846237483,344284,339075,0.07692307692307693,0.002898550724637681,0.00558659217877095,345,13,0.11348528015194682,0.7353846153846154,0.19662690250925546,325,2106,0.2413793103448276,0.01611047180667434,0.030204962243797196,869,58,0.602314474650992,0.6927952672723431,0.6443942222658937,4733,5444,0.37225376450259196,0.45055273379145505,0.4076777507434442,3347,4051,0.46820143884892085,0.6549919484702094,0.5460647759691223,2484,3475,0.4316076294277929,0.4131455399061033,0.42217484008528783,1917,1835,0.06878022568511553,0.5981308411214953,0.12337349397590361,214,1861,0.02403846153846154,0.625,0.046296296296296294,24,624,1.1483402252197266,3.403403297852492e-06,1.148343801498413,284984.34375,0.959120512008667,279480,69,1.0197258782690442,1.0371844170003897,1.1868473291397095,2.409102307865396e-06,1.18684983253479,377454.28125,0.9628696441650391,433365,106,0.9470768229126458,1.6120132500000182,1.2432509660720825,8.385140972677618e-07,1.243251919746399,276029.59375,0.9175258874893188,78267,20,0.5696937653599327,0.28874104200076545,1.0929399728775024,6.572695383511018e-06,1.0929467678070068,360039.625,0.9607424139976501,519008,127,1.5677761933038865,1.8897561249996215,1.1396129131317139,3.443084551690845e-06,1.1396160125732422,374683.15625,0.9559342265129089,363071,89,1.259311418564123,1.3469138749987906,6.174608708999585,0.001711417000478832,6.176320126000064,1.52169666699956,7.698016792999624,0.0197795820004103
