round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1e-05,1.8126355702769692,2.375961156737101e-05,1.8126593086015912,1673190.953125,2.2686006903018523,0.9554557067233407,0.2801283022416962,0.2004343446110995,0.2801283022416962,0.18327243326047388,0.9525460208833707,0.24301035788935238,0.0,0.0,0.9862673687629033,0.9879518072289156,0.9871088693996715,344284,344872,0.0,0.0,0.0,345,34,0.04270777954988481,0.7415384615384616,0.08076407506702413,325,5643,0.04819277108433735,0.023014959723820484,0.03115264797507788,869,415,0.0,0.0,0.0,4733,0,0.19576719576719576,0.011054675829100687,0.02092760180995475,3347,189,0.48537134283570893,0.2604669887278583,0.33900969347655224,2484,1333,0.24603698811096433,0.7772561293688054,0.37376144487645807,1917,6056,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,1.933464765548706,2.4442715584882535e-06,1.9334672689437866,385298.9375,0.02104765735566616,93122,23,1.0946066669073673,0.3851541249987349,2.2269136905670166,2.7616994202617207e-07,2.2269136905670166,194157.296875,0.16472722589969635,25351,7,0.4990781985081314,0.14593158399839012,1.5654675960540771,0.00011229716619709507,1.5655797719955444,241801.8125,0.9388673901557922,740734,181,9.156336272943149,2.796205167000153,1.7171885967254639,1.9211298422305845e-05,1.717207908630371,508839.09375,0.5081928968429565,640310,157,2.9839108790257716,2.4440182500002265,1.758254885673523,5.333393346518278e-06,1.7582601308822632,343093.8125,0.04130151867866516,173674,43,1.5065368882804127,0.673308666999219,6.444617792996723,0.0012547500009532087,6.445872542997677,1.53087187500023,7.976744417997907,0.022232498002267675
2,1e-05,1.5754368421089986,2.8963312985578573e-05,1.5754659780523421,1673191.0625,1.8438965623031998,0.9576953327643624,0.3561371208909348,0.2223785606862645,0.3561371208909348,0.24478429132111987,0.9593254570652903,0.2949342578608776,0.0,0.0,0.995002727384702,0.9854712969525159,0.9902140762035402,344284,340986,0.0,0.0,0.0,345,0,0.08946078431372549,0.6738461538461539,0.1579516768842409,325,2448,0.06312625250501001,0.3624856156501726,0.10752688172043011,869,4990,0.0,0.0,0.0,4733,0,0.2979635584137192,0.16611891245891844,0.21331287166698637,3347,1866,0.4672060098237504,0.6509661835748792,0.543986543313709,2484,3461,0.31102627442173814,0.7224830464267084,0.434850863422292,1917,4453,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,338,1.8094576597213745,5.069017333880765e-06,1.809462547302246,385298.90625,0.8473830223083496,93122,23,1.4348312141331323,0.3388970000014524,2.086420774459839,9.625919119571336e-07,2.0864219665527344,194157.296875,0.6666403412818909,25351,7,0.7121360439924095,0.08651220799947623,1.2295862436294556,0.00014206708874553442,1.2297288179397583,241801.859375,0.9663752317428589,740734,181,6.33756546220885,2.7796875840012945,1.4271215200424194,1.7956635929294862e-05,1.4271398782730103,508839.15625,0.9470584392547607,640310,157,2.559036314158707,2.357000958001663,1.4871715307235718,8.254450222011656e-06,1.4871799945831299,343093.84375,0.9328742623329163,173674,43,1.5677943096527496,0.6576422909984103,6.2197400410022965,0.001207625000461121,6.220947666002758,1.5016047919998528,7.72255245800261,0.022106000998974196
3,1e-05,1.3756152319339634,8.617213508056183e-06,1.3756235431500456,1673190.765625,1.6943258679311375,0.9582726709841525,0.3715157605280924,0.257344267592917,0.3715157605280924,0.2526128328714662,0.9612969813691276,0.3341095962200332,0.0,0.0,0.9985542537623264,0.9850181826631502,0.9917400325485706,344284,339617,0.0,0.0,0.0,345,0,0.11278195488721804,0.6461538461538462,0.19204389574759945,325,1862,0.06035889070146819,0.42577675489067895,0.1057293899128447,869,6130,0.3125,0.0010564124234100994,0.0021057064645188463,4733,16,0.33421750663129973,0.22587391694054376,0.2695667676947763,3347,2262,0.4671658986175115,0.6529790660225443,0.544660846205507,2484,3472,0.28786417132934594,0.7782994261867501,0.42028169014084504,1917,5183,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,1.5137338638305664,4.005808477813844e-06,1.5137375593185425,385298.875,0.8859560489654541,93122,23,1.2616944436191528,0.3633422499988228,1.877488613128662,5.085902898827044e-07,1.8774893283843994,194157.28125,0.7116090059280396,25351,7,0.6002009332401742,0.08644820799963782,0.9945657849311829,2.2506250388687477e-05,0.9945882558822632,241801.734375,0.979475736618042,740734,181,3.0907390851982903,2.7809478330000275,1.302824854850769,1.2278399481147062e-05,1.3028364181518555,508839.125,0.9508332014083862,640310,157,2.071342981042284,2.3599033750015224,1.3130017518997192,3.1661354569223477e-06,1.313004732131958,343093.75,0.9512880444526672,173674,43,1.0434140311214104,0.6323697499992704,6.223011415999281,0.001216667000335292,6.224228082999616,1.5219946670003992,7.746222750000015,0.024208459000874427
4,1e-05,1.261510485717645,6.31521760772434e-06,1.2615166210748305,1673191.09375,1.5553730015385183,0.9585292657485036,0.4290273011267815,0.268093072047362,0.4290273011267815,0.2672054254348398,0.9623533219131947,0.36335423579907367,0.0,0.0,0.9987836878701579,0.9850530376084861,0.9918708460374213,344284,339551,0.0,0.0,0.0,345,0,0.11296395911780527,0.6461538461538462,0.19230769230769232,325,1859,0.05943607818007049,0.42692750287687,0.1043453803965687,869,6242,0.32098765432098764,0.01648003380519755,0.03135048231511254,4733,243,0.3407168747482884,0.25276366895727514,0.2902229845626072,3347,2483,0.46645642201834864,0.6549919484702094,0.544876088412592,2484,3488,0.3656225322453277,0.7245696400625978,0.48600419874037787,1917,3799,0.0,0.0,0.0,214,0,0.01596351197263398,0.5833333333333334,0.03107658157602664,24,877,1.346134066581726,4.30992758992943e-06,1.346138596534729,385298.90625,0.9031915068626404,93122,23,1.2379436047629258,0.3438678330003313,1.6175851821899414,3.9241490412678104e-07,1.617585301399231,194157.296875,0.7230483889579773,25351,7,0.541448580854005,0.1124180000006163,0.9153797030448914,1.6247086023213342e-05,0.9153960347175598,241801.859375,0.9789195656776428,740734,181,2.4877869820265386,2.774967041999844,1.2537463903427124,7.904906851763371e-06,1.2537535429000854,508839.21875,0.9569146037101746,640310,157,1.7959703739065527,2.4139847499991447,1.2204309701919556,2.5615831873437855e-06,1.2204334735870361,343093.8125,0.954426109790802,173674,43,0.9668586663045191,0.6374239159995341,6.28266154099947,0.0011959160001424607,6.283857456999613,1.5322789169986208,7.8161363739982335,0.023079876000338118
5,1e-05,1.1869138364476697,4.8371390811439884e-06,1.186918496330655,1673191.15625,1.4888130605116723,0.9606656960690798,0.4507700169655566,0.2676694535875478,0.4507700169655566,0.2853922975055438,0.9636364494328514,0.38881273408319916,0.0,0.0,0.9988221159509058,0.9852098848624973,0.9919693043768169,344284,339592,0.0,0.0,0.0,345,0,0.11491181186531267,0.6615384615384615,0.19581056466302368,325,1871,0.06307754118119727,0.3613348676639816,0.10740550709765692,869,4978,0.22758620689655173,0.006972321994506655,0.013530135301353014,4733,145,0.3577650308051838,0.5031371377352853,0.4181773032033772,3347,4707,0.46756990487172095,0.6529790660225443,0.5449353267260205,2484,3469,0.4178921568627451,0.711528429838289,0.5265392781316348,1917,3264,0.0,0.0,0.0,214,0,0.029069767441860465,0.625,0.05555555555555555,24,516,1.2155455350875854,3.4120894270017743e-06,1.2155489921569824,385298.875,0.9094950556755066,93122,23,1.0694776732865272,0.33705066699985764,1.5328103303909302,3.781017312576296e-07,1.5328105688095093,194157.28125,0.7338566780090332,25351,7,0.4883229247428343,0.08641204199921049,0.8381624817848206,1.1994727174169384e-05,0.8381743431091309,241801.875,0.9818382859230042,740734,181,2.1021572094955525,2.793066042000646,1.203992486000061,5.867963864147896e-06,1.2039978504180908,508839.3125,0.9593790769577026,640310,157,1.4756182307932697,2.3736884999998438,1.1794767379760742,2.3876111754361773e-06,1.1794791221618652,343093.8125,0.955284059047699,173674,43,0.9839977764937347,0.6600525409994589,6.250269791999017,0.0011673749995679827,6.251437166998585,1.499080125000546,7.750517291999131,0.023181041000498226
6,1e-05,1.1539811784040197,4.7383127493615336e-06,1.1539858476258837,1673191.0,1.4795165133957393,0.9576674420291068,0.44844591130375255,0.24769782766558865,0.44844591130375255,0.2698529823464608,0.9627469957679234,0.3959084510856847,0.0,0.0,0.999893777108967,0.9842862288110978,0.9920286185183125,344284,338910,0.0,0.0,0.0,345,0,0.09694323144104804,0.683076923076923,0.16978967495219885,325,2290,0.0540407358738502,0.378596087456847,0.094580997556418,869,6088,0.0,0.0,0.0,4733,75,0.3965591397849462,0.2754705706602928,0.3251057827926657,3347,2325,0.46883154537547117,0.6509661835748792,0.5450868026293612,2484,3449,0.4526384791871518,0.720396452790819,0.5559581320450886,1917,3051,0.0,0.0,0.0,214,0,0.008071367884451997,0.7916666666666666,0.0159798149705635,24,2354,1.1428594589233398,3.011937451447011e-06,1.1428624391555786,385298.875,0.9131676554679871,93122,23,1.0225715030907787,0.3638997090001794,1.461397409439087,3.096436103078304e-07,1.461397647857666,194157.28125,0.7612717151641846,25351,7,0.4354841837754603,0.08663537500069651,0.8280035853385925,1.1640075172181241e-05,0.8280152082443237,241801.84375,0.9813131093978882,740734,181,2.0665358005216823,2.8044868750002934,1.2055952548980713,5.977327873551985e-06,1.2056009769439697,508839.25,0.9613358974456787,640310,157,1.5142776981210708,2.3772981659985817,1.1456942558288574,2.481525143593899e-06,1.145696759223938,343093.75,0.9559692144393921,173674,43,0.919379308427979,0.6338808330001484,6.266200957999899,0.0012481670000852318,6.267449124999985,1.5393891249987064,7.806838249998691,0.023132000000259723
7,1e-05,1.1281484541447555,5.56885691190134e-06,1.12815388911931,1673190.90625,1.4531191716010812,0.9600493108199318,0.4523872222129889,0.3173680112207057,0.4523872222129889,0.28185826363707805,0.9647764070740925,0.391638394224476,0.0,0.0,0.9998702681027595,0.9849920414541483,0.9923753923139389,344284,339161,0.02857142857142857,0.002898550724637681,0.005263157894736842,345,35,0.10969637610186092,0.6892307692307692,0.189269117025771,325,2042,0.05687058100215186,0.21288837744533948,0.08976225133430374,869,3253,0.8019323671497585,0.07014578491443059,0.12900718865358463,4733,414,0.32555879494655005,0.40035853002688976,0.3591049175934611,3347,4116,0.4696180555555556,0.6533816425120773,0.5464646464646464,2484,3456,0.3735756918068367,0.7183098591549296,0.4915223987149741,1917,3686,0.0,0.0,0.0,214,0,0.007986548970155528,0.7916666666666666,0.01581356637536413,24,2379,1.093618392944336,2.7239177597948583e-06,1.093621015548706,385298.9375,0.9160885810852051,93122,23,0.9802086770650039,0.34155729199846974,1.4585477113723755,4.235929225160362e-07,1.4585480690002441,194157.296875,0.7435998320579529,25351,7,0.5020761353057068,0.11266241700104729,0.7928906679153442,9.911217603075784e-06,0.7929008603096008,241801.796875,0.9811713695526123,740734,181,2.1754030946883463,2.7675168750010926,1.1890344619750977,9.67931828199653e-06,1.1890438795089722,508839.15625,0.9629429578781128,640310,157,1.6359636498458974,2.39814537500024,1.1259324550628662,2.518927203709609e-06,1.1259347200393677,343093.71875,0.956769585609436,173674,43,0.9365859174919233,0.6375308329988911,6.257412791999741,0.0012001249997410923,6.258612916999482,1.5413451669992355,7.7999580839987175,0.022678958001051797
8,1e-05,1.1137903624219092,4.74091311114757e-06,1.11379507833586,1673191.046875,1.4169772528785212,0.960796782524781,0.4642258516346024,0.31968169916105865,0.4642258516346024,0.29315658772911446,0.9651370079152952,0.3871399723841438,0.0,0.0,0.9998968199921583,0.9851692207596054,0.992478386883922,344284,339213,0.0297029702970297,0.008695652173913044,0.013452914798206279,345,101,0.09316303531179564,0.7630769230769231,0.16605289588215602,325,2662,0.06484848484848485,0.3693901035673188,0.1103282350919402,869,4950,0.7478260869565218,0.07268117473061483,0.13248603889851723,4733,460,0.35983510011778563,0.3651030773827308,0.36244994809432,3347,3396,0.46912148448825747,0.6513687600644122,0.5454239002191135,2484,3449,0.3843460865216304,0.801773604590506,0.5196078431372549,1917,3999,0.0,0.0,0.0,214,0,0.04807692307692308,0.625,0.08928571428571429,24,312,1.0971007347106934,2.6735208393802168e-06,1.097103476524353,385298.90625,0.919288694858551,93122,23,0.983618251199578,0.3421570000009524,1.4424879550933838,3.783666500112304e-07,1.442488193511963,194157.28125,0.7646246552467346,25351,7,0.4707434150262588,0.08704237500023737,0.8008966445922852,1.1550925592018757e-05,0.800908088684082,241801.796875,0.9801440238952637,740734,181,2.0791925313640567,2.8043079580002086,1.1718482971191406,6.342669621517416e-06,1.1718544960021973,508839.28125,0.9638394117355347,640310,157,1.459324721709845,2.374589958000797,1.0809351205825806,2.356359118493856e-06,1.0809375047683716,343093.78125,0.9579499363899231,173674,43,0.9248797492972121,0.6638754579998931,6.271972749002089,0.0012772499994753161,6.273249999001564,1.5198037499994825,7.7930537490010465,0.021190458997807582
9,1e-05,1.093056850538251,4.138487521908033e-06,1.093060884745791,1673191.0625,1.4262506537959687,0.9589894628802205,0.4625941162246526,0.32510914624702225,0.4625941162246526,0.2793435255934331,0.964152960891584,0.4160376149568332,0.0,0.0,0.999908601215309,0.9850646559235979,0.9924311258791702,344284,339173,0.03571428571428571,0.008695652173913044,0.013986013986013986,345,84,0.11749209694415173,0.6861538461538461,0.200629779577148,325,1898,0.05551149881046788,0.3222094361334868,0.09470657872484356,869,5044,0.7526501766784452,0.04500316923727023,0.08492822966507177,4733,283,0.42076749435665917,0.27845832088437406,0.335131247752607,3347,2215,0.470707656612529,0.6533816425120773,0.5472016183412003,2484,3448,0.3905160390516039,0.7303077725612936,0.5089058524173028,1917,3585,0.0,0.0,0.0,214,0,0.007823613086770981,0.9166666666666666,0.015514809590973202,24,2812,1.079087257385254,2.7031339868699433e-06,1.0790899991989136,385298.875,0.9214686155319214,93122,23,0.957197633701942,0.36517875000026834,1.391474962234497,3.534597112775373e-07,1.3914753198623657,194157.28125,0.7653741240501404,25351,7,0.45186390611254196,0.08726612499958719,0.7905843257904053,1.1518925930431578e-05,0.7905954122543335,241801.90625,0.9836621284484863,740734,181,2.1841652545385575,2.8052344170009746,1.1436465978622437,4.4830426304542925e-06,1.143651008605957,508839.21875,0.9650669097900391,640310,157,1.2626193330538416,2.377266666999276,1.0780137777328491,2.1798493889946258e-06,1.0780158042907715,343093.78125,0.9587330222129822,173674,43,1.028298104237479,0.6351357090006786,6.270081668000785,0.0011060420001740567,6.271187710000959,1.533977875000346,7.805165585001305,0.02204566499858629
10,1e-05,1.0794592495665771,3.932803257041202e-06,1.0794630222978785,1673190.984375,1.3670309168587411,0.9589838847331693,0.4610589612198644,0.25217604776556646,0.4610589612198644,0.2761605301303523,0.9632772121821255,0.40271405687097567,0.0,0.0,0.9999056058335595,0.9845708775313404,0.9921789933380947,344284,339004,0.029411764705882353,0.008695652173913044,0.013422818791946308,345,102,0.10620756547041707,0.6738461538461539,0.1834939254294093,325,2062,0.05722988137223469,0.4108170310701956,0.10046433094132545,869,6238,0.0,0.0,0.0,4733,94,0.48008565310492507,0.33492680011951,0.3945793734600493,3347,2335,0.4704519119351101,0.6537842190016103,0.5471698113207547,2484,3452,0.3611770289511153,0.7939488784559207,0.496493231120535,1917,4214,0.0,0.0,0.0,214,0,0.01729106628242075,0.75,0.03380281690140845,24,1041,1.0686099529266357,2.607042461022502e-06,1.0686125755310059,385298.90625,0.9198793172836304,93122,23,0.9653757564924393,0.34006487499937066,1.4092861413955688,4.1368082293047337e-07,1.4092864990234375,194157.296875,0.7559070587158203,25351,7,0.43350443854553183,0.11237891700147884,0.734447181224823,8.53833626024425e-06,0.7344558238983154,241801.875,0.9839159250259399,740734,181,1.9504717151983266,2.7672437919991353,1.1369829177856445,5.295896698953584e-06,1.1369876861572266,508839.15625,0.966155469417572,640310,157,1.3369651517169392,2.3935829999991256,1.062834620475769,2.1456989998114295e-06,1.0628366470336914,343093.75,0.9587445259094238,173674,43,0.8804135664068977,0.634774500000276,6.248045083999386,0.0012255410001671407,6.2492706249995535,1.536136708000413,7.7854073329999665,0.022778165999625344
