method,representation,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,37f,37,0.1,5,42,iid,42,4096,0.1,40,40,0.4151349816504636,249.07417737593642,60.8535258310003,309.9277032069367
FedProx,37f,37,0.1,5,42,alpha_0p1,42,4096,0.1,40,35,0.3185088442028621,251.97486654805107,60.60810812498676,312.5829746730378
FedProx,37f,37,0.1,5,42,alpha_0p5,42,4096,0.1,40,39,0.3901769111865314,252.9051203718991,61.03594863000035,313.94106900189945
FedProx,37f,37,0.1,5,42,alpha_1p0,42,4096,0.1,40,40,0.4056456392521125,254.11027165997075,61.67690828999912,315.78717994996987
FedProx,37f,37,0.1,5,43,iid,42,4096,0.1,40,39,0.41185231230887653,251.23765483204625,61.497917245011195,312.73557207705744
FedProx,37f,37,0.1,5,43,alpha_0p1,42,4096,0.1,40,29,0.18875752894169295,254.30928904097527,61.09203358600644,315.4013226269817
FedProx,37f,37,0.1,5,43,alpha_0p5,42,4096,0.1,40,40,0.35330886557138114,255.00791121806105,61.8048628309989,316.81277404905995
FedProx,37f,37,0.1,5,43,alpha_1p0,42,4096,0.1,40,37,0.4054024443561528,251.6884584649888,61.3206997080124,313.0091581730012
FedProx,37f,37,0.1,5,44,iid,42,4096,0.1,40,40,0.4114395516022447,252.36803917391808,61.62391012303124,313.9919492969493
FedProx,37f,37,0.1,5,44,alpha_0p1,42,4096,0.1,40,17,0.2106019993506429,254.6135826259706,61.61159786999633,316.2251804959669
FedProx,37f,37,0.1,5,44,alpha_0p5,42,4096,0.1,40,37,0.34554340901219405,253.90469325300364,61.67134495803475,315.5760382110384
FedProx,37f,37,0.1,5,44,alpha_1p0,42,4096,0.1,40,33,0.30652190949379343,253.37941241903172,61.27939995597262,314.65881237500435
