round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.001,2.1007541876569977,0.0005967909293033445,2.101351100980103,1673191.0,1.9097718166992315,0.8646044257018703,0.37264747761653033,0.2341995567536556,0.37264747761653033,0.20871041263587284,0.9070928494992129,0.2516893691642858,0.0,0.0,0.9974008436605823,0.883880749613691,0.9372157879094464,344284,305099,0.05263157894736842,0.017391304347826087,0.026143790849673203,345,114,0.12083605486610059,0.5692307692307692,0.19935344827586207,325,1531,0.22727272727272727,0.005753739930955121,0.01122334455667789,869,22,0.09298239322982034,0.5478554827804775,0.15898221949724095,4733,27887,0.3752577319587629,0.05437705407827906,0.09498956158663883,3347,485,0.3756906077348066,0.6570048309178744,0.4780316344463972,2484,4344,0.05975033329293419,0.5143453312467396,0.1070633584885173,1917,16502,0.040173296573454115,0.4766355140186916,0.0741009807482746,214,2539,0.0,0.0,0.0,24,19,2.087239980697632,0.0005739208427257836,2.0878148078918457,334762.65625,0.4315878748893738,334641,82,1.678320196789436,1.2692855830027838,2.0946199893951416,0.0006395241944119334,2.09525990486145,334721.40625,0.42532870173454285,334640,82,1.7659694670028556,1.2630921249947278,2.1036853790283203,0.0006252960301935673,2.1043100357055664,334696.21875,0.4261590242385864,334638,82,1.6860775421630194,1.2817360409972025,2.116558790206909,0.0005865489365532994,2.117145299911499,334696.21875,0.39828112721443176,334638,82,1.6728093297273785,1.2751970419994905,2.101670980453491,0.0005586224142462015,2.102229356765747,334314.5,0.49408307671546936,334634,82,1.6447207776017623,1.2994807089999085,6.388791499994113,0.0012036669941153377,6.3899951669882284,1.5195237090010778,7.909518875989306,0.020218334000674076
2,0.001,1.8363485861875821,0.0005335818963043761,1.836882035467037,1673190.9375,1.6719702479015857,0.9404421239352712,0.44762592985321226,0.2637130203923278,0.44762592985321226,0.2969599547181343,0.9512253049597147,0.2649157454006915,0.027049873203719356,0.018411967779056387,0.9960702066902776,0.9614939991402447,0.9784767453374656,344284,332333,0.15849673202614378,0.2811594202898551,0.2027168234064786,345,612,0.11630123927550047,0.37538461538461537,0.17758369723435224,325,1049,0.050955414012738856,0.018411967779056387,0.027049873203719356,869,314,0.17963290069887106,0.49418973167124447,0.2634899177650107,4733,13021,0.2603823335530653,0.11801613385121004,0.16241776315789475,3347,1517,0.46079545454545456,0.6529790660225443,0.5403064623584277,2484,3520,0.3225526372910788,0.775169535732916,0.4555487431023912,1917,4607,0.059205190592051905,0.3411214953271028,0.10089841050449205,214,1233,0.03273809523809524,0.4583333333333333,0.06111111111111111,24,336,1.8114137649536133,0.0006198291666805744,1.8120328187942505,334762.59375,0.8241279721260071,334641,82,1.8269656399291492,1.2709310420032125,1.8397045135498047,0.000604740809649229,1.8403091430664062,334721.3125,0.829685628414154,334640,82,1.6880994809229837,1.2482114999947953,1.8427881002426147,0.0005367862759158015,1.843324899673462,334696.25,0.842513382434845,334638,82,1.5797621725848416,1.2693706670033862,1.846960186958313,0.000510376354213804,1.8474706411361694,334696.3125,0.8682337403297424,334638,82,1.6299415564079014,1.246050166002533,1.8408863544464111,0.0003959975438192487,1.8412822484970093,334314.46875,0.847206175327301,334634,82,1.4863651010372796,1.2608822910042363,6.295445666008163,0.001178708000225015,6.296624374008388,1.5638767499985988,7.860501124006987,0.023288874996069353
3,0.001,1.6544321843124972,0.0004583120079384129,1.6548904777940205,1673190.9375,1.5165692074084383,0.9501787796129881,0.4455569986010669,0.24916150196778192,0.4455569986010669,0.26102527742112824,0.9583409016742531,0.2946197996950486,0.012472160356347439,0.010356731875719217,0.9980834588211486,0.97413182140326,0.9859621993632277,344284,336022,0.1470404984423676,0.6840579710144927,0.24205128205128204,345,1605,0.07407407407407407,0.024615384615384615,0.03695150115473441,325,108,0.0967741935483871,0.010356731875719217,0.018711018711018712,869,93,0.3101288690834638,0.5440523980562011,0.3950598343050015,4733,8303,0.2251264755480607,0.15954586196593964,0.18674593460395175,3347,2372,0.46672428694900603,0.6521739130434783,0.5440806045340051,2484,3471,0.11562998405103668,0.07563901930099114,0.09145380006307159,1917,1254,0.05172971225347559,0.7476635514018691,0.09676443906864228,214,3093,0.006303466906798739,0.5833333333333334,0.012472160356347439,24,2221,1.6483181715011597,0.00042701256461441517,1.6487452983856201,334762.625,0.8934769034385681,334641,82,1.4635557755766508,1.289869959000498,1.6465187072753906,0.0006092078401707113,1.6471275091171265,334721.34375,0.8852558135986328,334640,82,1.663607862091473,1.2768372909995378,1.6448839902877808,0.0004373178817331791,1.645321249961853,334696.21875,0.8968616724014282,334638,82,1.3876102181155365,1.2399811669965857,1.6687982082366943,0.0004785234050359577,1.6692768335342407,334696.25,0.8919458985328674,334638,82,1.435167410386102,1.2697557499996037,1.6636543273925781,0.00033935756073333323,1.6639935970306396,334314.5,0.9007034301757812,334634,82,1.2839761638001626,1.2680614169948967,6.344505583991122,0.001585209000040777,6.346090792991163,1.5344314579997445,7.880522250990907,0.025490625004749745
4,0.001,1.5315614108514104,0.0003298722215697438,1.5318912447023707,1673190.90625,1.4287233611851613,0.960305905584283,0.4863583904846789,0.28077258450959197,0.4863583904846789,0.28812558602165683,0.965768828994547,0.32618644786700224,0.023605150214592276,0.012658227848101266,0.9998256088909908,0.9825057220201926,0.9910900024025643,344284,338320,0.14993481095176012,0.6666666666666666,0.24481106971793506,345,1534,0.102880658436214,0.07692307692307693,0.0880281690140845,325,243,0.1746031746031746,0.012658227848101266,0.023605150214592276,869,63,0.48262374003309766,0.6777942108599198,0.5637961335676626,4733,6647,0.23529411764705882,0.18882581416193606,0.20951433780871873,3347,2686,0.4674726540011514,0.6537842190016103,0.5451493789862369,2484,3474,0.12900096993210475,0.0693792383933229,0.09023066485753053,1917,1031,0.052980132450331126,0.7850467289719626,0.09926144756277695,214,3171,0.013109978150036417,0.75,0.025769506084466716,24,1373,1.5150867700576782,0.00032146397279575467,1.5154080390930176,334762.625,0.9155901670455933,334641,82,1.5652619172027613,1.2867399999959162,1.5044578313827515,0.0003619191993493587,1.504819393157959,334721.4375,0.9251613616943359,334640,82,1.2607284751252756,1.2830404590058606,1.5390427112579346,0.00031685453723184764,1.53935968875885,334696.25,0.9273812174797058,334638,82,1.194355668570103,1.3270216250020894,1.5518382787704468,0.00039161680615507066,1.552229881286621,334696.25,0.9254806637763977,334638,82,1.2656315877678221,1.251148582996393,1.5474050045013428,0.0002574231766629964,1.5476624965667725,334314.34375,0.9246789216995239,334634,82,1.0986933364091362,1.242995583001175,6.390946250001434,0.001235333998920396,6.392181584000355,1.5287398329965072,7.920921416996862,0.02307829199708067
5,0.001,1.460139706466967,0.000348279269103237,1.4604880490623857,1673191.15625,1.3713374764028072,0.9653206597832332,0.5098849722429817,0.3137476675463791,0.5098849722429817,0.3385200217659859,0.9694733342366891,0.3479155668404751,0.0,0.0,0.9998966618835882,0.9836617443738309,0.9917127638079118,344284,338694,0.0,0.0,0.0,345,16,0.11317747077577045,0.6553846153846153,0.1930222020842773,325,1882,0.20481927710843373,0.019562715765247412,0.03571428571428571,869,83,0.5133217720321614,0.6879357701246567,0.5879378837125316,4733,6343,0.2685897435897436,0.25037346877801014,0.25916189887119223,3347,3120,0.4665901921422426,0.6549919484702094,0.5449673421537431,2484,3487,0.42556484060662336,0.7172665623369848,0.5341880341880342,1917,3231,0.1276595744680851,0.5046728971962616,0.2037735849056604,214,846,0.017857142857142856,0.625,0.034722222222222224,24,840,1.4304919242858887,0.00042458760435692966,1.4309163093566895,334762.65625,0.9283949136734009,334641,82,1.223729651992479,1.310462916000688,1.4394854307174683,0.0004738192947115749,1.4399592876434326,334721.40625,0.9275609850883484,334640,82,1.5124575723323292,1.2480972499979543,1.4662282466888428,0.00027809423045255244,1.4665062427520752,334696.3125,0.9369617104530334,334638,82,1.1162988320652085,1.235218542002258,1.497177004814148,0.00033305215765722096,1.497510313987732,334696.28125,0.9358500838279724,334638,82,1.1592820575474634,1.2555362920029438,1.4673315286636353,0.00023168550978880376,1.4675636291503906,334314.5,0.9368892312049866,334634,82,0.9739013316425651,1.2362374579970492,6.285552458000893,0.0011744160001398996,6.286726874001033,1.5302715830039233,7.816998457004956,0.023576876003062353
6,0.001,1.402878608843846,0.0002667579933032107,1.4031454081761772,1673191.03125,1.3350717942287247,0.9659537794735344,0.5239666928320773,0.3428368237258941,0.5239666928320773,0.35573002452987895,0.970341008010269,0.3626466595572666,0.021536252692031587,0.018411967779056387,0.999911435454159,0.9837982595763962,0.991789405873913,344284,338736,0.14700652045050386,0.7188405797101449,0.2440944881889764,345,1687,0.09595959595959595,0.05846153846153846,0.07265774378585087,325,198,0.2857142857142857,0.018411967779056387,0.034594594594594595,869,56,0.5373961218836565,0.6968096344813015,0.6068077276908924,4733,6137,0.3163438668025824,0.27815954586196595,0.29602543720190777,3347,2943,0.46660934365147605,0.6553945249597424,0.5451197053406999,2484,3489,0.4468015665796345,0.7141366718831508,0.5496888175065248,1917,3064,0.12166859791425261,0.49065420560747663,0.19498607242339833,214,863,0.01095690284879474,0.625,0.021536252692031587,24,1369,1.370897889137268,0.0004461284261196852,1.371343970298767,334762.625,0.933424174785614,334641,82,1.2785374086057169,1.2468565829985891,1.3879997730255127,0.00027482249424792826,1.3882746696472168,334721.4375,0.9442654848098755,334640,82,1.07098628169028,1.2635058329979074,1.4156466722488403,0.00020537976524792612,1.4158519506454468,334696.21875,0.9443697333335876,334638,82,0.8888444109466848,1.2344455420025042,1.4218206405639648,0.0002237878507003188,1.4220443964004517,334696.1875,0.9440798759460449,334638,82,1.0060707937194409,1.2401346670012572,1.4180527925491333,0.00018354033818468451,1.4182367324829102,334314.5625,0.9438580870628357,334634,82,0.892036235672697,1.2571678339954815,6.2421104589957395,0.0012363339992589317,6.243346792994998,1.536806207994232,7.78015300098923,0.022007166007824708
7,0.001,1.3601594991515369,0.00031885385519936056,1.3604785564735848,1673190.71875,1.3022818652209966,0.9648493063574142,0.4981161079389788,0.31919653183914576,0.4981161079389788,0.3292480445387635,0.9698206143812186,0.3656161140789139,0.02512562814070352,0.014492753623188406,0.999914387858427,0.9838040687339522,0.9917938101463938,344284,338737,0.09433962264150944,0.014492753623188406,0.02512562814070352,345,53,0.11701526286037309,0.6369230769230769,0.1977077363896848,325,1769,0.1951219512195122,0.018411967779056387,0.033648790746582544,869,82,0.5605742296918768,0.6765265159518276,0.6131163235998085,4733,5712,0.3218210361067504,0.3674932775619958,0.3431440926210071,3347,3822,0.46793212539545587,0.6549919484702094,0.5458815634960577,2484,3477,0.34521253756977244,0.4194053208137715,0.37870937352802636,1917,2329,0.0716743119266055,0.5841121495327103,0.12768130745658834,214,1744,0.01835985312117503,0.625,0.0356718192627824,24,817,1.3623803853988647,0.0005522390129044652,1.3629329204559326,334762.65625,0.947185218334198,334641,82,1.271345218464886,1.2507653749999008,1.3367818593978882,0.00031279088580049574,1.337095022201538,334721.34375,0.9451350569725037,334640,82,1.3193823301868048,1.2596776249993127,1.3650091886520386,0.00024683948140591383,1.3652559518814087,334696.15625,0.9473968744277954,334638,82,0.936051563334058,1.2697287500050152,1.3716808557510376,0.00028076101443730295,1.371962070465088,334696.125,0.9449106454849243,334638,82,0.9284749989895839,1.2419026249990566,1.3649518489837646,0.00020145905727986246,1.365153431892395,334314.4375,0.9470406770706177,334634,82,0.8808856294635516,1.3032844589979504,6.325358834001236,0.0012932500030728988,6.326652084004309,1.5346957919973647,7.861347876001673,0.02525933199649444
8,0.001,1.3448090303954605,0.0003901207048404796,1.3451990411957453,1673190.84375,1.272485249945775,0.9644532579167852,0.5217444312660806,0.32431177207124334,0.5217444312660806,0.3354080913901891,0.9698392046853233,0.3883455167029167,0.02477632484514797,0.021538461538461538,0.9999114383300811,0.9838302099429541,0.9918056427892731,344284,338747,0.13982102908277405,0.7246376811594203,0.23441162681669012,345,1788,0.1,0.021538461538461538,0.035443037974683546,325,70,0.1696969696969697,0.03222094361334868,0.05415860735009671,869,165,0.5653357531760436,0.6581449397844918,0.6082202479742262,4733,5510,0.32179226069246436,0.3304451747833881,0.326061320754717,3347,3437,0.4675287356321839,0.6549919484702094,0.54560697518444,2484,3480,0.3936223218734429,0.41210224308815857,0.4026503567787971,1917,2007,0.07281299109481404,0.6495327102803738,0.13094677343382008,214,1909,0.012596221133659902,0.75,0.02477632484514797,24,1429,1.3119876384735107,0.0003552238631527871,1.3123424053192139,334762.625,0.949719250202179,334641,82,1.101980378230761,1.2841940420039464,1.326874017715454,0.00039293919689953327,1.3272669315338135,334721.375,0.9481502771377563,334640,82,1.1587410420662563,1.2613396250017104,1.3650116920471191,0.00028904160717502236,1.3653006553649902,334696.1875,0.9498144388198853,334638,82,1.0675804532381974,1.2548244589997921,1.3684866428375244,0.0007356120040640235,1.3692221641540527,334696.15625,0.9406343698501587,334638,82,1.6154787104818231,1.2592274579947116,1.3517009019851685,0.0001775511773303151,1.3518784046173096,334314.5,0.9495538473129272,334634,82,0.8668441781526043,1.2399857500058715,6.299571334006032,0.0012240829964866862,6.300795417002519,1.5390631660047802,7.839858583007299,0.02181887398910476
9,0.001,1.3225973657966548,0.0003111531380474411,1.3229084480573683,1673190.875,1.2702781649389203,0.9662382649731412,0.532912685464067,0.33992567916050326,0.532912685464067,0.3746956402246463,0.9714855401124757,0.38784561611655166,0.02158273381294964,0.07710011507479862,0.999914387858427,0.9838040687339522,0.9917938101463938,344284,338737,0.1276595744680851,0.12173913043478261,0.12462908011869436,345,329,0.11565017261219793,0.6184615384615385,0.19486185167232187,325,1738,0.09838472834067548,0.07710011507479862,0.08645161290322581,869,681,0.6085889570552148,0.6287766744136911,0.6185181336381586,4733,4890,0.3744343891402715,0.3955781296683597,0.3847159668749092,3347,3536,0.4683617451603583,0.6525764895330113,0.5453322119428091,2484,3461,0.4497545008183306,0.7167449139280125,0.5526950925181013,1917,3055,0.14552736982643524,0.5093457943925234,0.22637590861889928,214,749,0.010980966325036604,0.625,0.02158273381294964,24,1366,1.3306432962417603,0.0006666695117019117,1.3313099145889282,334762.625,0.9502063393592834,334641,82,1.4528019617164754,1.2494054999988293,1.2643851041793823,0.00019770681683439761,1.264582633972168,334721.40625,0.9513477087020874,334640,82,0.8317889389049317,1.2765334170035203,1.3183419704437256,0.00020835942996200174,1.31855046749115,334696.21875,0.952028751373291,334638,82,0.9048347842959334,1.2421373749966733,1.3409836292266846,0.0002548677730374038,1.341238260269165,334696.1875,0.9527817964553833,334638,82,0.940647000361663,1.2505851250025444,1.3586769104003906,0.00022800527221988887,1.3589046001434326,334314.4375,0.9512183666229248,334634,82,1.065371639626696,1.262356750004983,6.28101816700655,0.0012556250003399327,6.28227379200689,1.5335282920059399,7.81580208401283,0.023620207997737452
10,0.001,1.3104647235432176,0.0002630529570569027,1.3107277314723782,1673191.0,1.2434600906664492,0.9657724896943733,0.5497350631422382,0.3393288626671397,0.5497350631422382,0.3684577523596627,0.9712545265648985,0.402975635213865,0.020145495243424735,0.05408515535097814,0.9999143850782048,0.9837721183673943,0.9917775728027408,344284,338726,0.14109442060085836,0.7623188405797101,0.2381167949298325,345,1864,0.10734463276836158,0.05846153846153846,0.07569721115537849,325,177,0.09251968503937008,0.05408515535097814,0.0682643427741467,869,508,0.6237729406743491,0.617578702725544,0.6206603673426053,4733,4686,0.32956737393221275,0.3573349268001195,0.34288990825688076,3347,3629,0.4680358692507955,0.6513687600644122,0.5446894462211749,2484,3457,0.5064599483204134,0.7157016171100679,0.5931690445309122,1917,2709,0.11436950146627566,0.5467289719626168,0.18916734033953111,214,1023,0.01020986954055587,0.75,0.020145495243424735,24,1763,1.276850938796997,0.0001580622629262507,1.2770085334777832,334762.65625,0.9547305703163147,334641,82,1.1428015117639212,1.2425006670018774,1.2855327129364014,0.00039737977203913033,1.2859300374984741,334721.34375,0.9551547765731812,334640,82,1.2345041031336785,1.26431966599921,1.3350577354431152,0.00031406976631842554,1.335371971130371,334696.21875,0.9527608752250671,334638,82,1.006918558519582,1.274768249997578,1.3326443433761597,0.0002831095480360091,1.3329274654388428,334696.25,0.9531075358390808,334638,82,0.9732092808544607,1.2464434580033412,1.3222599029541016,0.00016253955254796892,1.3224223852157593,334314.53125,0.954045295715332,334634,82,0.8239590925945562,1.2662987080038874,6.294330749005894,0.001255499999388121,6.295586249005282,1.5156371659977594,7.811223415003042,0.02586266799335135
