method,representation,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,37f,37,0.0001,5,42,iid,42,4096,0.1,40,40,0.4244960773152311,255.43217908308725,61.832268579011725,317.264447662099
FedProx,37f,37,0.0001,5,42,alpha_0p1,42,4096,0.1,40,34,0.32290454771973515,265.57247429496056,63.432022666987905,329.00449696194846
FedProx,37f,37,0.0001,5,42,alpha_0p5,42,4096,0.1,40,38,0.40394904870064574,256.0209122110464,62.07887595499051,318.0997881660369
FedProx,37f,37,0.0001,5,42,alpha_1p0,42,4096,0.1,40,40,0.4178803910067746,249.0199592830104,60.53420225199807,309.55416153500846
FedProx,37f,37,0.0001,5,43,iid,42,4096,0.1,40,39,0.4206974680708502,252.70444600399787,61.51862274900486,314.22306875300274
FedProx,37f,37,0.0001,5,43,alpha_0p1,42,4096,0.1,40,34,0.24493740753030271,258.05927345503005,62.17425049700978,320.23352395203983
FedProx,37f,37,0.0001,5,43,alpha_0p5,42,4096,0.1,40,40,0.37584430024325177,254.63485533402127,62.06503258202429,316.69988791604555
FedProx,37f,37,0.0001,5,43,alpha_1p0,42,4096,0.1,40,35,0.446757860592489,248.79085994203342,60.67087116798211,309.46173111001553
FedProx,37f,37,0.0001,5,44,iid,42,4096,0.1,40,36,0.41872353586398586,249.87875965798594,61.26685500001622,311.14561465800216
FedProx,37f,37,0.0001,5,44,alpha_0p1,42,4096,0.1,40,36,0.2099291735698742,255.06605120698077,61.88242695898953,316.9484781659703
FedProx,37f,37,0.0001,5,44,alpha_0p5,42,4096,0.1,40,33,0.3348296601993929,251.05467404298543,61.001712164026685,312.0563862070121
FedProx,37f,37,0.0001,5,44,alpha_1p0,42,4096,0.1,40,36,0.3618274237604483,254.25150483797916,61.67494070797693,315.9264455459561
