method,representation,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,37f,37,0.001,5,42,iid,42,4096,0.1,40,39,0.43197960002192415,248.93851521598845,61.21886762498616,310.1573828409746
FedProx,37f,37,0.001,5,42,alpha_0p1,42,4096,0.1,40,31,0.3225556480591657,249.1271146599829,60.53580712299299,309.6629217829759
FedProx,37f,37,0.001,5,42,alpha_0p5,42,4096,0.1,40,34,0.4052700737017448,253.64418328406464,61.568241041015426,315.21242432508006
FedProx,37f,37,0.001,5,42,alpha_1p0,42,4096,0.1,40,38,0.417673734654218,252.95510851802828,61.60121837499901,314.5563268930273
FedProx,37f,37,0.001,5,43,iid,42,4096,0.1,40,40,0.4228922403429948,250.89344921394513,61.1691897080309,312.06263892197603
FedProx,37f,37,0.001,5,43,alpha_0p1,42,4096,0.1,40,30,0.23115384969281352,255.53089650198672,62.119076504022814,317.64997300600953
FedProx,37f,37,0.001,5,43,alpha_0p5,42,4096,0.1,40,36,0.3762107652445404,253.98332685494825,61.961502247999306,315.94482910294755
FedProx,37f,37,0.001,5,43,alpha_1p0,42,4096,0.1,40,38,0.44589089858180186,252.11201804096345,61.51689283198357,313.628910872947
FedProx,37f,37,0.001,5,44,iid,42,4096,0.1,40,39,0.4204927608013425,252.19765438397735,61.66565629000252,313.86331067397987
FedProx,37f,37,0.001,5,44,alpha_0p1,42,4096,0.1,40,35,0.2087647342926689,251.2609774989469,61.08202904101927,312.34300653996615
FedProx,37f,37,0.001,5,44,alpha_0p5,42,4096,0.1,40,33,0.3238541424582013,253.39459841799544,61.733984335980495,315.12858275397593
FedProx,37f,37,0.001,5,44,alpha_1p0,42,4096,0.1,40,40,0.3616146115897237,253.53782925009,61.87847066996619,315.4162999200562
