epoch,weighted_train_loss,weighted_val_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_worst_class_f1,val_worst_class_f1_id,val_worst_class_f1_name,val_worst_class_recall,val_worst_class_recall_id,val_worst_class_recall_name,val_precision_class0_Benign,val_recall_class0_Benign,val_f1_class0_Benign,val_support_class0_Benign,val_predicted_count_class0_Benign,val_precision_class1_Analysis,val_recall_class1_Analysis,val_f1_class1_Analysis,val_support_class1_Analysis,val_predicted_count_class1_Analysis,val_precision_class2_Backdoor,val_recall_class2_Backdoor,val_f1_class2_Backdoor,val_support_class2_Backdoor,val_predicted_count_class2_Backdoor,val_precision_class3_DoS,val_recall_class3_DoS,val_f1_class3_DoS,val_support_class3_DoS,val_predicted_count_class3_DoS,val_precision_class4_Exploits,val_recall_class4_Exploits,val_f1_class4_Exploits,val_support_class4_Exploits,val_predicted_count_class4_Exploits,val_precision_class5_Fuzzers,val_recall_class5_Fuzzers,val_f1_class5_Fuzzers,val_support_class5_Fuzzers,val_predicted_count_class5_Fuzzers,val_precision_class6_Generic,val_recall_class6_Generic,val_f1_class6_Generic,val_support_class6_Generic,val_predicted_count_class6_Generic,val_precision_class7_Reconnaissance,val_recall_class7_Reconnaissance,val_f1_class7_Reconnaissance,val_support_class7_Reconnaissance,val_predicted_count_class7_Reconnaissance,val_precision_class8_Shellcode,val_recall_class8_Shellcode,val_f1_class8_Shellcode,val_support_class8_Shellcode,val_predicted_count_class8_Shellcode,val_precision_class9_Worms,val_recall_class9_Worms,val_f1_class9_Worms,val_support_class9_Worms,val_predicted_count_class9_Worms
11,0.859618604183197,0.8538106083869934,0.9798824126601625,0.6797780742398112,0.49779268509532654,0.6797780742398112,0.5164156029065917,0.9833013902556168,0.08717948717948718,2,Backdoor,0.13463751438434982,3,DoS,0.9999824420734741,0.9925526600132448,0.9962536989256716,344284,341726,0.12636439966414778,0.8724637681159421,0.22075540887422077,345,2382,0.05506072874493927,0.20923076923076922,0.08717948717948718,325,1235,0.15620827770360482,0.13463751438434982,0.1446229913473424,869,749,0.8418720576017724,0.6422987534333404,0.7286673058485139,4733,3611,0.6489524782830863,0.7588885569166418,0.6996281503925079,3347,3914,0.9632144878324844,0.6851851851851852,0.8007527640555163,2484,1767,0.654949494949495,0.8455920709441836,0.73816029143898,1917,2475,0.46136363636363636,0.9485981308411215,0.6207951070336392,214,440,0.06995884773662552,0.7083333333333334,0.12734082397003746,24,243
12,0.8425161838531494,0.862683892250061,0.9801752653803459,0.6811294711261662,0.49537969321795305,0.6811294711261662,0.5129132840807723,0.9836654170076815,0.07223113964686999,2,Backdoor,0.13846153846153847,2,Backdoor,0.9999736654991704,0.9926339882190285,0.996290309179772,344284,341757,0.12804148384523334,0.9304347826086956,0.22510518934081347,345,2507,0.048859934853420196,0.13846153846153847,0.07223113964686999,325,921,0.14326107445805844,0.17491369390103567,0.15751295336787566,869,1061,0.8554555680539933,0.6427213184027044,0.7339847991313789,4733,3556,0.6651340996168582,0.7780101583507619,0.7171578077664555,3347,3915,0.9894366197183099,0.678743961352657,0.8051575931232091,2484,1704,0.6893162393162393,0.8414188836724048,0.757810664787409,1917,2340,0.34966216216216217,0.9672897196261683,0.5136476426799007,214,592,0.08465608465608465,0.6666666666666666,0.15023474178403756,24,189
13,0.8412988185882568,0.8161106109619141,0.9804374382917482,0.693554597123173,0.49726050479517064,0.693554597123173,0.5110648940206854,0.9839722998320154,0.06728971962616823,9,Worms,0.13003452243958574,3,DoS,0.9999765964853772,0.9928460224698215,0.9963985524250378,344284,341829,0.12753510140405616,0.9478260869565217,0.22481952561017532,345,2564,0.05759162303664921,0.16923076923076924,0.0859375,325,955,0.14907651715039577,0.13003452243958574,0.1389059618930547,869,758,0.8806374022850271,0.6188463976336361,0.72688919220747,4733,3326,0.6767109295199183,0.7917538093815357,0.7297260085364174,3347,3916,0.9478398314014752,0.7242351046698873,0.8210862619808307,2484,1898,0.7191413237924866,0.838810641627543,0.7743799662894293,1917,2236,0.3788706739526412,0.9719626168224299,0.54521625163827,214,549,0.03522504892367906,0.75,0.06728971962616823,24,511
14,0.8222879767417908,0.8039548993110657,0.980105538542207,0.7043573555860453,0.49519120901639446,0.7043573555860453,0.509646709826254,0.98368280592843,0.08519269776876268,9,Worms,0.1518987341772152,3,DoS,0.9999824458747806,0.9927675988428158,0.9963619615090864,344284,341800,0.1259351620947631,0.8782608695652174,0.2202835332606325,345,2406,0.07326007326007326,0.24615384615384617,0.11291460832745237,325,1092,0.16541353383458646,0.1518987341772152,0.15836832633473305,869,798,0.866997953814674,0.6266638495668709,0.727495707628158,4733,3421,0.661839430894309,0.77830893337317,0.7153645475765481,3347,3936,0.9560439560439561,0.7004830917874396,0.8085501858736059,2484,1820,0.7088262056414922,0.8127282211789254,0.7572296476306197,1917,2198,0.3488372093023256,0.9813084112149533,0.5147058823529411,214,602,0.04477611940298507,0.875,0.08519269776876268,24,469
15,0.8234512209892273,0.8049812912940979,0.9802868283213682,0.6921536207813467,0.498112369247254,0.6921536207813467,0.514217008022735,0.9837750969370755,0.08015267175572519,9,Worms,0.16570771001150747,3,DoS,0.9999824450016531,0.9927182210035901,0.9963370924414088,344284,341783,0.09519038076152304,0.2753623188405797,0.14147431124348472,345,998,0.09901873327386262,0.683076923076923,0.17296455005843397,325,2242,0.17888198757763976,0.16570771001150747,0.17204301075268819,869,805,0.8539736029205279,0.6425100359180224,0.7333011815770436,4733,3561,0.6531118274237541,0.7869734090230057,0.7138211382113822,3347,4033,0.9669837716843872,0.6956521739130435,0.8091781784125498,2484,1787,0.6939040207522698,0.837245696400626,0.7588652482269503,1917,2313,0.39807692307692305,0.9672897196261683,0.5640326975476839,214,520,0.042,0.875,0.08015267175572519,24,500
16,0.8099069595336914,0.8079197406768799,0.9806996112031505,0.6854300523638015,0.5002136452046893,0.6854300523638015,0.5152462844114007,0.984165059079246,0.09495548961424333,1,Analysis,0.1391304347826087,1,Analysis,0.9999824443852755,0.9926833660582542,0.996319537063355,344284,341771,0.07207207207207207,0.1391304347826087,0.09495548961424333,345,666,0.10141253169141615,0.8615384615384616,0.18146467919637072,325,2761,0.18604651162790697,0.17491369390103567,0.18030842230130487,869,817,0.8459025319901987,0.6564546799070357,0.7392338805615037,4733,3673,0.6693187468920935,0.804302360322677,0.7306283077758177,3347,4022,0.966832504145937,0.7041062801932367,0.8148148148148148,2484,1809,0.75187617260788,0.8362023995826813,0.791800444554211,1917,2132,0.35126050420168065,0.9766355140186916,0.5166872682323856,214,595,0.057432432432432436,0.7083333333333334,0.10625,24,296
17,0.8041749596595764,0.7961361408233643,0.9803119299830982,0.7030702664118211,0.5067482067150069,0.7030702664118211,0.5160190170964959,0.9840377644631679,0.06086956521739131,9,Worms,0.14614499424626007,3,DoS,0.9999824456179874,0.9927530759489259,0.9963546472053509,344284,341795,0.12658227848101267,0.9565217391304348,0.22357723577235772,345,2607,0.05717488789237668,0.15692307692307692,0.0838126540673788,325,892,0.1577639751552795,0.14614499424626007,0.15173237753882915,869,805,0.8678376043766196,0.6368054088316079,0.7345844504021448,4733,3473,0.6615154536390827,0.7929489094711683,0.7212936540290801,3347,4012,0.9768230638778971,0.6956521739130435,0.812602868563367,2484,1769,0.7695716395864106,0.8153364632237872,0.7917933130699089,1917,2031,0.4186991869918699,0.9626168224299065,0.5835694050991501,214,492,0.03153153153153153,0.875,0.06086956521739131,24,666
18,0.8027645349502563,0.7906822562217712,0.9808697446882094,0.6987887368347552,0.5035529354623465,0.6987887368347552,0.5203192760507425,0.9842484581510297,0.09359605911330049,9,Worms,0.1518987341772152,3,DoS,0.9999824481342366,0.9928954003090472,0.9964263227852529,344284,341844,0.12026275896917635,0.6898550724637681,0.20481927710843373,345,1979,0.09176300578034682,0.39076923076923076,0.1486249268578116,325,1384,0.16520650813516896,0.1518987341772152,0.15827338129496402,869,799,0.8663755458515284,0.6287766744136911,0.7286973555337904,4733,3435,0.6642685851318945,0.8276068120705109,0.7369961420779566,3347,4170,0.9707988980716253,0.7093397745571659,0.8197255175622238,2484,1815,0.7469935245143385,0.8424621804903495,0.7918607501838686,1917,2162,0.36013986013986016,0.9626168224299065,0.5241730279898219,214,572,0.049738219895287955,0.7916666666666666,0.09359605911330049,24,382
19,0.7935972809791565,0.7922571301460266,0.9804179147770693,0.699038287743894,0.5042102531471627,0.699038287743894,0.516546176543048,0.9840380183236994,0.053475935828877004,9,Worms,0.14461538461538462,2,Backdoor,0.9999853708775133,0.9927240301611461,0.9963414705247876,344284,341784,0.13031161473087818,0.9333333333333333,0.22869318181818182,345,2471,0.05608591885441527,0.14461538461538462,0.08082545141874463,325,838,0.17875647668393782,0.15880322209436135,0.16819012797074953,869,772,0.8559911036975257,0.6505387703359391,0.7392557022809124,4733,3597,0.6522289766970618,0.7693456827009262,0.7059629883481837,3347,3948,0.9580152671755725,0.7073268921095008,0.8138026864289023,2484,1834,0.7707528957528957,0.8330725091288471,0.8007019303083479,1917,2072,0.4123505976095618,0.9672897196261683,0.5782122905027933,214,502,0.027624309392265192,0.8333333333333334,0.053475935828877004,24,724
20,0.7956158518791199,0.7840286493301392,0.9804792743946316,0.7055396095294826,0.5106160235422712,0.7055396095294826,0.5243180132647041,0.9843011267768786,0.058981233243967826,9,Worms,0.22669735327963175,3,DoS,0.9999795225836648,0.9928808774151573,0.9964175571762539,344284,341840,0.13654946852003272,0.48405797101449277,0.21301020408163265,345,1223,0.09126321647189761,0.5046153846153846,0.15457115928369464,325,1797,0.1553627760252366,0.22669735327963175,0.18437061300889096,869,1268,0.8679189903140593,0.6247623072047327,0.7265356265356265,4733,3407,0.6780962128966224,0.7917538093815357,0.7305306685044797,3347,3908,0.9819311123658949,0.7000805152979066,0.8173913043478261,2484,1771,0.7761121856866537,0.837245696400626,0.8055207026348808,1917,2068,0.38847583643122674,0.9766355140186916,0.5558510638297872,214,538,0.030470914127423823,0.9166666666666666,0.058981233243967826,24,722
