round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,6.702932226524532,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3086083767127771,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5756620764732361,0.6360713243484497,1554255,380,3.903268257807575,1.1443056920543313,0.355029433965683,0.458750456571579,457617,112,1.79156485693266,0.2783043952658772,0.3949455320835113,0.9256899952888488,406244,100,2.984471827578958,0.2549096327275038,1.009652853012085,0.047113224864006,59686,15,0.990538044081634,0.1795268738642335,0.0052188378758728,0.9996772408485411,10777209,2632,2.6471838698836785,5.919490951113403,7.776537545025349,0.080237815156579,7.856775360181928,3.4515795409679413,11.308354901149867,2.444830006919801
2,6.689734630354328,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3493313681596235,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5392882823944092,0.6425297260284424,1554255,380,3.766391176614151,0.8245656518265605,0.3706907033920288,0.7890113592147827,457617,112,2.3611581601579283,0.2279164753854274,0.398190826177597,0.923334300518036,406244,100,3.127988103749251,0.2453544326126575,1.7309250831604004,0.0143082132562994,59686,15,1.983249155321474,0.0976207414641976,0.0003926762146875,0.9999998211860656,10777209,2632,0.4122975877830926,5.90455168299377,7.300008984282613,0.08270432241261,7.382713306695223,3.407566597685218,10.79027990438044,0.0136363059282302
3,6.198481796309065,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3788972909856921,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4933614134788513,0.6485306620597839,1554255,380,3.4239645493915853,0.8266590489074588,0.3108503520488739,0.8161082863807678,457617,112,2.2589656663489666,0.2485258392989635,0.3064181208610534,0.949456512928009,406244,100,2.8297848052562298,0.2186568332836032,1.4737344980239868,0.0229534562677145,59686,15,1.952230229460459,0.1010886887088418,0.0002822076494339,0.9999998211860656,10777209,2632,0.3015292364419788,6.116635300219059,7.511565710417926,0.0649351067841053,7.576500817202032,3.4544477090239525,11.030948526225984,0.0936795929446816
4,5.738145698534326,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3972519122060584,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4694857597351074,0.6475797295570374,1554255,380,3.074386853829006,0.7515295399352908,0.2678128778934479,0.8325018882751465,457617,112,2.099099022695357,0.2379450276494026,0.2333070486783981,0.964083194732666,406244,100,2.5722406439701406,0.215003365650773,1.248701810836792,0.0444325283169746,59686,15,1.890899410707377,0.1068527540192008,0.0002678037853911,0.9999998211860656,10777209,2632,0.2912236742503405,5.861365928314626,7.1726966155692935,0.0313077541068196,7.204004369676113,3.4776262510567904,10.681630620732903,0.0178971840068697
5,5.193608590071507,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3995628152083371,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4498058259487152,0.6501024961471558,1554255,380,2.8261305490304998,0.7723550042137504,0.234629213809967,0.8481525182723999,457617,112,1.9946168616688773,0.241624123416841,0.1925040632486343,0.9683392643928528,406244,100,2.315183412043436,0.2755160266533494,1.064355492591858,0.0618738047778606,59686,15,1.792189867305772,0.108866661787033,0.000246984680416,0.9999998211860656,10777209,2632,0.2663015906738901,5.810885927639902,7.2092477437108755,0.0805955938994884,7.289843337610364,3.449341152794659,10.739184490405025,0.0126417316496372
6,4.782812122492644,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.4867686950265708,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.443184345960617,0.6527519822120667,1554255,380,2.585067316654267,0.773835682310164,0.2165335416793823,0.8542951941490173,457617,112,1.933579703963925,0.2162080947309732,0.1587693840265274,0.9709362387657166,406244,100,2.1465604714814286,0.2105300007387995,0.970847487449646,0.0724625512957573,59686,15,1.742495897072247,0.1161107262596488,0.0002241924375994,0.9999998211860656,10777209,2632,0.273423826352603,5.83732638694346,7.154010890983045,0.0553307747468352,7.20934166572988,3.442585289478302,10.651926955208182,0.0142445173114538
7,4.606725835253822,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.5288089918473309,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4278006851673126,0.6514407396316528,1554255,380,2.407125472447397,0.7967596938833594,0.2019288688898086,0.8680206537246704,457617,112,1.7693703906731242,0.2339481618255376,0.1371800750494003,0.972528874874115,406244,100,1.9782937034612365,0.2651742547750473,0.85835200548172,0.0811245515942573,59686,15,1.7781617001180328,0.1288768947124481,0.0001986089628189,0.9999997615814208,10777209,2632,0.2879846043091673,5.812475098297,7.237234103493392,0.0754719190299511,7.312706022523344,3.538217891007662,10.850923913531004,0.0305859735235571
8,4.211444011389553,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.5328298266263676,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4217216372489929,0.6565331816673279,1554255,380,2.269160844923237,0.737124471925199,0.1820193231105804,0.8728740811347961,457617,112,1.7305481001268517,0.2215237198397517,0.1247966811060905,0.9741141200065612,406244,100,1.8749780320827725,0.2719514593482017,0.8348648548126221,0.085195854306221,59686,15,1.790830719637058,0.1116077797487378,0.0002160336298402,0.9999991655349731,10777209,2632,0.2544703009226531,5.903118144720793,7.245325575582683,0.088520118035376,7.333845693618059,3.4253036435693502,10.75914933718741,0.0148482276126742
9,4.085848855433393,0.8845474205999654,0.1429161174846715,0.2646126345526812,0.1429161174846715,0.1342232343586194,0.8303686007090296,0.5359272307139459,0.0,0.0,0.8845465063848974,0.9999995992522046,0.938736546969011,2495335,2821032,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.967741935483871,0.0004132231404958,0.0008260935413253,72600,31,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4131293594837188,0.6562848687171936,1554255,380,2.12970861660962,0.7580137252807617,0.1798146367073059,0.8787676692008972,457617,112,1.6214069977266268,0.2322025615721941,0.1083792597055435,0.9758618474006652,406244,100,1.7697515766290288,0.2546223634853959,0.7777515649795532,0.0890326052904129,59686,15,1.7482514810426986,0.1083354316651821,0.0002035680809058,0.999997615814209,10777209,2632,0.2764441396519392,6.006163509562612,7.359337591566145,0.0879949992522597,7.447332590818405,3.706328544765711,11.153661135584116,0.0164707479998469
10,3.996502484419526,0.8847746399141033,0.1441831633664703,0.2684069505440861,0.1441831633664703,0.136749339232533,0.8309208210222533,0.5428172043460616,0.0,0.0,0.8847483588233521,0.9999983970088184,0.9388496760551722,2495335,2820385,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.9941002949852508,0.0092837465564738,0.0183956985725592,72600,678,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4050364196300506,0.6575742363929749,1554255,380,2.045624684612187,0.776041891425848,0.1755524575710296,0.8854151368141174,457617,112,1.662443430016994,0.238599725998938,0.097365066409111,0.9779911041259766,406244,100,1.6861112429952474,0.2439675712957978,0.8108522295951843,0.0914787352085113,59686,15,1.793030532591076,0.1036991160362958,0.0001897473994176,0.9999958276748656,10777209,2632,0.2733524731011127,5.836745227687061,7.199053532443941,0.0501512000337243,7.249204732477665,3.745742701925337,10.994947434403002,0.0194045957177877
