round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,7.316975872989368,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3044211728940485,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.7061749696731567,0.3935702741146087,175684,43,2.0233415245801467,0.4844812294468283,0.2651055455207824,0.6759329438209534,685642,168,2.9809994331362204,0.3835521563887596,0.1823027580976486,0.8066082000732422,1291611,316,2.143775223876931,0.6192940976470709,0.7160230278968811,0.6580502390861511,79035,20,1.263644323535069,0.0836052680388093,0.0049803559668362,0.9996851086616516,11023039,2692,2.65597749883064,5.834066270850599,7.404999022372067,0.0487259523943066,7.453724974766374,3.505583543330431,10.959308518096805,2.5508975526317954
2,7.663176188476095,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3212655576008152,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.8273417353630066,0.4248024821281433,175684,43,2.709090386855617,0.0968931159004569,0.298789232969284,0.8574387431144714,685642,168,3.239597055532866,0.4048208072781563,0.1810118407011032,0.9143131971359252,1291611,316,2.4992670124601464,0.6992242904379964,1.308648705482483,0.5468336939811707,79035,20,2.2411428387171477,0.1527499509975314,0.0002079769910778,1.0,11023039,2692,0.3831482523041151,5.7772238459438086,7.1309120105579495,0.0182116730138659,7.149123683571816,3.413262514397502,10.562386197969316,0.0153445238247513
3,7.436183390141869,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3649865963699883,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.8218992948532104,0.4320313930511474,175684,43,2.6957516561245902,0.08970283344388,0.2495339810848236,0.8693326711654663,685642,168,3.087232132852682,0.4127805782482028,0.1576419472694397,0.9286186099052428,1291611,316,2.3879067762225854,0.6672130916267633,1.2810883522033691,0.5767444968223572,79035,20,2.300743858052988,0.0883650742471218,0.0001342219038633,1.0,11023039,2692,0.2591572182879286,5.743928427807987,7.001990005373955,0.0100815799087286,7.012071585282683,3.472293745726347,10.48436533100903,0.0183872217312455
4,7.144830715691623,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3788129201512892,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.7390875220298767,0.4450832307338714,175684,43,2.622965707041472,0.1018710313364863,0.2040096521377563,0.8776256442070007,685642,168,2.853892988100522,0.4159634951502085,0.1411063969135284,0.9351902604103088,1291611,316,2.276646458249921,0.6414625272154808,1.1819992065429688,0.6031252145767212,79035,20,2.2395498182687,0.049192052334547,0.0001186046938528,1.0,11023039,2692,0.2378164655270052,6.0444463565945625,7.252935462631285,0.0282086627557873,7.281144125387073,3.441705495119095,10.722849620506167,0.0518010398373007
5,6.855991239249024,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3924444105528029,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.6872530579566956,0.4538831114768982,175684,43,2.551826009704047,0.1399006936699152,0.1829491853713989,0.8851397633552551,685642,168,2.6482334262295875,0.4031263580545783,0.1283041089773178,0.9440063834190368,1291611,316,2.0846081276623862,0.6047097723931074,1.0985872745513916,0.6276206374168396,79035,20,2.1853133486772416,0.085735885426402,0.0001101184170693,1.0,11023039,2692,0.2281591174540531,5.953118755482137,7.18659146502614,0.0393586317077279,7.225950096733868,3.4705081563442945,10.696458253078164,0.0151598863303661
6,6.536085500804552,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.3998160056784999,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.6362956166267395,0.4655005633831024,175684,43,2.4861203239427536,0.0845649186521768,0.1572341918945312,0.8894189596176147,685642,168,2.470316406562993,0.326312392950058,0.1149028912186622,0.9493934512138368,1291611,316,1.9823711595484248,0.6586816096678376,1.0355703830718994,0.6746377944946289,79035,20,2.159846331040069,0.1345898192375898,0.0001022409996949,1.0,11023039,2692,0.2183486680745825,5.87119487579912,7.075343616306782,0.0098748803138732,7.085218496620655,3.4531572544947267,10.538375751115382,0.0132942963391542
7,6.215434688981237,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.4054155070474378,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5945188403129578,0.4757120907306671,175684,43,2.425433930274457,0.0783552043139934,0.1390994191169738,0.8940656781196594,685642,168,2.327012894141232,0.3834047168493271,0.1058512851595878,0.9525483846664428,1291611,316,1.8704441984834368,0.7238389756530523,0.9689040184020996,0.7355981469154358,79035,20,2.120766444094481,0.1405659923329949,9.69248721958138e-05,1.0,11023039,2692,0.21281039091486,5.86982620600611,7.1959910951554775,0.0234951078891754,7.219486203044653,3.446333320811391,10.665819523856044,0.0204191617667675
8,5.876656243479882,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.4507559880663037,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5716925859451294,0.4802201688289642,175684,43,2.372635889374208,0.1261226469650864,0.1254846006631851,0.9005092978477478,685642,168,2.195855699649368,0.3386645801365375,0.1023746579885482,0.9572084546089172,1291611,316,1.8162397959539684,0.7057176847010851,0.912377119064331,0.7789080739021301,79035,20,2.0968968865692115,0.0661382153630256,9.33290211833082e-05,1.0,11023039,2692,0.2108753237438105,5.857897067442536,7.094540194608271,0.006821284070611,7.101361478678882,3.436106880195439,10.53746835887432,0.0124677093699574
9,5.66904814884906,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.5494252811594119,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5736971497535706,0.4867944717407226,175684,43,2.322940032282665,0.0868797553703188,0.119872823357582,0.9022813439369202,685642,168,2.0873934226932964,0.3934191269800067,0.0920656397938728,0.9597456455230712,1291611,316,1.7278790999154643,0.6368122715502977,0.8759922981262207,0.7973302602767944,79035,20,2.1012862105429373,0.0881475638598203,9.278229117626324e-05,1.0,11023039,2692,0.2145695946082174,5.916117831133306,7.12137654889375,0.0096109695732593,7.130987518467009,3.503209096379578,10.634196614846587,0.0735768396407365
10,5.489274203772041,0.8845371407870012,0.1428571428571428,0.1263624486838573,0.1428571428571428,0.1341044927680089,0.83034283219794,0.5537918492914896,0.0,0.0,0.8845371407870012,1.0,0.9387314493760626,2495335,2821063,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5202581286430359,0.4947405755519867,175684,43,2.2812022471982147,0.0839986773207783,0.1029537767171859,0.9075552225112916,685642,168,2.000525487470456,0.3656952856108546,0.0924677401781082,0.9619157910346984,1291611,316,1.6724074492921837,0.6332420138642192,0.8533761501312256,0.8156639337539673,79035,20,2.110424294690176,0.0952933579683303,8.932422497309744e-05,1.0,11023039,2692,0.2119942740727269,5.873876091092825,7.052105425857008,0.0246643852442502,7.076769811101258,3.4323168843984604,10.509086695499718,0.0831344602629542
