alpha,seed,rejected_empty_client,empty_client_ids,hd_pairwise_rms,hd_pairwise_mean,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.8,4012,False,,0.2791599506679987,0.24798626729014472,0.0,711249,5452995.0,7.666787580720676,0.0,0.25,hd_0p25
0.8,4013,False,,0.3178200263980405,0.2873889790947607,0.0,1137893,6325973.0,5.559374211810777,0.0,0.25,hd_0p25
0.8,4014,False,,0.2848845827759544,0.26357505834376227,0.0,895305,9044569.0,10.102221030821898,0.0,0.25,hd_0p25
0.8,4015,False,,0.42342442826179616,0.35141452009245616,0.0,417901,7237201.0,17.31797961718206,0.0,0.25,hd_0p25
0.8,4016,False,,0.4383866780120152,0.35955551422233245,0.0,541331,4576451.0,8.454071538485696,0.0,0.25,hd_0p25
0.8,4017,False,,0.40746897407697324,0.3537705740780718,0.0,562659,5251274.0,9.332960105499067,0.0,0.25,hd_0p25
0.8,4018,False,,0.294443348567781,0.24593479254397152,0.0,382197,4370599.0,11.435461293521405,0.0,0.25,hd_0p25
0.8,4019,False,,0.4002521671422374,0.3688119432687677,0.0,199511,8112823.0,40.66353734881786,0.0,0.25,hd_0p25
0.8,4020,False,,0.2301403188978805,0.22037355764626837,0.0,948914,5303656.0,5.589185110557964,0.0,0.25,hd_0p25
0.8,4021,False,,0.3539769212400411,0.3258881106000168,0.0,594946,4701413.0,7.902251632921307,0.0,0.25,hd_0p25
0.8,4022,False,,0.4536652940179824,0.39338765789336055,0.0,480481,4846761.0,10.087310424345604,0.0,0.25,hd_0p25
0.8,4023,False,,0.3830256505662774,0.35125679447878694,0.0,841269,8711077.0,10.354686788649053,0.0,0.25,hd_0p25
0.8,4024,False,,0.3399697013817712,0.3253718080808229,0.0,373874,6040819.0,16.15736585052718,0.0,0.25,hd_0p25
0.8,4025,False,,0.23323619571795848,0.21759880710538324,0.0,757017,4590197.0,6.063532258852839,0.0,0.25,hd_0p25
0.8,4026,False,,0.4060813209059554,0.38360296184104237,0.0,252958,6704286.0,26.503553949667534,0.0,0.25,hd_0p25
0.8,4027,False,,0.37720514556852747,0.31003657896968595,0.0,673095,5642276.0,8.382584924862018,0.0,0.25,hd_0p25
0.8,4028,False,,0.22045318583842194,0.20550477935269068,0.0,1124508,6581617.0,5.852885884315629,0.0,0.25,hd_0p25
0.8,4029,False,,0.2859532397098203,0.2759787566824727,0.0,637675,8537574.0,13.388597639863567,0.0,0.25,hd_0p25
0.9,4000,False,,0.44640666479647795,0.3713648747053808,0.0,440276,3746752.0,8.510007359020252,0.0,0.25,hd_0p25
0.9,4001,False,,0.2933758357257286,0.2648300308670609,0.0,471113,5963909.0,12.659190045700289,0.0,0.25,hd_0p25
0.9,4002,False,,0.3769068452443997,0.31120426709687554,0.0,343436,4542399.0,13.226333290627657,0.0,0.25,hd_0p25
0.9,4003,False,,0.2385525717139829,0.2265529117376858,0.0,653232,5861263.0,8.972712604403949,0.0,0.25,hd_0p25
0.9,4004,False,,0.3872116414012648,0.33254713614353937,0.0,286853,4964819.0,17.307885920663196,0.0,0.25,hd_0p25
0.9,4005,False,,0.4346403798527096,0.35904469719722887,0.0,451957,5435064.0,12.025621906508805,0.0,0.25,hd_0p25
0.9,4006,False,,0.23356668340829945,0.219645623553894,0.0,248894,4905266.0,19.708253312655188,0.0,0.25,hd_0p25
0.9,4007,False,,0.35902212353098373,0.294651643979162,0.0,314185,6526992.0,20.77435905597021,0.0,0.25,hd_0p25
0.9,4008,False,,0.20829035600711762,0.19009386502526096,0.0,1307058,3748837.0,2.8681489268265064,0.0,0.25,hd_0p25
0.9,4009,False,,0.22407858546316523,0.2021866900658332,0.0,1352528,4228776.0,3.126571871340187,0.0,0.25,hd_0p25
0.9,4010,False,,0.1927667664934684,0.18417857811336596,0.0,1052882,5270551.0,5.0058325624333975,0.0,0.25,hd_0p25
0.9,4011,False,,0.20098657698890193,0.1881600567927188,0.0,567146,5483295.0,9.668224760467321,0.0,0.25,hd_0p25
0.9,4012,False,,0.2779872751477377,0.26835660777589,0.0,255942,9161807.0,35.79641871986622,0.0,0.25,hd_0p25
0.9,4013,False,,0.5036147943777477,0.4268190984479198,0.0,414778,4389734.0,10.58333373515471,0.0,0.25,hd_0p25
0.9,4014,False,,0.5556180962633508,0.4901051375579743,0.0,455709,6039770.0,13.253567517867761,0.0,0.25,hd_0p25
0.9,4015,False,,0.2667916857023565,0.2535331018006287,0.0,522126,4837468.0,9.264943710905031,0.0,0.25,hd_0p25
0.9,4016,False,,0.31703943999690326,0.3024051688664991,0.0,456462,7435021.0,16.28836792547901,0.0,0.25,hd_0p25
0.9,4017,False,,0.3340387155496466,0.3073579780928641,0.0,526918,6873363.0,13.04446422403486,0.0,0.25,hd_0p25
0.9,4018,False,,0.30978150409636035,0.2831751253354907,0.0,329529,6934034.0,21.042257282363614,0.0,0.25,hd_0p25
0.9,4019,False,,0.2853945595323442,0.2568247284188278,0.0,624046,6104080.0,9.781458418129432,0.0,0.25,hd_0p25
0.9,4020,False,,0.18716227261203658,0.1742208537090221,0.0,1209151,4536978.0,3.7522013379635792,0.0,0.25,hd_0p25
0.9,4021,False,,0.41449430845553903,0.36284728314700543,0.0,385710,4490316.0,11.641689352103912,0.0,0.25,hd_0p25
0.9,4022,False,,0.20131084792912757,0.19163344324662446,1.0,861627,6380113.0,7.404727335610421,0.2,0.25,hd_0p25
0.9,4023,False,,0.24934054646331932,0.23146246060294637,0.0,756130,7436431.0,9.834857762554059,0.0,0.25,hd_0p25
0.9,4024,False,,0.4060183805943376,0.38110749976870856,1.0,583215,8777034.0,15.049396877652324,0.2,0.25,hd_0p25
0.9,4025,False,,0.2763794466684841,0.2577763904424095,0.0,275790,5817423.0,21.093669096051343,0.0,0.25,hd_0p25
