alpha,seed,rejected_empty_client,empty_client_ids,fedartml_hd,hd_pairwise_mean,hd_pairwise_rms,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.4,5000,False,,0.687182013003366,0.619897383158652,0.687182013003366,12,401762,6576039,16.36799647552531,2.4,0.25,hd_0p25
0.4,5001,False,,0.6794335668560569,0.6608427549845834,0.6794335668560569,6,270336,11008999,40.723392370975375,1.2,0.25,hd_0p25
0.4,5002,False,,0.5424313580731722,0.49881479738555345,0.5424313580731722,13,322257,7271552,22.56445011279817,2.6,0.25,hd_0p25
0.4,5003,False,,0.5201111915545774,0.5073972754399063,0.5201111915545773,7,93572,10318562,110.27403496772538,1.4,0.25,hd_0p25
0.4,5004,False,,0.6737235800729486,0.6260535498860644,0.6737235800729486,12,318656,8448837,26.513974317131954,2.4,0.25,hd_0p25
0.4,5005,False,,0.5028241883760561,0.4878205187066028,0.5028241883760561,6,191353,9157194,47.85498006302488,1.2,0.25,hd_0p25
0.4,5006,False,,0.6643529435731989,0.63142946932966,0.6643529435731989,6,466842,10651556,22.816190488430774,1.2,0.25,hd_0p25
0.4,5007,False,,0.6032271724373479,0.5355234675963958,0.6032271724373478,16,585242,5687115,9.717544195392675,3.2,0.25,hd_0p25
0.4,5008,False,,0.6435359354857828,0.571550577973447,0.6435359354857829,11,509024,5988149,11.763981659018043,2.2,0.25,hd_0p25
0.4,5009,False,,0.4835865822667834,0.4559489127044036,0.48358658226678336,8,574762,8859206,15.413694711898142,1.6,0.25,hd_0p25
0.4,5010,False,,0.5918396846340815,0.5334444459710561,0.5918396846340815,13,386250,5750121,14.887044660194174,2.6,0.25,hd_0p25
0.4,5011,False,,0.5872379391616012,0.5118591865882783,0.587237939161601,11,881071,5275859,5.988006641916486,2.2,0.25,hd_0p25
0.4,5012,False,,0.4123365109977631,0.3976726590826281,0.4123365109977631,4,571917,9066726,15.853219960238986,0.8,0.25,hd_0p25
0.4,5013,False,,0.5373422652144277,0.5159210278604265,0.5373422652144277,7,121559,10071435,82.85223636258937,1.4,0.25,hd_0p25
0.4,5014,False,,0.639450219092597,0.5987223297401812,0.639450219092597,12,329970,6256555,18.960981301330424,2.4,0.25,hd_0p25
0.4,5015,False,,0.338453564544132,0.32744126187479117,0.33845356454413195,7,831626,6267744,7.536734060743652,1.4,0.25,hd_0p25
0.4,5016,False,,0.5213540861116399,0.48818069611469406,0.5213540861116399,6,525424,10146510,19.311089710405312,1.2,0.25,hd_0p25
0.4,5017,False,,0.5845026423927266,0.5114180994584199,0.5845026423927266,11,706851,6527556,9.23469868472988,2.2,0.25,hd_0p25
0.4,5018,False,,0.6021739204286827,0.5498660376719948,0.6021739204286826,10,206248,5516865,26.748695744928437,2.0,0.25,hd_0p25
0.4,5019,False,,0.5544932217530163,0.52661680929003,0.5544932217530163,6,371048,9882274,26.633411310666006,1.2,0.25,hd_0p25
0.4,5020,False,,0.34288144855656566,0.3158780426641904,0.34288144855656566,15,1258366,3312792,2.632614040748081,3.0,0.25,hd_0p25
0.4,5021,False,,0.5420875861271889,0.4743130169982142,0.5420875861271888,12,447415,4829104,10.793343987126047,2.4,0.25,hd_0p25
0.4,5022,False,,0.4270142785382415,0.3890772367418749,0.4270142785382415,13,664140,6641007,9.99940825729515,2.6,0.25,hd_0p25
0.4,5023,False,,0.5408492272119619,0.4737221892304726,0.5408492272119619,14,276790,4866159,17.58068933126197,2.8,0.25,hd_0p25
0.4,5024,False,,0.46006556501060025,0.4393405296668017,0.46006556501060025,9,661987,7106039,10.734408681741485,1.8,0.25,hd_0p25
0.4,5025,False,,0.6513971337771963,0.5287443055601936,0.6513971337771963,15,311725,4348764,13.950642393134975,3.0,0.25,hd_0p25
0.4,5026,False,,0.68782535139349,0.6539796493179519,0.68782535139349,6,340495,9414972,27.650837750921454,1.2,0.25,hd_0p25
