round,server_control_norm,control_invariant_max_abs_error,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,correction_norm_client_0,control_norm_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,correction_norm_client_1,control_norm_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,correction_norm_client_2,control_norm_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,correction_norm_client_3,control_norm_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,correction_norm_client_4,control_norm_client_4,train_seconds_client_4,round_train_seconds,client_control_seconds,control_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.03251672680437188,0.0,1.9526966266466892,0.9023247619780204,0.26485591518957935,0.2727760429149071,0.26485591518957935,0.2537450917662397,0.8630335777904262,0.6365332568649443,0.0,0.0,0.9082857715922539,0.9999378840917151,0.9519107992307437,2495335,2747131,0.0,0.0,0.0,6186,0,0.0,0.0,0.0,18137,0,0.0,0.0,0.0,208540,0,0.9975384126732044,0.6921487603305785,0.8172459219021907,72600,50374,0.0,0.0,0.0,19740,0,0.003608116138891247,0.1619047619047619,0.007058921230743678,525,23558,0.4899808466434479,0.6784526109695435,474518,116,2.956070967025466,116,0.0,0.25483367994914863,0.3163071639719419,0.4706997275352478,0.35469192266464233,5238780,1279,4.173958982952015,1279,0.0,0.0326345506704125,4.166397685010452,0.3653750419616699,0.9897083640098572,863512,211,2.3031303269183643,211,0.0,0.10915309027657027,0.5987741900025867,0.8253926038742065,0.6923518180847168,123768,31,1.72487466722223,31,0.0,0.5564112152887977,0.12217357294866815,0.10968557745218277,0.9937198758125305,6554433,1601,5.860680137237407,1601,0.0,0.036606369783868144,5.576799242000561,10.78045185393421,0.0020792880095541477,0.0027681320207193494,0.0010791379609145224,10.784299123915844,4.623066882020794,15.407366005936638,0.013730289065279067
2,0.02502447522987473,2.3283064365386963e-10,1.24888467246802,0.9045685970146714,0.658676454871119,0.4940321291057091,0.658676454871119,0.4949834966556782,0.9049833588647883,0.6849954945778218,0.0,0.0,0.9888865500311737,0.9883951453412066,0.9886407866229209,2495335,2494095,0.5624143913797827,0.995635305528613,0.7187955884927351,6186,10951,0.9779751853755231,0.7344654573523736,0.838906732161975,18137,13621,0.0,0.0,0.0,208540,0,0.9267049797582312,0.901763085399449,0.9140639180151627,72600,70646,0.0,0.0,0.0,19740,0,0.002243797195253506,0.9904761904761905,0.0044774512969540416,525,231750,0.3560839891433716,0.7110456824302673,474518,116,2.3164079724027204,116,0.2366847136648182,0.3044823959549024,0.32485252199694514,0.4410589337348938,0.36332160234451294,5238780,1279,3.8249930239906775,1279,0.029324906568322994,0.026982055523069606,4.357990411983337,0.34033671021461487,0.9849556684494019,863512,211,2.2066729541705614,211,0.09849194138760027,0.13786580168192306,0.6774920970201492,0.3847583830356598,0.9351528286933899,123768,31,1.4868410092778368,31,0.5418021960227533,0.6666575869470303,0.10508889897027984,0.05661645904183388,0.9954939484596252,6554433,1601,4.103051035389431,1601,0.024619089095551456,0.01994967165868012,5.759635045018513,11.225058974989224,0.002095768926665187,0.0027881399146281183,0.0015189239638857543,11.229366038867738,3.911799065012019,15.141165103879757,0.016091045050416142
3,0.015025294321854501,2.9103830456733704e-10,1.0901273167840053,0.9046979808674956,0.6897382878915239,0.4547548343622578,0.6897382878915239,0.48733492491077646,0.8991126030620605,0.6856261427815193,0.0,0.0,0.9766082751643264,0.987982375111959,0.9822623996659583,2495335,2524397,0.5745216985534297,0.9951503394762367,0.7284776048754511,6186,10715,0.6326843904821715,0.9998345922699454,0.7749738242270134,18137,28662,0.0,0.0,0.0,208540,0,0.9968033155561267,0.8547245179063361,0.9203126390413193,72600,62252,0.0,0.0,0.0,19740,0,0.0026661607797494836,0.9904761904761905,0.005318006565692721,525,195037,0.23366698622703552,0.7231906652450562,474518,116,1.8788205943142469,116,0.28529344066904805,0.2452641258998787,0.373472781968303,0.4296918511390686,0.36195775866508484,5238780,1279,2.538299989645818,1279,0.027105318661953107,0.0256006781973205,4.583159421978053,0.29813116788864136,0.9899804592132568,863512,211,1.9063069885169919,211,0.12559713398601674,0.15059437820883778,0.6774309020256624,0.16369687020778656,0.9736037850379944,123768,31,1.046587858391191,31,0.6542677661128465,0.6700496728936887,0.17133015202125534,0.053171880543231964,0.995089590549469,6554433,1601,3.3648350744974795,1601,0.026085605368428574,0.023076950306555728,5.876596873044036,11.68199013103731,0.0021152750123292208,0.002799650013912469,0.0011865400010719895,11.685976321052294,3.8995648459531367,15.585541167005431,0.015084094949997962
4,0.013064113769714166,2.9103830456733704e-10,1.2216809822624366,0.9059216330865351,0.6899681858618589,0.4577723482755313,0.6899681858618589,0.489370630486682,0.8997501458644228,0.6731979389823206,0.0,0.0,0.97648588662793,0.9894735576585909,0.9829368220724347,2495335,2528524,0.5779196395043185,0.9951503394762367,0.7312032307875045,6186,10652,0.6495111206618674,0.9998897281799636,0.7874853445655478,18137,27921,0.0,0.0,0.0,208540,0,0.997771281835947,0.8509779614325069,0.9185468223819684,72600,61919,0.0,0.0,0.0,19740,30,0.0027185092986558483,0.9942857142857143,0.00542219359931859,525,192017,0.19758063554763794,0.7253844738006592,474518,116,1.579802437792877,116,0.23919581077012453,0.21179881291028796,0.3725362020195462,0.42438995838165283,0.3638719320297241,5238780,1279,1.9426542622726262,1279,0.025202339041389722,0.025361334855151307,4.536960579047445,0.28170740604400635,0.9897801280021667,863512,211,1.8323033060670488,211,0.1436260349788058,0.16417473724586676,0.6480159189668484,0.12613160908222198,0.9753167033195496,123768,31,0.8650035740036133,31,0.6661298040782784,0.7114968606358167,0.09792429598746821,0.04338616132736206,0.9963823556900024,6554433,1601,2.6950792052711376,1601,0.02596176781551454,0.025546090797879856,5.493324817973189,11.148761813994497,0.002105435007251799,0.0028044290374964476,0.001299160998314619,11.152865404030308,3.918198581028264,15.071063985058572,0.014976255013607442
5,0.01741553279255176,2.3283064365386963e-10,0.9589863406004624,0.8920474303480639,0.6906432735263095,0.4612826991930354,0.6906432735263095,0.4899606651107876,0.8998404301023973,0.6372489540390182,0.0,0.0,0.9917811039324156,0.9730228606579878,0.9823124385806419,2495335,2448139,0.5604695604695604,0.995635305528613,0.7172052401746725,6186,10989,0.655877034358047,0.9998897281799636,0.7921462423832092,18137,27650,0.0214782277868087,0.0029778459767910233,0.00523050877436798,208540,28913,0.9972170833135683,0.8686914600550965,0.9285277857526704,72600,63243,0.0,0.0,0.0,19740,1,0.0021558844908478162,0.9942857142857143,0.004302440109951247,525,242128,0.17832963168621063,0.7388718128204346,474518,116,1.0386318228699079,116,0.20860768747223069,0.21530460758270725,0.36148979503195733,0.41917842626571655,0.3612987995147705,5238780,1279,1.8189621486087402,1279,0.024994417091683686,0.02522458340564615,4.4647050960338674,0.2788994014263153,0.989740788936615,863512,211,1.7831723101116665,211,0.15902213808298113,0.17662700360912045,0.6500176510307938,0.12912027537822723,0.9778133034706116,123768,31,0.7833750142571417,31,0.708790940406805,0.7768203654291578,0.0996799860149622,0.05413837358355522,0.9954449534416199,6554433,1601,4.7798667995827016,1601,0.02667047093714344,0.036720286021477894,5.56580625497736,11.141698783088941,0.0020592189976014197,0.0027430339832790196,0.00133428699336946,11.14577610406559,3.930122075951658,15.075898180017248,0.014455352909862995
6,0.011496208622421553,2.6193447411060333e-10,0.8564680592261196,0.9188270520722154,0.7189242270731435,0.60313642027793,0.7189242270731435,0.5370378355701949,0.9294705686855566,0.683468556180867,0.0,0.0,0.9919019462366803,0.987957528748645,0.9899258083175074,2495335,2485412,0.5731309933898148,0.9951503394762367,0.7273586577656997,6186,10741,0.6573862606489034,0.9998345922699454,0.79322864266655,18137,27585,0.9984601960683673,0.1865637287810492,0.31438429775439786,208540,38966,0.9984010638466287,0.8686776859504132,0.9290328283014282,72600,63167,0.0,0.0,0.0,19740,14,0.002674481755115843,0.9942857142857143,0.005334614185781516,525,195178,0.1829739660024643,0.7578827142715454,474518,116,1.0447201317931392,116,0.2112473035722643,0.19394516774409368,0.3598336239811033,0.420039564371109,0.36062461137771606,5238780,1279,2.6972000770490525,1279,0.029569250292479317,0.027782819825993236,4.4380849649896845,0.2766968905925751,0.989314615726471,863512,211,1.923469222787784,211,0.17165142996897056,0.1704502572598647,0.8223999189794995,0.14588218927383423,0.9743632674217224,123768,31,0.7369506192624742,31,0.7743018659539169,0.8409907398670505,0.12737214099615812,0.04255621135234833,0.9967506527900696,6554433,1601,3.2302281355750306,1601,0.031178488194788113,0.02797232231469696,5.462433810986113,11.210124459932558,0.00206394906854257,0.002754607063252479,0.0013136779889464378,11.214192744984757,3.924029498011805,15.138222242996562,0.014312593964859843
7,0.012974344003367423,4.656612873077393e-10,0.8203406462280933,0.9185236203516193,0.7189137350298245,0.6042853033068454,0.7189137350298245,0.5380780053690934,0.9293617498124418,0.6968560508817339,0.0,0.0,0.9918996449528851,0.9875764175952327,0.9897333102533961,2495335,2484459,0.5814832309872461,0.9949886841254445,0.73400512789935,6186,10585,0.6577200681875884,0.9998345922699454,0.7934716023453224,18137,27571,0.9978763688465868,0.1870192768773377,0.31500177688753916,208540,39084,0.9983536749457821,0.8686914600550965,0.9290201884054768,72600,63171,0.0,0.0,0.0,19740,257,0.0026641352278294955,0.9942857142857143,0.005314031792569517,525,195936,0.17350627481937408,0.7692479491233826,474518,116,0.9091672426404321,116,0.19295372143686332,0.19592032520055763,0.5586164009873755,0.4164067506790161,0.36235153675079346,5238780,1279,1.9008448953180135,1279,0.024803670418797177,0.024931820194902428,4.448121624998748,0.2564341425895691,0.9915705323219299,863512,211,1.8493860229104344,211,0.16813862812612806,0.16947025007673322,0.747437019017525,0.1475193202495575,0.9755833148956299,123768,31,1.0423207391670974,31,0.838838073005409,0.8614375975840287,0.11573520500678569,0.041469041258096695,0.9970966577529907,6554433,1601,3.1186829440477735,1601,0.028975200679913535,0.02957989727689051,5.586348466051277,11.456258716061711,0.0020554420189000666,0.0027646750095300376,0.0016106260009109974,11.460634017072152,3.9699522699811496,15.430586287053302,0.014536142931319773
8,0.009890187492863125,4.656612873077393e-10,0.9013207448191464,0.9189986186058234,0.7183986076321652,0.6041271299544848,0.7183986076321652,0.5377891666735547,0.9295822207413128,0.7000967343908552,0.0,0.0,0.9918990718809536,0.9881438764734995,0.9900179132714998,2495335,2485888,0.578097116558655,0.9949886841254445,0.73130160993287,6186,10647,0.6586996004358882,0.9998345922699454,0.7941839840585105,18137,27530,0.998870984296418,0.18666922412966339,0.31455444584504993,208540,38972,0.9986540197304873,0.8686776859504132,0.9291423267600238,72600,63151,0.0,0.0,0.0,19740,54,0.0026691167789919977,0.9904761904761905,0.005323886846928015,525,194821,0.17006774246692657,0.7703248262405396,474518,116,0.9412940008677363,116,0.19246294847520382,0.18691192437511578,0.3622166909626685,0.4139138460159302,0.36316412687301636,5238780,1279,1.931987722346532,1279,0.025079779701401288,0.025017558807443132,4.4485960159800015,0.2554974853992462,0.9901843070983887,863512,211,1.8789630207696764,211,0.16604614354214056,0.15936673600349432,0.6576714330003597,0.1512017697095871,0.9746056795120239,123768,31,1.040453713437546,31,0.8590308406515251,0.8758207278771503,0.14120279997587204,0.03641803562641144,0.9972179532051086,6554433,1601,2.5138747590780617,1601,0.029247115188689977,0.028328217137266076,5.915137574018445,11.524824513937347,0.0020399250206537545,0.0027190910186618567,0.009741514979396015,11.537285119935405,4.135704440006521,15.672989559941925,0.01434421306475997
9,0.00999492889246377,4.656612873077393e-10,0.7715135340111797,0.9190719952018087,0.7183717273189598,0.6049086532869046,0.7183717273189598,0.5383051401988478,0.9296251280498441,0.7055897727510597,0.0,0.0,0.9919018259807668,0.9882372507098245,0.9900661473936008,2495335,2486116,0.5824893516327496,0.9948270287746525,0.7347621037549997,6186,10565,0.6589389534883721,0.9998345922699454,0.7943579297807565,18137,27520,0.9995632065775951,0.1865493430516927,0.31441849187747517,208540,38920,0.9987963637515441,0.8686776859504132,0.9292039309867248,72600,63142,0.0,0.0,0.0,19740,107,0.002670871577303755,0.9904761904761905,0.005327377598377199,525,194693,0.1711968332529068,0.7740359306335449,474518,116,0.8918340723114466,116,0.1859784864420989,0.19777503548288672,0.3665430009714328,0.4116359055042267,0.3587573766708374,5238780,1279,1.5776074605121895,1279,0.023664330939937268,0.02421563692857327,4.377223441028036,0.2574905753135681,0.9918797016143799,863512,211,1.9246599856165232,211,0.15687620383436912,0.16305671129495314,0.6573077490320429,0.1574835181236267,0.9751147031784058,123768,31,1.0573172606975996,31,0.8744002326538826,0.9106088748936337,0.15117170300800353,0.03581254929304123,0.9977676272392273,6554433,1601,2.2366264196376684,1601,0.028865887527251718,0.027763891948921447,5.576901213964447,11.129147108003963,0.002054510056041181,0.00275114004034549,0.010037632018793374,11.141935880063102,3.915769515966531,15.057705396029633,0.015932127949781716
10,0.010791048923444369,4.0745362639427185e-10,0.7397059729689528,0.9188288244537609,0.7186341424908301,0.6038997047568334,0.7186341424908301,0.5376002062413754,0.9294858926551368,0.7034133612767925,0.0,0.0,0.9919035979762012,0.9879643414611665,0.9899300508356155,2495335,2485425,0.578382449863478,0.9930488199159392,0.7310049384185161,6186,10621,0.6575178564954135,0.9998897281799636,0.7933417909794829,18137,27581,0.9979735276010671,0.18655893353793038,0.31435335563420114,208540,38984,0.9988438390877415,0.8686914600550965,0.9292323559746575,72600,63140,0.0,0.0,0.0,19740,293,0.0026766622739322833,0.9942857142857143,0.005338951847154605,525,195019,0.18253883719444275,0.7747629880905151,474518,116,0.814501113508407,116,0.19536403043282394,0.20145550254082883,0.3645082979928702,0.4095579981803894,0.360045850276947,5238780,1279,1.4520484701352832,1279,0.023798183798995027,0.02448721964748022,4.9314115309971385,0.25390514731407166,0.9923649430274963,863512,211,1.8221294863238209,211,0.15929967487917335,0.1585398199437127,0.6713001010357402,0.14595119655132294,0.9744440913200378,123768,31,1.1154194192080211,31,0.9080655015479362,0.9140951442951663,0.09920208802213892,0.03671574592590332,0.9976415038108826,6554433,1601,2.817110618470142,1601,0.030005873229901135,0.029475049792812468,5.902084847039077,11.968506865086965,0.002053548989351839,0.002735490968916565,0.001296206028200686,11.972538562084083,3.918459169974085,15.890997732058167,0.01504811696941033
