round,server_control_norm,control_invariant_max_abs_error,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,correction_norm_client_0,control_norm_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,correction_norm_client_1,control_norm_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,correction_norm_client_2,control_norm_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,correction_norm_client_3,control_norm_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,correction_norm_client_4,control_norm_client_4,train_seconds_client_4,round_train_seconds,client_control_seconds,control_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.05699850423939565,0.0,1.012443992896587,0.9454666556542694,0.5766802496574377,0.46417927629138545,0.5766802496574377,0.3847316077694232,0.9421759235856502,0.7141475816756537,0.0,0.0,0.9871851601733079,0.9736227801076809,0.9803570664766358,2495335,2461053,0.15497598148939917,0.9961202715809894,0.268222081964002,6186,39761,0.24191934687779304,0.9998897281799636,0.3895810955961332,18137,74963,0.8676294373158919,0.9999664332981683,0.9291092655629021,208540,240348,0.997545008183306,0.06716253443526171,0.1258517447862895,72600,4888,0.0,0.0,0.0,19740,50,0.0,0.0,0.0,525,0,0.4217146337032318,0.6430764198303223,965697,236,3.738205711653886,236,0.0,0.1583985560000161,0.7770601420197636,0.8323335647583008,0.42769503593444824,363329,89,2.700404187034169,89,0.0,0.3034162199174411,0.2784853039775044,0.37295931577682495,0.9870526194572449,5550633,1356,5.52170928507803,1356,0.0,0.04072056812837072,4.688424030027818,0.4702233672142029,0.3283725678920746,4958301,1211,6.045862880793859,1211,0.0,0.04992455200936811,4.042178387986496,0.4734567701816559,0.6142270565032959,1417051,346,4.004843883050793,346,0.0,0.11574694014272187,1.0252449999679811,10.811392863979563,0.0020960469846613705,0.002844512986484915,0.001293481036555022,10.815530858002603,3.986870730004739,14.802401588007342,0.02555397100513801
2,0.02417802457543285,6.402842700481415e-10,0.7853872332904084,0.9724614444980492,0.6792945415454701,0.5825099815904373,0.6792945415454701,0.6111758544019829,0.9710675001686894,0.7070012302171073,0.0,0.0,0.988336375534028,0.9844770341457159,0.986402929896971,2495335,2485591,0.5457768324027298,0.9954736501778209,0.7050203217127483,6186,11283,0.6466162732653498,0.9998897281799636,0.7853539181083948,18137,28046,0.9012066104273267,0.9999616380550493,0.9480192393369884,208540,231392,0.9939734611131589,0.7428787878787879,0.8502758946870566,72600,54260,0.0,0.0,0.0,19740,252,0.0016603183904678191,0.03238095238095238,0.00315867707172055,525,10239,0.17871282994747162,0.9687924385070801,965697,236,2.183961412104062,236,0.11537216867157357,0.10819721665334925,0.712838314997498,0.3932209610939026,0.569679319858551,363329,89,1.844310518707886,89,0.2671634936039821,0.243834666941967,0.25667634297860786,0.3097344636917114,0.9916346669197083,5550633,1356,4.856884709234256,1356,0.03607141439401305,0.022529327565985875,4.802843794052023,0.3820534646511078,0.3699139952659607,4958301,1211,3.6425396326603363,1211,0.022726742819799233,0.027888442228495177,4.435073496017139,0.2776784896850586,0.8895086050033569,1417051,346,2.047733211144426,346,0.06820136607151928,0.06312821742822954,1.1358351270318963,11.343267075077165,0.0021589160314761102,0.0029105180292390287,0.0016364759649150074,11.347814069071319,3.966259219974745,15.314073289046064,0.026067623926792294
3,0.013895145182966308,6.693881005048752e-10,0.8269473264253693,0.822457350296679,0.669031690370139,0.4980272685722532,0.669031690370139,0.5387058839525908,0.854538806219733,0.7047099339156299,0.0,0.0,0.9897587048078303,0.8120096099321333,0.8921164538670792,2495335,2047202,0.5508724832214765,0.9951503394762367,0.7091757387247278,6186,11175,0.6319696124895455,0.9998897281799636,0.7744539107039907,18137,28696,0.31482843007746275,0.9999856142706435,0.4788873413608321,208540,662383,0.9969661381875122,0.841900826446281,0.9128954207366251,72600,61308,0.0,0.0,0.0,19740,274,0.0017955112219451373,0.03428571428571429,0.0034123222748815166,525,10025,0.12998045980930328,0.9868861436843872,965697,236,1.4663140172664353,236,0.09426683148769903,0.07752372696044592,0.7467360309674405,0.32617491483688354,0.5926171541213989,363329,89,1.1843814329750169,89,0.2320937073319465,0.22863822421161925,0.2867167619988322,0.29795730113983154,0.9931908845901489,5550633,1356,2.9780778294237025,1356,0.028125614869258166,0.025368805213887655,4.774784657987766,0.3600984513759613,0.3714439570903778,4958301,1211,2.522970054426734,1211,0.01754949769432913,0.024564963826711902,4.2935784659930505,0.2406041920185089,0.9071000814437866,1417051,346,1.3318715440259101,346,0.049043079619558165,0.043077132603969316,1.1345555530278943,11.236371469974983,0.002182680938858539,0.0029545409488491714,0.0012741340324282646,11.240600144956261,4.010590893041808,15.251191037998069,0.024577544128987938
4,0.01199254831510619,6.766640581190586e-10,0.7700612117208072,0.8347240029733473,0.6737025502862494,0.504549292139885,0.6737025502862494,0.5468255820781588,0.8634822898615956,0.616660110082431,0.0,0.0,0.9899299024324135,0.8254843538041986,0.9002591480303636,2495335,2080814,0.5547445255474452,0.9951503394762367,0.7123763235549384,6186,11097,0.6557584523594286,0.9998897281799636,0.7920597484276729,18137,27655,0.3315078118541787,0.9999664332981683,0.49793931116162676,208540,629044,0.9977988785527225,0.855426997245179,0.9211441623838447,72600,62241,0.0,0.0,0.0,19740,238,0.002105474233005815,0.04,0.004000380988665587,525,9974,0.11439710110425949,0.9905808568000793,965697,236,1.061685035270613,236,0.0776636991744631,0.07830794375091468,0.7485180800431408,0.30273687839508057,0.6078925728797913,363329,89,0.8193231338391728,89,0.2269093077220015,0.2552566179995569,0.29257621202850714,0.2971267104148865,0.9936872124671936,5550633,1356,2.2467653543402184,1356,0.023387523577795468,0.025014002090599285,4.4621282540028915,0.3504849374294281,0.3750469982624054,4958301,1211,2.186176793066642,1211,0.01653059900849273,0.021512353212273974,4.524950732011348,0.23028704524040222,0.9058841466903687,1417051,346,1.0063090143461437,346,0.042076671238657805,0.04719380665902861,1.1267658949946053,11.154939173080493,0.0021782940020784736,0.0029511559987440705,0.0012039519497193396,11.159094281028956,4.050091345969122,15.209185626998078,0.01773481391137466
5,0.010022686887605528,6.766640581190586e-10,0.7001879078269464,0.8321285274380614,0.6739224760602264,0.5078363404711858,0.6739224760602264,0.5493489300205278,0.8626312037714429,0.6165222267956162,0.0,0.0,0.9899076657757647,0.8225857450001703,0.8985234703666471,2495335,2073554,0.572757722366952,0.9951503394762367,0.7270579898429196,6186,10748,0.6533957845433255,0.9998897281799636,0.790333827246579,18137,27755,0.33969720565190054,0.9999712285412871,0.5071216480103888,208540,613882,0.9981489231561665,0.8541460055096419,0.9205498567462851,72600,62126,0.0,0.0,0.0,19740,7657,0.000947081804190837,0.045714285714285714,0.001855717930874507,525,25341,0.1159997507929802,0.9931851625442505,965697,236,1.0085873879989944,236,0.07913963913994862,0.08230381695301013,0.7538577940431423,0.29736074805259705,0.642582893371582,363329,89,0.7613465451262548,89,0.2537966716993738,0.28881117150954794,0.2905888480017893,0.2898811995983124,0.9940716624259949,5550633,1356,2.0268829638372177,1356,0.02346988104064757,0.024282059412696066,5.079537159996107,0.34132394194602966,0.3766624927520752,4958301,1211,1.7535668283096495,1211,0.015328792152327039,0.018068561793361998,4.42280632496113,0.22300754487514496,0.9133101105690002,1417051,346,0.8670886714784312,346,0.045537183705242026,0.0501939226271304,1.1239731179666705,11.670763244968839,0.002124410995747894,0.0028619769727811217,0.001445515954401344,11.675070737896021,4.024865346029401,15.699936083925422,0.017493301071226597
6,0.009017687473198076,6.803020369261503e-10,0.7838230965754249,0.8345726415893583,0.6737054791695527,0.5078647272680683,0.6737054791695527,0.5494820414869356,0.8634404154698819,0.7027305744179009,0.0,0.0,0.9899358522944401,0.8253072232786379,0.9001562605858351,2495335,2080355,0.5772151898734177,0.9951503394762367,0.7306391312088303,6186,10665,0.6558533145275035,0.9998897281799636,0.7921289420808946,18137,27651,0.33148990352593705,0.9999712285412871,0.4979197035413391,208540,629081,0.9984569389526473,0.8556198347107438,0.9215363389558948,72600,62214,0.0,0.0,0.0,19740,1106,0.002101891702532279,0.04,0.00399391403575504,525,9991,0.11192801594734192,0.9930557608604431,965697,236,0.9458070785505326,236,0.08307728905814768,0.08718240659640775,0.7668186679948121,0.28336381912231445,0.6575748324394226,363329,89,0.7245192760139458,89,0.2863957957538883,0.30809861267542943,0.2993433680385351,0.2894093096256256,0.9947587847709656,5550633,1356,1.8060179756057835,1356,0.023956929063024004,0.02640335797341673,4.854725081997458,0.33840081095695496,0.3748757839202881,4958301,1211,1.6133863347618331,1211,0.014053543019008925,0.01767552773651722,4.497510390006937,0.21885937452316284,0.9148640632629395,1417051,346,0.883413985605069,346,0.04859573048019319,0.05116993818776421,1.1167242160299793,11.535121724067722,0.0021349729504436255,0.002874723926652223,0.001602340955287218,11.539598788949661,4.023096902004909,15.56269569095457,0.016626270953565836
7,0.008070216289395533,6.803020369261503e-10,0.7607265627358629,0.8286103500701686,0.67262924096278,0.5079951013649843,0.67262924096278,0.5489783608701337,0.8598438995397669,0.6879743740683288,0.0,0.0,0.9898653412893449,0.8185674468558329,0.8961035770440252,2495335,2063513,0.5781015037593985,0.9943420627222761,0.7311303934387258,6186,10640,0.6560905900654824,0.9998897281799636,0.7923019791166063,18137,27641,0.3313208698290942,0.9999856142706435,0.49773077423381556,208540,629411,0.9984569389526473,0.8556198347107438,0.9215363389558948,72600,62214,0.0,0.0,0.0,19740,17787,0.002130465658922593,0.04,0.004045463301868619,525,9857,0.11157774180173874,0.9952924847602844,965697,236,0.9280105805822411,236,0.08626999784184569,0.08412963589169133,0.7580998849589378,0.28451138734817505,0.6835485696792603,363329,89,0.7919406647744833,89,0.30814363097615577,0.3373082301578346,0.3128168360562995,0.28061360120773315,0.9947526454925537,5550633,1356,1.6565489156236564,1356,0.02468471738144597,0.02600501305594813,4.890970008971635,0.33148258924484253,0.3769119679927826,4958301,1211,1.3446551221197602,1211,0.015057630003942312,0.016212552925872335,4.464603074011393,0.2180967926979065,0.9198554158210754,1417051,346,0.8775244245278334,346,0.051011857025140744,0.054010087959533847,1.1110287540359423,11.537518558034208,0.0021390889887697995,0.0028673679917119443,0.00126373500097543,11.541649661026895,4.078975231968798,15.620624892995693,0.016659915971104056
8,0.008246778813726879,6.83940015733242e-10,0.7510746889298086,0.8348140399558606,0.6736510380231394,0.5082330684546804,0.6736510380231394,0.5497923074221153,0.8636388768543016,0.703768830392394,0.0,0.0,0.9899482033098176,0.8255817355184775,0.900324625094726,2495335,2081021,0.5786849778948359,0.9945037180730683,0.7316406017720164,6186,10631,0.6563755474320461,0.9998897281799636,0.7925097233754316,18137,27629,0.33202615003470964,0.9999760237844059,0.4985249961750306,208540,628068,0.998489013197023,0.8556060606060606,0.9215420106667853,72600,62211,0.0,0.0,0.0,19740,1539,0.002107587314331594,0.04,0.004004194870817046,525,9964,0.11017712205648422,0.99481201171875,965697,236,0.8355869168449511,236,0.08495490107351071,0.08441286411942393,0.761142302013468,0.2869608700275421,0.703805685043335,363329,89,0.9232238744173239,89,0.3357861155760799,0.3532192328586823,0.28424646001076326,0.2813335955142975,0.9949437975883484,5550633,1356,1.657529295255005,1356,0.025611988296572855,0.027560508102564194,4.905641778022982,0.329333633184433,0.379163533449173,4958301,1211,1.25694042037725,1211,0.013737957543423203,0.016607782309443764,4.222542614967097,0.2169504463672638,0.920484185218811,1417051,346,0.9076784217918699,346,0.053049696284226594,0.05895440684652559,1.0665705939754844,11.240143748989794,0.0020962890121154487,0.0028111119754612446,0.001125143957324326,11.24408000492258,3.9592387580196373,15.203318762942217,0.016209207999054343
9,0.008066887139074276,6.821210263296962e-10,0.7115198828062086,0.8344475114522434,0.6744304052171598,0.5092190687216018,0.6744304052171598,0.5507536449544651,0.8640953010510932,0.7012176018225382,0.0,0.0,0.9899446196864299,0.825166160054662,0.9000759728945498,2495335,2079981,0.57861576076735,0.9946653734238603,0.7316290130796671,6186,10634,0.656328037349354,0.9998897281799636,0.7924750917671736,18137,27631,0.3402015100200335,0.9999712285412871,0.5076833935475076,208540,612972,0.998489013197023,0.8556060606060606,0.9215420106667853,72600,62211,0.0,0.0,0.0,19740,2491,0.000954540031022551,0.045714285714285714,0.0018700327255726976,525,25143,0.11476409435272217,0.9958143830299377,965697,236,0.7780073501725165,236,0.08479877873822464,0.08696980719621665,0.7332854559645057,0.2842516005039215,0.7036762833595276,363329,89,1.0261659733472246,89,0.35253560789032407,0.3699704032262755,0.29215434996876866,0.2791580855846405,0.9952524304389954,5550633,1356,1.5782450515813233,1356,0.027095785522633933,0.02758472036915368,4.550536228984129,0.3271067440509796,0.38006970286369324,4958301,1211,1.1742044684974964,1211,0.014450894450641223,0.016283093919354636,4.142739269009326,0.21906228363513947,0.9201842546463013,1417051,346,0.9568638946581094,346,0.057031249118433006,0.0633600432728573,1.065421103965491,10.78413640789222,0.002091852016746998,0.002945857006125152,0.013618971046525985,10.80070123594487,4.438675543991849,15.23937677993672,0.01738885312806815
10,0.007645889846595387,6.83940015733242e-10,0.7457162136759786,0.8295989844962697,0.6754622996026065,0.5091167093908853,0.6754622996026065,0.5511469972485802,0.8612932188084547,0.7009787957967092,0.0,0.0,0.9903284434635856,0.8193040213037528,0.8967346595934548,2495335,2064404,0.5782351282774175,0.9946653734238603,0.7313246568015689,6186,10641,0.656423064393528,0.9998897281799636,0.7925443580106634,18137,27627,0.33971048679010457,0.9999712285412871,0.507136447316263,208540,613858,0.9985117398394578,0.8686914600550965,0.9290886189701019,72600,63161,0.0,0.0,0.0,19740,1905,0.0006081029721032761,0.045714285714285714,0.001200240048009602,525,39467,0.11121863126754761,0.9961177706718445,965697,236,0.836246722500936,236,0.08733410252811503,0.08914010182679225,0.7719131109770387,0.28043925762176514,0.7108350992202759,363329,89,1.1680010521559916,89,0.36852586949861155,0.37452368207372605,0.31046303297625855,0.2775059938430786,0.9955475330352783,5550633,1356,1.7470442998931544,1356,0.028198945420004007,0.029320732429365018,4.800918595981784,0.32412996888160706,0.37958526611328125,4958301,1211,1.1091571126077366,1211,0.014261164622900797,0.016318287696679083,4.240016079042107,0.21679340302944183,0.9213443994522095,1417051,346,1.0496699220284145,346,0.060974738243323855,0.05971933472641442,1.0634945130441338,11.186805332021322,0.0020889139850623906,0.002853790996596217,0.0018784989952109754,11.19153762201313,4.028904123988468,15.220441746001597,0.03170382499229163
