round,server_control_norm_before,server_control_norm_after,server_control_delta_norm,control_invariant_max_abs_error,round_local_steps,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,control_norm_before_client_0,control_norm_after_client_0,control_delta_norm_client_0,correction_norm_client_0,train_seconds_client_0,control_update_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,control_norm_before_client_1,control_norm_after_client_1,control_delta_norm_client_1,correction_norm_client_1,train_seconds_client_1,control_update_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,control_norm_before_client_2,control_norm_after_client_2,control_delta_norm_client_2,correction_norm_client_2,train_seconds_client_2,control_update_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,control_norm_before_client_3,control_norm_after_client_3,control_delta_norm_client_3,correction_norm_client_3,train_seconds_client_3,control_update_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,control_norm_before_client_4,control_norm_after_client_4,control_delta_norm_client_4,correction_norm_client_4,train_seconds_client_4,control_update_seconds_client_4,round_train_seconds,round_client_control_seconds,server_control_update_seconds,round_control_state_update_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.0,0.17539264470304305,0.17539264470304305,0.0,411,1.8941817890624117,0.9617534347440467,0.3605494919433572,0.2662280886414133,0.3605494919433572,0.26774328109950174,0.9629977901094927,0.26900718950363933,0.0,0.0,0.9950361580097693,0.9851546978657155,0.9900707729267648,344284,340865,0.12884503772489844,0.6434782608695652,0.21470019342359767,345,1723,0.0,0.0,0.0,325,0,0.2222222222222222,0.004602991944764097,0.009019165727170236,869,18,0.5149466192170818,0.3057257553348827,0.3836669760042423,4733,2810,0.3093026479966727,0.6665670749925307,0.4225378787878788,3347,7213,0.3059443737502272,0.677536231884058,0.4215403882279274,2484,5501,0.0,0.0,0.0,1917,39,0.18598382749326145,0.32242990654205606,0.2358974358974359,214,371,0.0,0.0,0.0,24,2,2.0604279041290283,0.02984355203807354,244810,60,1.6195030197980744,60,0.0,0.26991716204719524,0.26991716204719524,0.0,0.9513992919964949,0.00036541601002682,1.9297175407409668,0.015381732024252415,213435,53,1.2200436454831969,53,0.0,0.2301969134190564,0.2301969134190564,0.0,0.810980207999819,0.0003291670000180602,1.9345598220825195,0.0284494049847126,204644,50,1.4301649541239898,50,0.0,0.28603298598964233,0.28603298598964233,0.0,0.7756236249988433,0.00033937500847969204,1.819259524345398,0.6731467247009277,227056,56,1.8053088728544893,56,0.0,0.3223765870361255,0.3223765870361255,0.0,0.8880814169970108,0.0003467499918770045,1.5962493419647217,0.8439711332321167,783246,192,3.66943432877077,192,0.0,0.19111636376904148,0.19111636376904148,0.0,2.925117082995712,0.0003443329915171489,6.35120162498788,0.0017250410019187257,0.0005883749981876463,0.002313416000106372,0.00121704199409578,6.354732082982082,1.5046798749972368,7.859411957979319,0.05455241801973898
2,0.17539264470304305,0.16410703157585063,0.12848791447749283,1.3969838619232178e-09,411,1.6170783173313206,0.9648520954309397,0.4151661252975912,0.33024786243937615,0.4151661252975912,0.33479847281054925,0.9680820720593005,0.3259683940334085,0.0,0.0,0.9976330873196481,0.9843007517049878,0.9909220766498968,344284,339683,0.1346153846153846,0.7101449275362319,0.22632794457274827,345,1820,0.0,0.0,0.0,325,0,0.2549019607843137,0.014959723820483314,0.02826086956521739,869,51,0.48526270824434004,0.4800338051975491,0.48263409453000533,4733,4682,0.31497797356828194,0.6408724230654317,0.42236880968789997,3347,6810,0.4610574189880614,0.6529790660225443,0.5404865044985006,2484,3518,0.40781796966161027,0.3646322378716745,0.38501790140457176,1917,1714,0.24621212121212122,0.3037383177570093,0.2719665271966527,214,264,0.0,0.0,0.0,24,0,1.7290741205215454,0.8476982116699219,244810,60,1.6542478585666063,60,0.26991716204719524,0.2929759012779999,0.2349243364757788,0.19929033991916048,0.8851768339955015,0.0003374170046299696,1.6313296556472778,0.9311453104019165,213435,53,1.2716954930559032,53,0.2301969134190564,0.22861216807898976,0.2003337379717283,0.15561327434985064,0.7793974169908324,0.0003859589924104512,1.6829535961151123,0.8934246897697449,204644,50,1.6385121307441282,50,0.28603298598964233,0.3851051115748079,0.2904088108100655,0.24913821812496878,0.7540842080052244,0.00038129200402181596,1.3417835235595703,0.9686332941055298,227056,56,1.6284865586506736,56,0.3223765870361255,0.3270586856807764,0.27224809911396963,0.21565809973311315,0.8281452910014195,0.0003836249961750582,1.330190658569336,0.9634968042373657,783246,192,2.827086468743816,192,0.19111636376904148,0.16847949396553105,0.1404617825014128,0.10398347838968289,2.8521060420025606,0.0003395000094315037,6.098909791995538,0.0018277930066687986,0.0005564170132856816,0.0023842100199544802,0.001109042001189664,6.1024030440166825,1.5448534580064006,7.647256502023083,0.05681991500023287
3,0.16410703157585063,0.1136093407350954,0.11349707533619584,1.280568540096283e-09,411,1.471944011753617,0.9648548845044653,0.48793004165293413,0.3407430159501261,0.48793004165293413,0.3321253321844576,0.9695795218972063,0.34548123917603313,0.0,0.0,0.9992095211408851,0.9839754388818533,0.991533968761296,344284,339035,0.1447596988998263,0.7246376811594203,0.2413127413127413,345,1727,0.0,0.0,0.0,325,0,0.391304347826087,0.010356731875719217,0.020179372197309416,869,23,0.5744165565830031,0.5512360025353898,0.5625876010781671,4733,4542,0.326984126984127,0.5539288915446668,0.4112232449817012,3347,5670,0.4643567168418063,0.6582125603864735,0.5445462114904246,2484,3521,0.413854351687389,0.3646322378716745,0.3876871880199667,1917,1689,0.0797872340425532,0.49065420560747663,0.13725490196078433,214,1316,0.012757605495583905,0.5416666666666666,0.024928092042186004,24,1019,1.5269465446472168,0.8998079895973206,244810,60,1.1913636102237763,60,0.2929759012779999,0.28639110666797807,0.19259203984541287,0.21491301006741242,0.9217159999971045,0.00037220898957457393,1.4861630201339722,0.9320448637008667,213435,53,0.9835707280117448,53,0.22861216807898976,0.22683843044959373,0.17368465069380268,0.16337973982043394,0.7910932499944465,0.0004729999927803874,1.4831066131591797,0.9202957153320312,204644,50,1.2137013016654918,50,0.3851051115748079,0.4154954938975761,0.2273457352049333,0.32609284653127785,0.7489458329946501,0.0003729169984580949,1.1732455492019653,0.9705227017402649,227056,56,1.1726291560363422,56,0.3270586856807764,0.29633244055951546,0.22458867801800295,0.2441376334245501,0.8236302089935634,0.00038079200021456927,1.195354700088501,0.9672529697418213,783246,192,2.4457789058548562,192,0.16847949396553105,0.14930213457482247,0.13433604003320884,0.12210871509643226,2.826004415997886,0.0006525409989990294,6.111389707977651,0.002251458980026655,0.0005947919999016449,0.0028462509799283,0.0011973749933531508,6.115433333950932,1.517732167005306,7.633165500956238,0.05607720804982819
4,0.1136093407350954,0.09267663385393603,0.09423074055540036,1.862645149230957e-09,411,1.406355649259234,0.9638647634028928,0.5074655352382903,0.34832586119667047,0.5074655352382903,0.35627041904882206,0.9700753243576843,0.361701884976331,0.0,0.0,0.9998965736321863,0.9828223211069931,0.9912859296107012,344284,338405,0.13860830527497195,0.7159420289855073,0.23225199811941702,345,1782,0.0,0.0,0.0,325,58,0.2545454545454545,0.01611047180667434,0.030303030303030304,869,55,0.6494328673173305,0.5201774772871329,0.5776630689816987,4733,3791,0.3240524099204492,0.41380340603525545,0.3634693609762498,3347,4274,0.4662664379645512,0.6566022544283414,0.5453025743898362,2484,3498,0.4502122102513875,0.7193531559728743,0.5538152610441767,1917,3063,0.19523809523809524,0.38317757009345793,0.2586750788643533,214,420,0.0050062578222778474,0.6666666666666666,0.009937888198757764,24,3196,1.4307466745376587,0.9245169758796692,244810,60,1.0980053158704919,60,0.28639110666797807,0.29656074758906037,0.18773239418954055,0.24764386919472156,0.8852112910099095,0.00032833300065249205,1.3780436515808105,0.9371518492698669,213435,53,0.8894491710541452,53,0.22683843044959373,0.24479347181745778,0.1591553877935278,0.18479913693120753,0.7793708340032026,0.00036862499837297946,1.4181873798370361,0.9313735365867615,204644,50,1.1266120986777124,50,0.4154954938975761,0.4613088421764599,0.22843413391326897,0.3791894404412714,0.7244144579890417,0.0003335000074002892,1.075666904449463,0.9667130708694458,227056,56,1.0980691750361025,56,0.29633244055951546,0.31653959943430804,0.20799515333349838,0.25804858806410635,0.8650003329967149,0.0003410420031286776,1.1405144929885864,0.9643074870109558,783246,192,2.363062280567548,192,0.14930213457482247,0.16470759351733158,0.11928065896429087,0.13997422483283925,3.1108142919983948,0.0003800830018008128,6.364811207997263,0.001751583011355251,0.0005906250007683411,0.002342208012123592,0.0014039579982636496,6.368557374007651,1.5890410419960972,7.957598416003748,0.05872224998893216
5,0.09267663385393603,0.08407798435072192,0.08856784057672361,1.3969838619232178e-09,411,1.374999417616836,0.9669522677956837,0.541584116411765,0.3332189253886265,0.541584116411765,0.36072326800411314,0.9714120003271911,0.37345598131767754,0.0,0.0,0.9998966887260834,0.9839173473062937,0.9918426623488799,344284,338782,0.11916461916461916,0.8434782608695652,0.20882669537136705,345,2442,0.0,0.0,0.0,325,0,0.18556701030927836,0.020713463751438434,0.037267080745341616,869,97,0.6244992620704196,0.6258187196281428,0.6251582946390882,4733,4743,0.3383980898632516,0.4657902599342695,0.39200402313301486,3347,4607,0.4671825738033821,0.6561996779388084,0.5457893855683911,2484,3489,0.43860211606284066,0.7136150234741784,0.5432883240667196,1917,3119,0.12439613526570048,0.48130841121495327,0.19769673704414586,214,828,0.034482758620689655,0.625,0.06535947712418301,24,435,1.3888360261917114,0.933732271194458,244810,60,1.1450320064214832,60,0.29656074758906037,0.33071279876360765,0.19467193973060476,0.27504701496117834,0.9485624590015505,0.00038662500446662307,1.3378899097442627,0.94022536277771,213435,53,0.8588530947017033,53,0.24479347181745778,0.2633014391452713,0.16419690707984833,0.22466551970465518,0.8550334579922492,0.00040424999315291643,1.338038682937622,0.938874363899231,204644,50,1.1363698973596672,50,0.4613088421764599,0.48525522103863705,0.2280407214733251,0.4407751042947507,0.7960279999970226,0.00036937498953193426,1.0511637926101685,0.966519296169281,227056,56,1.096788188168961,56,0.31653959943430804,0.327851487659908,0.19806797098746948,0.2956142104029591,0.8742103749973467,0.0003913330001523718,1.1075944900512695,0.9660821557044983,783246,192,2.227732810508691,192,0.16470759351733158,0.17216165656664312,0.11883379331854538,0.1541176937094668,3.0198714589932933,0.0003313329943921417,6.493705750981462,0.0018829159816959873,0.0006100000027799979,0.002492915984475985,0.0010976250050589442,6.497296291970997,1.5331011249945732,8.03039741696557,0.05941762404108886
6,0.08407798435072192,0.08577346633162952,0.09473251314750261,1.6298145055770874e-09,411,1.3207561927578935,0.9678447713238616,0.5484137547033476,0.3663405154526522,0.5484137547033476,0.38033530638422197,0.9725972199715157,0.3931927265963744,0.0,0.0,0.9999055554079859,0.984045148772525,0.9919119552280975,344284,338823,0.13079150579150578,0.7855072463768116,0.224244931733554,345,2072,0.0,0.0,0.0,325,0,0.2535211267605634,0.020713463751438434,0.03829787234042553,869,71,0.6247144340602284,0.6355377139235158,0.6300795978215333,4733,4815,0.3564411492122336,0.5745443680908277,0.43994509265614273,3347,5395,0.46680080482897385,0.6537842190016103,0.5446922689921181,2484,3479,0.6472424557752341,0.6489306207616067,0.6480854389163845,1917,1922,0.17221418234442837,0.5560747663551402,0.26298342541436465,214,691,0.011773940345368918,0.625,0.023112480739599383,24,1274,1.3409404754638672,0.9376169443130493,244810,60,1.1666567845161948,60,0.33071279876360765,0.36821610869582344,0.2023817307775834,0.31124134916983415,0.881776207999792,0.00035837499308399856,1.3013948202133179,0.9456930756568909,213435,53,0.8564554452296709,53,0.2633014391452713,0.27938654985947836,0.16305246092545883,0.24583530668534812,0.7779511249973439,0.0007958330097608268,1.3522663116455078,0.9389671683311462,204644,50,1.578034168316942,50,0.48525522103863705,0.587042830903568,0.3167343743347309,0.47479410339187944,0.7547652080102125,0.00034683400008361787,0.9964754581451416,0.9673560857772827,227056,56,1.160900143988851,56,0.327851487659908,0.3481420183157948,0.21508664902148478,0.31178089399436687,0.8222832089959411,0.0003429159987717867,1.0613734722137451,0.9678645133972168,783246,192,2.0675043679397933,192,0.17216165656664312,0.1745080069771992,0.1131250267947133,0.1627037378259187,2.966013750003185,0.00034329200570937246,6.2027895000064746,0.0021872500074096024,0.0005662089970428497,0.002753459004452452,0.0011955840018345043,6.2067385430127615,1.5218942909996258,7.728632834012387,0.05543937497714069
7,0.08577346633162952,0.07916135596733131,0.09617769115494616,1.862645149230957e-09,411,1.2819495164313113,0.9648214156221586,0.5240918225257803,0.3462384409679678,0.5240918225257803,0.34517313374503156,0.9706366394947737,0.3905286650341036,0.02358490566037736,0.018411967779056387,0.99991440024086,0.9839463930940735,0.9918661337783828,344284,338786,0.11284046692607004,0.672463768115942,0.19325281132861308,345,2056,0.1048951048951049,0.13846153846153847,0.11936339522546419,325,429,0.3137254901960784,0.018411967779056387,0.034782608695652174,869,51,0.6535593220338983,0.6110289457004014,0.631578947368421,4733,4425,0.35025510204081634,0.4102181057663579,0.3778725746525389,3347,3920,0.4616457461645746,0.6662640901771336,0.5453946284396112,2484,3585,0.375769048745859,0.414188836724048,0.3940446650124069,1917,2113,0.07776049766718507,0.7009345794392523,0.1399906672888474,214,1929,0.01201923076923077,0.625,0.02358490566037736,24,1248,1.3183035850524902,0.9370450377464294,244810,60,1.1440524370727263,60,0.36821610869582344,0.37445776636564826,0.20310031629831046,0.34340555337008083,0.9124097919993801,0.00035295898851472884,1.2638280391693115,0.9485136270523071,213435,53,0.8515732088093718,53,0.27938654985947836,0.30611519563446027,0.164559445074377,0.27064934995181433,0.7866820829949575,0.00034679198870435357,1.3090838193893433,0.8926867842674255,204644,50,1.7981421444574102,50,0.587042830903568,0.6164852512642479,0.37267882804749464,0.5609388831166054,0.7232779590121936,0.00038291700184345245,0.9582699537277222,0.9691001176834106,227056,56,1.1182360819565527,56,0.3481420183157948,0.366233392821725,0.20872894801753253,0.34026162532339504,0.8235454999958165,0.0003394579980522394,1.0646542310714722,0.9626566767692566,783246,192,2.0617629460519327,192,0.1745080069771992,0.18416202105117252,0.1116404613050194,0.17597422314106648,2.888773333004792,0.0005274169961921871,6.13468866700714,0.0019495429733069614,0.0006126249936642125,0.002562167966971174,0.00114824999764096,6.138399084971752,1.4850492920086253,7.623448376980377,0.057449956017080694
8,0.07916135596733131,0.0790036534538825,0.09214125222249235,1.7462298274040222e-09,411,1.2822092130537481,0.9671614483101003,0.5601282808444491,0.3508626892077951,0.5601282808444491,0.3689617448606328,0.9722224960301815,0.4103529077334095,0.0,0.0,0.9999144090832622,0.984048053351303,0.9919177871630277,344284,338821,0.11203170028818443,0.9014492753623189,0.1992950977250881,345,2776,0.0,0.0,0.0,325,0,0.1927710843373494,0.018411967779056387,0.03361344537815126,869,83,0.678097078000483,0.5932812169871118,0.6328600405679513,4733,4141,0.3414927768860353,0.5085150881386317,0.40859440643380146,3347,4984,0.4691358024691358,0.6578099838969405,0.5476789006200771,2484,3483,0.5720891130727196,0.7099634846113719,0.6336126629422719,1917,2379,0.12536443148688048,0.602803738317757,0.2075623491552695,214,1029,0.01773049645390071,0.625,0.034482758620689655,24,846,1.294811487197876,0.9443568587303162,244810,60,1.220820038036686,60,0.37445776636564826,0.38457047438000574,0.21044042663922377,0.3607372665947414,0.8857957500003977,0.0003395000094315037,1.250773549079895,0.9504157900810242,213435,53,0.8413954170821626,53,0.30611519563446027,0.31936312244059806,0.1610817504572821,0.29026159345626257,0.7764172919996781,0.0003541670012054965,1.2505964040756226,0.9464777708053589,204644,50,1.8239141776411303,50,0.6164852512642479,0.5875758507803378,0.38496828415144235,0.5964083312075498,0.7548655420105206,0.00035345800279174,1.018173098564148,0.9681180119514465,227056,56,1.389162179831454,56,0.366233392821725,0.41942436346327094,0.24840279976416896,0.35588470180033555,0.8288797909917776,0.00037812499795109034,1.0476185083389282,0.9691961407661438,783246,192,2.134204968547703,192,0.18416202105117252,0.1950760359888804,0.10977899675238938,0.18651259487372587,2.856567458002246,0.00033525000617373735,6.10252583300462,0.0017605000175535679,0.0006101659964770079,0.0023706660140305758,0.0011297079909127206,6.106026207009563,1.541095625012531,7.647121832022094,0.05887683398032095
9,0.0790036534538825,0.07891331514489126,0.09385049074724502,2.444721758365631e-09,411,1.2846557115194548,0.9632065420508615,0.5091846060348588,0.3068011486860698,0.5091846060348588,0.2959417536455865,0.969144866452597,0.39024879112016164,0.004079967360261118,0.0026082420448617634,0.9999056088963615,0.9846028278978982,0.9921952176133728,344284,339015,0.1134672619047619,0.8840579710144928,0.20112100230794594,345,2688,0.09090909090909091,0.003076923076923077,0.005952380952380952,325,11,0.21978021978021978,0.023014959723820484,0.041666666666666664,869,91,0.7350450696531002,0.5685611662793154,0.6411722659042173,4733,3661,0.36257876878332523,0.4469674335225575,0.4003746821892145,3347,4126,0.47348703170028816,0.6614331723027376,0.551897883775613,2484,3470,0.009363295880149813,0.0026082420448617634,0.004079967360261118,1917,534,0.05093333333333333,0.8925233644859814,0.0963673057517659,214,3750,0.01254180602006689,0.625,0.02459016393442623,24,1196,1.2764091491699219,0.9455741047859192,244810,60,1.1843572289895345,60,0.38457047438000574,0.3933868988227646,0.20624446210735384,0.3766728468525708,0.9704879159980919,0.00033650000113993883,1.2506017684936523,0.9512357115745544,213435,53,0.8537728993401299,53,0.31936312244059806,0.33212001443239453,0.1620142605542391,0.31333025280176413,0.8278524580091471,0.000338790996465832,1.2335354089736938,0.9497908353805542,204644,50,1.4993217109383088,50,0.5875758507803378,0.5712939268296343,0.31085358856089695,0.5779889174538333,0.793034083006205,0.00035733300319407135,0.9885392189025879,0.9698179960250854,227056,56,1.6660077454988829,56,0.41942436346327094,0.4654421013186304,0.30929516146281366,0.40213176144784996,0.8680952909926418,0.0007984999974723905,1.0025503635406494,0.9701575040817261,783246,192,2.0836404250230403,192,0.1950760359888804,0.18302476932491746,0.11074168412245372,0.1862215217575664,3.0107759999955306,0.0003389999910723418,6.4702457480016164,0.0021701239893445745,0.0006264580006245524,0.002796581989969127,0.0012011669896310195,6.474243496981217,1.594994166996912,8.069237663978129,0.05920317000709474
10,0.07891331514489126,0.07876118078748193,0.09883393062520039,1.862645149230957e-09,411,1.2988453012383885,0.9661434364732723,0.5505773714799636,0.37610825380272606,0.5505773714799636,0.35120249862442204,0.9717501197265639,0.4159988572656621,0.0,0.0,0.9999173646403295,0.9841003357693068,0.9919458017747927,344284,338838,0.10783978089695309,0.9130434782608695,0.192896509491733,345,2921,0.0,0.0,0.0,325,0,0.2,0.010356731875719217,0.019693654266958426,869,45,0.6933469283711445,0.574688358335094,0.6284658040665434,4733,3923,0.3592960446070744,0.6160740962055572,0.45388509795289456,3347,5739,0.4677648395342232,0.6630434782608695,0.5485428809325562,2484,3521,0.8299748110831234,0.34376630151278037,0.4861674658797492,1917,794,0.07404103479036575,0.7757009345794392,0.13517915309446255,214,2242,0.028901734104046242,0.625,0.055248618784530384,24,519,1.239362359046936,0.9448511004447937,244810,60,1.194739050493553,60,0.3933868988227646,0.3935505207730974,0.20469425710438455,0.38305705394442974,0.9407639999990351,0.0003664579999167472,1.1969079971313477,0.9512591361999512,213435,53,0.9019122724788132,53,0.33212001443239453,0.3413149090552376,0.17103213232274864,0.31792552772343435,0.8251841669989517,0.0003422089939704165,1.2237926721572876,0.9475528001785278,204644,50,1.6162428992473439,50,0.5712939268296343,0.6054680520484347,0.3396563405880719,0.5636062394344143,0.7699300840031356,0.000320167004247196,0.9145034551620483,0.9715796709060669,227056,56,1.5648428738620646,56,0.4654421013186304,0.3881152371734173,0.3045801027314414,0.4386026717758325,0.8653086669946788,0.00038095799391157925,1.021494746208191,0.9694259762763977,783246,192,2.238229141411037,192,0.18302476932491746,0.1928949865649903,0.11542532197982075,0.18582222124443157,3.1219534169940744,0.0003588750114431605,6.5231403349898756,0.0017686670034890994,0.0005643329932354391,0.0023329999967245385,0.0016674999933457002,6.527140834979946,1.5789027499995427,8.106043584979489,0.057204831013223156
