round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,3.23971604567448,0.9518103876254386,0.25477380769316976,0.14601855644216102,0.25477380769316976,0.13480535012973352,0.9533344999083121,0.19058668677223553,0.0,0.0,0.9969570447951313,0.9820729397822727,0.9894590212868071,344284,339144,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.25,0.004602991944764097,0.00903954802259887,869,16,0.0,0.0,0.0,4733,0,0.20986000401902338,0.9360621452046609,0.34285401619610417,3347,14929,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0033685156074556477,0.625,0.006700915791824883,24,4453,2.0583105087280273,0.13643436133861542,18639,5,0.6332709463315377,0.11381512496154755,2.174057722091675,0.2696530520915985,6831,2,0.2967677866375829,0.061245417105965316,1.7273650169372559,0.09694842994213104,123117,31,1.4521822665698763,0.5181364580057561,0.829197108745575,0.9629485607147217,1494059,365,6.468109863968314,5.53900458291173,1.979190468788147,0.12263873219490051,30545,8,0.7364325952031294,0.16955950006376952,6.401761083048768,0.0015483329771086574,6.403309416025877,1.5126648340374231,7.9159742500633,0.014743458945304155
2,3.6467394932804913,0.959262792085725,0.2584954365827829,0.1334190134456794,0.2584954365827829,0.14136422774340887,0.9562631432639803,0.21576947142046699,0.0,0.0,0.9945996281041192,0.9896451766564813,0.9921162170071325,344284,342569,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0975609756097561,0.018411967779056387,0.030977734753146177,869,164,0.0,0.0,0.0,4733,0,0.2354419154596512,0.9518972213922916,0.3775105160258309,3347,13532,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.006587615283267457,0.625,0.01303780964797914,24,2277,3.137866735458374,0.016202585771679878,18639,5,0.9770121287946003,0.08748033398296684,3.0453507900238037,0.04098960757255554,6831,2,0.5294364599101843,0.02327912498731166,1.9109176397323608,0.8292924761772156,123117,31,2.0086340290379776,0.42769658297766,0.5275737047195435,0.9847736954689026,1494059,365,3.767541676567965,5.46829008392524,2.35805344581604,0.8183663487434387,30545,8,1.076311470192785,0.10181979194749147,6.10856591782067,0.0012846250319853425,6.109850542852655,1.528003416955471,7.637853959808126,0.016016415203921497
3,4.388371681733821,0.960972494156891,0.2730468114961915,0.13402677937897942,0.2730468114961915,0.15206945460733173,0.9574626043849815,0.21814794463951576,0.0,0.0,0.9954708083089656,0.9907924852737856,0.9931261372734551,344284,342666,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08462732919254658,0.12543153049482164,0.10106629578117757,869,1288,0.0,0.0,0.0,4733,0,0.23801308317159084,0.9892440991933075,0.3837061073125507,3347,13911,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.022156573116691284,0.625,0.042796005706134094,24,677,3.421501874923706,0.007457481697201729,18639,5,1.0454694204623334,0.06335391604807228,3.279359817504883,0.05899575352668762,6831,2,0.6168905453706413,0.023712540976703167,1.8724738359451294,0.8371711373329163,123117,31,2.084022542180328,0.45483320800121874,0.47092384099960327,0.9825422167778015,1494059,365,4.386189242817582,5.4734514999436215,2.4360883235931396,0.8234735727310181,30545,8,1.1609034171306174,0.09845741605386138,6.113808581023477,0.0011388750281184912,6.1149474560515955,1.5216159999836236,7.636563456035219,0.015349169028922915
4,3.9726091126019907,0.9609334471275331,0.26724237583805477,0.13471017867962448,0.26724237583805477,0.15430948291763044,0.9574370902954498,0.21778722613455334,0.0,0.0,0.9955051457325154,0.9906763021226662,0.993084853937557,344284,342614,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08108108108108109,0.14844649021864212,0.1048780487804878,869,1591,0.0,0.0,0.0,4733,0,0.2381772515249372,0.9916342993725724,0.3840990626084944,3347,13935,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.03233830845771144,0.5416666666666666,0.06103286384976526,24,402,3.6593761444091797,0.01963624730706215,18639,5,1.2619793832342907,0.06223091599531472,3.568563938140869,0.08154004067182541,6831,2,0.7116920906134332,0.023207082995213568,1.8598943948745728,0.8268070220947266,123117,31,2.1251322901443492,0.4552713750163093,0.6700555682182312,0.9797518253326416,1494059,365,7.17202455909051,5.46377204102464,2.5028488636016846,0.8234408497810364,30545,8,1.3186642470885839,0.12529266707133502,6.129774082102813,0.0017448749858886003,6.131518957088701,1.5072316250298172,7.638750582118519,0.01586866786237806
5,4.2909747817497035,0.9626208366104947,0.27874237580439604,0.13769718228397926,0.27874237580439604,0.1586669558682648,0.9577951811813141,0.23870034730507897,0.0,0.0,0.9938445606104241,0.992334816604896,0.9930891148108045,344284,343761,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08742857142857142,0.1760644418872267,0.11683848797250859,869,1750,0.0,0.0,0.0,4733,0,0.2653956604977664,0.9940244995518375,0.4189384876912422,3347,12536,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.030303030303030304,0.625,0.057803468208092484,24,495,3.4559154510498047,0.01706100068986416,18639,5,1.2022115627297183,0.0878719580359757,3.4467453956604004,0.07568438351154327,6831,2,0.702009484411934,0.023484874982386827,1.8484604358673096,0.7657918930053711,123117,31,2.0091034954224103,0.4323608330450952,0.32311728596687317,0.9897748231887817,1494059,365,2.199245141042095,5.54948325001169,2.5147311687469482,0.8220330476760864,30545,8,1.3087669670700264,0.10394308296963573,6.197143999044783,0.0014507499290630221,6.198594748973846,1.5913853750098497,7.789980123983696,0.018779959995299578
6,3.6802485537527483,0.9628272280513859,0.2892985725191995,0.15653026253705243,0.2892985725191995,0.17084473382442406,0.9586657066633626,0.26789898989253513,0.0,0.0,0.9951337845236292,0.9925439462769109,0.993837178189602,344284,343388,0.20105820105820105,0.11014492753623188,0.14232209737827714,345,189,0.0,0.0,0.0,325,0,0.08068582955118507,0.18411967779056387,0.11220196353436185,869,1983,0.0,0.0,0.0,4733,0,0.26873977086743045,0.981177173588288,0.4219181602107021,3347,12220,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.01968503937007874,0.625,0.03816793893129771,24,762,3.7080771923065186,0.016900047659873962,18639,5,1.2055775768184303,0.06509649998042732,3.6600570678710938,0.0900307446718216,6831,2,0.7323462072068327,0.02694908296689391,1.87151300907135,0.8427593111991882,123117,31,2.12116340659823,0.4623909170040861,0.3353048264980316,0.9899488687515259,1494059,365,2.365212563241673,5.525529500097036,2.713052749633789,0.825175940990448,30545,8,1.3030226801648923,0.0990737919928506,6.179039792041294,0.001145375077612698,6.180185167118907,1.5378664169693366,7.7180515840882435,0.01626166596543044
7,4.064338779502348,0.9630754555951604,0.2780821188597986,0.13774622682953608,0.2780821188597986,0.15923369512076657,0.9583483613691768,0.2788317770337874,0.0,0.0,0.9946456527938634,0.9928024537881517,0.993723198581251,344284,343646,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08108108108108109,0.16570771001150747,0.10888468809073724,869,1776,0.0,0.0,0.0,4733,0,0.2619477360119281,0.9973110247983269,0.4149160969546302,3347,12743,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.03978779840848806,0.625,0.07481296758104738,24,377,3.5486531257629395,0.02044101059436798,18639,5,1.1205335938917234,0.06445391708984971,3.086824417114258,0.10876885056495667,6831,2,0.5777832564462962,0.02351466694381088,1.816753625869751,0.829755425453186,123117,31,2.060391427454602,0.4608200420625508,0.3807673752307892,0.98899906873703,1494059,365,3.7124883763937295,5.527653208002448,2.4732730388641357,0.8257325291633606,30545,8,1.2524277624982127,0.10163837496656924,6.178080209065229,0.00120449997484684,6.1792847090400755,1.539469875046052,7.718754584086128,0.01571991585660726
8,3.8595829563974706,0.962336351110888,0.3040497434343166,0.15179446589872164,0.3040497434343166,0.17641891855110514,0.9585375525242692,0.2622202419874859,0.0,0.0,0.9953865209471767,0.9920356449907635,0.9937082581112554,344284,343125,0.15780998389694043,0.28405797101449276,0.2028985507246377,345,621,0.0,0.0,0.0,325,0,0.07508702138239681,0.17376294591484465,0.10486111111111111,869,2011,0.0,0.0,0.0,4733,0,0.26596445029624755,0.9656408724230654,0.4170591651074263,3347,12152,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.023696682464454975,0.625,0.045662100456621,24,633,3.6751015186309814,0.023284511640667915,18639,5,1.1554245152688642,0.06384604098275304,3.497755527496338,0.07817303389310837,6831,2,0.6854096822862288,0.02329883398488164,1.8133411407470703,0.7379565834999084,123117,31,2.1271318355336595,0.45726495899725705,0.31149283051490784,0.9892768859863281,1494059,365,3.288368853476998,5.560037125018425,2.6597352027893066,0.8250122666358948,30545,8,1.2678055081728286,0.12425483402330428,6.228701793006621,0.0011324590304866433,6.229834252037108,1.5247354579623789,7.754569709999487,0.01603283197619021
9,3.9072388338758275,0.9633459957271393,0.2813538418590646,0.13914741168593617,0.2813538418590646,0.16138992233515165,0.95816660886358,0.28404251805615155,0.0,0.0,0.9936377930785931,0.9929999651450546,0.9933187767216244,344284,344063,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08402540302882266,0.19792865362485615,0.11796982167352538,869,2047,0.0,0.0,0.0,4733,0,0.27792575328783087,0.9976097998207349,0.43473732178894603,3347,12014,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.03588516746411483,0.625,0.06787330316742081,24,418,3.699615716934204,0.03535597398877144,18639,5,1.1731211386631282,0.08511824999004602,3.197244644165039,0.12194407731294632,6831,2,0.6045510143257027,0.023263457929715514,1.7686482667922974,0.7771144509315491,123117,31,2.111373119245345,0.432168334024027,0.2727658748626709,0.9909260869026184,1494059,365,2.0506291487464923,5.63754479191266,2.5403401851654053,0.8241610527038574,30545,8,1.3356427626037826,0.13498104200698435,6.313075875863433,0.0013187919976189733,6.314394667861052,1.6538081670878455,7.968202834948897,0.01597404119092971
10,3.9762444069610803,0.9629806270952915,0.28186012653641646,0.13667153034306484,0.28186012653641646,0.15837569051600278,0.9591713353836335,0.2744663904979944,0.0,0.0,0.9966083604061802,0.9926078470100266,0.9946040809911727,344284,342902,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.07415165479681608,0.20368239355581128,0.10872235872235872,869,2387,0.0,0.0,0.0,4733,0,0.2600701207635372,0.9973110247983269,0.4125571622790755,3347,12835,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.03588516746411483,0.625,0.06787330316742081,24,418,3.543299913406372,0.06464938819408417,18639,5,1.1950658336452957,0.09409595793113112,3.325683355331421,0.10291319340467453,6831,2,0.637893174336298,0.024833458941429853,1.709157943725586,0.800173819065094,123117,31,2.031927765965177,0.47580562497023493,0.26846641302108765,0.9906790852546692,1494059,365,2.3053217187988726,6.045497832936235,2.5019690990448,0.8260926604270935,30545,8,1.3277791260093574,0.10674545809160918,6.74697833287064,0.001528250053524971,6.748506582924165,1.5431075419764966,8.291614124900661,0.022283917060121894
11,3.694632784712104,0.962883009521897,0.2879315227809996,0.13542610697637708,0.2879315227809996,0.1543242957819121,0.959329518110268,0.28205200443255896,0.0,0.0,0.9965888218315403,0.9928431178910434,0.9947124436542049,344284,342990,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.078961899503037,0.16455696202531644,0.10671641791044777,869,1811,0.0,0.0,0.0,4733,0,0.2672307565924587,0.9719151478936361,0.41920103092783506,3347,12173,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.011479591836734694,0.75,0.022613065326633167,24,1568,3.5844674110412598,0.08428563922643661,18639,5,1.1751645243451938,0.0628891671076417,3.437527894973755,0.10554823279380798,6831,2,0.667083202033583,0.02336812496650964,1.6813822984695435,0.7799735069274902,123117,31,2.0142740631261744,0.46036558295600116,0.3674352169036865,0.9858372211456299,1494059,365,6.243927770333015,5.567751459078863,2.5267698764801025,0.8241283297538757,30545,8,1.3618438980539085,0.10192583303432912,6.216300167143345,0.0012555839493870735,6.217555751092732,1.566725332988426,7.784281084081158,0.015610123868100345
12,3.808363553550497,0.9628857985954226,0.27430604964606464,0.13406453800768453,0.27430604964606464,0.1484318232508086,0.9583751395497716,0.29187162604456257,0.0,0.0,0.9953616487256909,0.9929244460968271,0.9941415536733432,344284,343441,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08266129032258064,0.047180667433831994,0.060073260073260075,869,496,0.0,0.0,0.0,4733,0,0.24074341914955164,0.9946220495966537,0.3876564774381368,3347,13828,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.021879021879021878,0.7083333333333334,0.04244694132334582,24,777,3.548767328262329,0.09013359248638153,18639,5,1.1112167498687682,0.06342045799829066,3.5244522094726562,0.08007612079381943,6831,2,0.6151580755665952,0.023261417052708566,1.6809533834457397,0.7705028653144836,123117,31,2.07722254209773,0.459728333982639,0.49073049426078796,0.98530513048172,1494059,365,6.513318533800412,5.470050124917179,2.4604578018188477,0.8243575096130371,30545,8,1.3996329232911728,0.12617633305490017,6.142636667005718,0.0011234170524403453,6.143760084058158,1.506491625099443,7.650251709157601,0.015230457996949553
13,3.9475203361551,0.9626096803163925,0.28803458508259344,0.1342116727337848,0.28803458508259344,0.1530441112263749,0.9592817235305664,0.2689299004006015,0.0,0.0,0.9973175871711198,0.9924451905984594,0.9948754232871247,344284,342602,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.07737743650324867,0.15074798619102417,0.10226385636221702,869,1693,0.0,0.0,0.0,4733,0,0.24954682779456194,0.9871526740364506,0.398384276843311,3347,13240,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.01787487586891758,0.75,0.03491755577109602,24,1007,3.5167977809906006,0.13858039677143097,18639,5,1.1761285658596925,0.08861995802726597,3.518264055252075,0.06250914931297302,6831,2,0.658897274413929,0.023100792081095278,1.6525541543960571,0.7869587540626526,123117,31,2.0252831006546606,0.4672907911008224,0.288066029548645,0.9853024482727051,1494059,365,4.0932129173641485,5.555745791993104,2.4382829666137695,0.8233098983764648,30545,8,1.3746957482955287,0.10450958297587931,6.239266916178167,0.0011884999694302678,6.240455416147597,1.5495479590026662,7.790003375150263,0.015358667820692062
14,4.037798078350963,0.9627881810220281,0.2828374183527637,0.13539158215848185,0.2828374183527637,0.1552615231200015,0.9592282622944358,0.2774940818873013,0.0,0.0,0.9970704179323103,0.992514900489131,0.9947874438678593,344284,342711,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08388157894736842,0.1760644418872267,0.1136279242480505,869,1824,0.0,0.0,0.0,4733,0,0.24939975990396157,0.9931281744846131,0.3986806596701649,3347,13328,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.023564064801178203,0.6666666666666666,0.04551920341394026,24,679,3.5412371158599854,0.17066365480422974,18639,5,1.180075872830133,0.06259129103273153,3.590998888015747,0.0805152952671051,6831,2,0.6981956413066882,0.026290958048775792,1.7322477102279663,0.8151108026504517,123117,31,2.0170581365423534,0.4561949169728905,0.3050077557563782,0.986706018447876,1494059,365,3.995711926195023,5.611830250010826,2.4822442531585693,0.8231788873672485,30545,8,1.3099860513559678,0.10178058303426951,6.258687999099493,0.0012264170218259096,6.259914416121319,1.534493999904953,7.794408416026272,0.016085417941212654
15,4.283978351778991,0.9628606969336926,0.29494787402572237,0.13664501687904512,0.29494787402572237,0.158091791586454,0.9597016439754905,0.2673030585905095,0.0,0.0,0.9977778296900642,0.9924858547013512,0.9951248066959644,344284,342458,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0854950675922543,0.26927502876869963,0.129783693843594,869,2737,0.0,0.0,0.0,4733,0,0.25966413181242076,0.9793845234538393,0.41049402041199673,3347,12624,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.02351313969571231,0.7083333333333334,0.04551539491298527,24,723,3.606501817703247,0.16186490654945374,18639,5,1.1749455041752244,0.06272729206830263,3.7674612998962402,0.07817303389310837,6831,2,0.701298093327007,0.023330750060267746,1.7187798023223877,0.841492235660553,123117,31,2.0439453598875432,0.45904666697606444,0.4480683207511902,0.9894776344299316,1494059,365,7.6692515302014685,5.592347666970454,2.488558053970337,0.8241610527038574,30545,8,1.3877194487736415,0.1012269159546122,6.238679292029701,0.001974874990992248,6.240654167020693,1.534836042090319,7.7754902091110125,0.017588292015716434
16,4.049584593567376,0.9628774313748459,0.2833058503678185,0.13546288109651322,0.2833058503678185,0.1556826661279755,0.9591840704370556,0.28585623225191836,0.0,0.0,0.9967885519607043,0.9925962286949147,0.9946879729887065,344284,342836,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.07893413775766717,0.1806674338319908,0.10986703988803359,869,1989,0.0,0.0,0.0,4733,0,0.25447864033073037,0.9931281744846131,0.4051435188006582,3347,13062,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.024427480916030534,0.6666666666666666,0.047128129602356406,24,655,3.4035868644714355,0.22104190289974213,18639,5,1.2775947123031401,0.062382083968259394,4.35319709777832,0.10496266931295395,6831,2,0.8549285777067234,0.02327754208818078,1.739525318145752,0.8072808980941772,123117,31,2.129477004439937,0.4623999579343945,0.3463799059391022,0.9892775416374207,1494059,365,2.7858320295134873,5.85179695894476,2.487281322479248,0.8272057771682739,30545,8,1.4864496802953866,0.1262695409823209,6.526126083917916,0.0011185419280081987,6.527244625845924,1.5105055420426652,8.03775016788859,0.01706633309368044
17,3.8597622427737033,0.9634408242270083,0.29402611297261144,0.1373170187427331,0.29402611297261144,0.15863724437620913,0.959155314791345,0.29004087757241115,0.0,0.0,0.9958118415955777,0.9931074345598402,0.994457799436618,344284,343349,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08058608058608059,0.20253164556962025,0.11529642974123813,869,2184,0.0,0.0,0.0,4733,0,0.2696638315107331,0.9946220495966537,0.42429263318888605,3347,12345,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.02710843373493976,0.75,0.05232558139534884,24,664,3.4073619842529297,0.23590321838855743,18639,5,1.2365955858959494,0.0866285419324413,3.625981330871582,0.09076269716024399,6831,2,0.714425979805619,0.0246598330559209,1.623670220375061,0.8086048364639282,123117,31,2.020558337708717,0.43676379206590354,0.2767663300037384,0.9899341464042664,1494059,365,2.9062911895619785,5.530477792024612,2.41701078414917,0.828089714050293,30545,8,1.5019663709693847,0.1259272089228034,6.204457168001682,0.001173041993752122,6.205630209995434,1.5101192919537425,7.715749501949176,0.016327457036823034
18,3.908410784157622,0.9630447757863793,0.26767490372085645,0.13240958004043019,0.26767490372085645,0.14777066308503636,0.959435150826125,0.29813316500496134,0.0,0.0,0.9973891024930425,0.9930725796145043,0.9952261606396945,344284,342794,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.07313997477931904,0.0667433831990794,0.06979542719614922,869,793,0.0,0.0,0.0,4733,0,0.24057971014492754,0.9919330743949806,0.3872397503936549,3347,13800,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.012987012987012988,0.625,0.02544529262086514,24,1155,3.4086360931396484,0.26374804973602295,18639,5,1.2057360950323093,0.08768612495623529,3.452404737472534,0.11945542693138123,6831,2,0.6509852519229379,0.024000333971343935,1.531380295753479,0.8064442873001099,123117,31,1.933746622766284,0.4358785829972476,0.26041245460510254,0.9903250336647034,1494059,365,3.482891539696788,5.601647124974988,2.299339532852173,0.8366672396659851,30545,8,1.463292523782115,0.10079512500669807,6.250007291906513,0.0012101250467821956,6.2512174169532955,1.5268441659864038,7.778061582939699,0.015777000109665096
