method,representation,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedAvg,37f,5,42,iid,42,4096,0.1,40,40,0.425438841743226,248.99928350397386,62.12110087648034,311.1203843804542
FedAvg,37f,5,42,alpha_0p1,42,4096,0.1,40,38,0.3264527038404597,248.11844975303393,61.97886507981457,310.0973148328485
FedAvg,37f,5,42,alpha_0p5,42,4096,0.1,40,34,0.39603004253385027,250.81575908570085,62.67723095987458,313.4929900455754
FedAvg,37f,5,42,alpha_1p0,42,4096,0.1,40,40,0.41906815080798354,247.14001444925088,61.53558262321167,308.67559707246255
FedAvg,37f,5,43,iid,42,4096,0.1,40,37,0.42030266386938103,251.4869973771274,62.4302711650962,313.9172685422236
FedAvg,37f,5,43,alpha_0p1,42,4096,0.1,40,40,0.23197780578687457,248.3640932503622,61.05051154596731,309.4146047963295
FedAvg,37f,5,43,alpha_0p5,42,4096,0.1,40,36,0.3765667426835833,246.71983278833795,61.13355637562927,307.8533891639672
FedAvg,37f,5,43,alpha_1p0,42,4096,0.1,40,35,0.4462616688816353,246.4922102491837,61.525676625431515,308.0178868746152
FedAvg,37f,5,44,iid,42,4096,0.1,40,39,0.41948271776845836,249.71395808458328,62.38422262738459,312.09818071196787
FedAvg,37f,5,44,alpha_0p1,42,4096,0.1,40,32,0.20431408530096723,252.64269570901524,63.09427041793242,315.73696612694766
FedAvg,37f,5,44,alpha_0p5,42,4096,0.1,40,38,0.34041738513490183,249.72941070073284,62.143405458074994,311.87281615880784
FedAvg,37f,5,44,alpha_1p0,42,4096,0.1,40,40,0.36046005669382,250.0445056487806,62.22288875095546,312.2673943997361
