round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1e-05,0.5708354748196106,9.279185095126137e-05,0.5709280530395777,13255007.5,0.6277567068326206,0.8146244872943285,0.6537250346017703,0.5082089131040889,0.6537250346017703,0.5206926379759793,0.8788490305237039,0.7071232302448651,0.0,0.0,0.9858605355135922,0.8060637148919885,0.8869419624647951,2495335,2040247,0.12537908855915816,0.9957969608794051,0.22271634398105464,6186,49131,0.6264465093785623,0.9998897281799636,0.7702926559911651,18137,28949,0.8317816655896736,0.9999328665963364,0.9081391348276928,208540,250698,0.9806670064807398,0.7420110192837466,0.8448075777059875,72600,54932,0.0,0.0,0.0,19740,394786,0.007327586206896552,0.03238095238095238,0.01195079086115993,525,2320,0.5667433142662048,9.62591657298617e-05,0.5668396353721619,2651474.0,0.4002249538898468,2651004,648,5.420778279045706,3.5819792420370504,0.5776294469833374,9.395639062859118e-05,0.5777229070663452,2651476.0,0.394243448972702,2651004,648,5.3799720295592,3.0824864450260065,0.5718950629234314,9.08941074158065e-05,0.5719863772392273,2650701.75,0.39306798577308655,2651002,648,5.284829728048402,3.108231413003523,0.5737076997756958,9.177871834253892e-05,0.5737991333007812,2650682.25,0.3896211087703705,2651001,648,5.418372166032525,3.0747348179575056,0.5642009973526001,9.106950165005401e-05,0.5642912983894348,2650673.5,0.39928629994392395,2651000,648,5.304457937619033,3.059565322007984,15.90699724003207,0.01107113400939852,15.918068374041468,4.137573099986184,20.055641474027652,1.010839357972145
2,1e-05,0.4076904210320693,6.821959884300751e-06,0.4076970788941378,13255005.75,0.6454268188516359,0.6842860297696294,0.6355553166846539,0.493670564076233,0.6355553166846539,0.5133862939104645,0.7607897500972951,0.7083826396065401,0.0,0.0,0.9832561146428187,0.6582715346837198,0.7885941023760686,2495335,1670580,0.5353324641460234,0.995635305528613,0.6962862472443615,6186,11505,0.6406542551312396,0.9998897281799636,0.7809404874687796,18137,28307,0.30579397096195665,0.9999568428119305,0.468360073803473,208540,681933,0.98984241332733,0.7570385674931129,0.8579278048780488,72600,55525,0.0,0.0,0.0,19740,348665,0.0008147303242626691,0.0380952380952381,0.0015953416025206398,525,24548,0.4028167128562927,6.33099080005195e-06,0.4028230309486389,2651473.0,0.4369872510433197,2651004,648,1.6864090020872924,3.11515311896801,0.4099116325378418,6.787508937122766e-06,0.4099181294441223,2651474.5,0.4354735016822815,2651004,648,1.7547110915084234,3.1167803470161743,0.40689030289649963,7.395594820991391e-06,0.4068971872329712,2650704.0,0.4397450387477875,2651002,648,1.7674693977784437,2.9024329379899427,0.41190603375434875,6.893953468534164e-06,0.41191282868385315,2650680.0,0.4417712390422821,2651001,648,1.8023114049172801,2.7812353009940125,0.4069282114505768,6.70190320306574e-06,0.4069350063800812,2650674.25,0.44367069005966187,2651000,648,1.7178031613574212,3.318138206959702,15.233739911927842,0.008444679027888924,15.24218459095573,4.174726797034964,19.416911387990694,0.012817408074624836
3,1e-05,0.38444956818698134,4.0079733571470765e-06,0.38445357138916586,13255013.75,0.6123091023086543,0.6879144492696547,0.6507168784303411,0.4463662634989723,0.6507168784303411,0.46749926319351853,0.7660900432987947,0.7061008277405348,0.0,0.0,0.9874532843032259,0.6595583358547049,0.7908663630033738,2495335,1666731,0.15602189781021897,0.9951503394762367,0.2697515446299461,6186,39456,0.6493250742955351,0.9998897281799636,0.7873485868102288,18137,27929,0.336490121180615,0.9994437517982162,0.503472448686267,208540,619406,0.9945700052858356,0.8552617079889807,0.9196702979315861,72600,62431,0.0,0.0,0.0,19740,370993,0.0007034616173755019,0.045714285714285714,0.0013856012932278736,525,34117,0.382455974817276,3.861206096189562e-06,0.38245993852615356,2651476.5,0.4477100074291229,2651004,648,1.3331212465348656,3.058708612981718,0.3835512697696686,3.242557340854546e-06,0.38355445861816406,2651476.5,0.4390506446361542,2651004,648,1.1874107045712963,2.7624481879756786,0.38832926750183105,5.09667006554082e-06,0.3883342444896698,2650703.0,0.4386269748210907,2651002,648,1.5264511510888794,2.6319662139867432,0.3855845630168915,3.4578647500893567e-06,0.3855884075164795,2650681.25,0.43352001905441284,2651001,648,1.3148998178845623,2.306356377026532,0.3823275864124298,4.381834060041001e-06,0.3823316693305969,2650676.5,0.4399335980415344,2651000,648,1.3149566568056164,2.8719742520479485,13.63145364401862,0.012964082008693367,13.644417726027314,4.184987178014126,17.82940490404144,0.021584829955827445
4,1e-05,0.3724207874310511,3.0086781207860473e-06,0.37242383344808866,13255014.5,0.6055756224466808,0.6755333007451446,0.6488340797747018,0.4470801171068556,0.6488340797747018,0.4666172484322151,0.7570050485391489,0.6217989547576026,0.0,0.0,0.9871987928731959,0.6455069159050789,0.7805982973497799,2495335,1631643,0.15636271272542546,0.9951503394762367,0.2702607779436298,6186,39370,0.6544804937024071,0.9998897281799636,0.7911268158617982,18137,27709,0.33599724156599137,0.9999712285412871,0.5029872814412276,208540,620642,0.9948270339525945,0.8556060606060606,0.9199792654028436,72600,62440,0.0,0.0,0.0,19740,404704,0.0006945449283750543,0.045714285714285714,0.0013683010262257698,525,34555,0.36981916427612305,2.7891630907106446e-06,0.36982226371765137,2651477.25,0.44701892137527466,2651004,648,1.016532574052484,2.4653542359592393,0.37228912115097046,2.6341492684878176e-06,0.37229159474372864,2651477.0,0.4405157268047333,2651004,648,1.1036907841913695,2.5564558900077827,0.3721652626991272,2.4011994810280157e-06,0.37216776609420776,2650703.75,0.4423866868019104,2651002,648,1.054637324941077,2.3067467309883796,0.3761325180530548,4.162299774179701e-06,0.376136839389801,2650680.75,0.43246909976005554,2651001,648,1.1999799117627186,2.3591897480073385,0.3716987073421478,3.056763034692267e-06,0.37170150876045227,2650675.75,0.4419498145580292,2651000,648,1.1416847697952235,2.323830043023918,12.011576647986658,0.013549371040426195,12.025126019027084,4.316319138975814,16.341445158002898,0.019283696019556373
5,1e-05,0.36489831000581213,2.885393093857164e-06,0.3649012805793671,13255016.0,0.623675903481882,0.6752546823661861,0.648608267998365,0.5033915591033667,0.648608267998365,0.5291194683999456,0.7577803718522197,0.6211329449416981,0.0,0.0,0.9871933928281283,0.6452312014218532,0.7803949795094383,2495335,1630955,0.5511190689346464,0.9951503394762367,0.709380041484213,6186,11170,0.6526903005218643,0.9998897281799636,0.7898175166586822,18137,27785,0.33609532497590444,0.9999472523256929,0.5030941415174683,208540,620446,0.9959055219255286,0.8543250688705234,0.9196983963404236,72600,62279,0.0,0.0,0.0,19740,435877,0.0007373045374950079,0.045714285714285714,0.0014512032893941227,525,32551,0.36096325516700745,3.821678092208458e-06,0.36096692085266113,2651476.5,0.4491000473499298,2651004,648,1.0575433792943016,3.2625001359847374,0.368058443069458,2.0738336843351135e-06,0.36806046962738037,2651477.75,0.4399857521057129,2651004,648,0.9548923715498026,3.075168973999098,0.3642348051071167,1.771518100213143e-06,0.36423665285110474,2650704.0,0.4399619400501251,2651002,648,0.8689957333191296,3.137575544998981,0.3667066693305969,3.1723077427159296e-06,0.36671024560928345,2650682.0,0.4403280019760132,2651001,648,1.1251722460999487,3.3186039819847792,0.3645286560058594,3.5876018955605105e-06,0.36453235149383545,2650675.75,0.43935343623161316,2651000,648,1.1953399923262393,3.2666174130281433,16.06046604999574,0.01198330899933353,16.072449358995073,4.192047864955384,20.264497223950457,0.0167612949735485
6,1e-05,0.3595398279941073,1.7131926465302767e-06,0.35954146416777777,13255011.0,0.6218926254504877,0.5805751236324747,0.6635060796494751,0.46880781165131674,0.6635060796494751,0.4712734999724617,0.703160476883612,0.620285350686,0.0,0.0,0.9863719023417543,0.6058036295727828,0.750605277583577,2495335,1532569,0.5524544557121063,0.9951503394762367,0.7104853136361013,6186,11143,0.6554740304333683,0.9998897281799636,0.7918522399790411,18137,27667,0.08820572790752589,0.18807902560659825,0.12009093622982066,208540,444665,0.9965667714817429,0.8556198347107438,0.920730442000415,72600,62332,0.0,0.0,0.0,19740,539340,0.002581793682719686,1.0,0.0051502903782765655,525,203347,0.35374510288238525,1.2903121842100518e-06,0.3537463843822479,2651475.5,0.44532713294029236,2651004,648,0.7494390141765142,3.12310011300724,0.3610271215438843,1.8290335219717235e-06,0.3610288202762604,2651475.0,0.43642786145210266,2651004,648,0.8157240068060738,3.304151934979018,0.3621932566165924,1.88904903097864e-06,0.36219489574432373,2650703.0,0.4391513168811798,2651002,648,0.9378968335243683,3.236778841994237,0.36205732822418213,1.9270892153144814e-06,0.3620593845844269,2650681.5,0.444013774394989,2651001,648,0.9285756172006123,3.14300042798277,0.35867759585380554,1.630569727240072e-06,0.3586791157722473,2650676.0,0.43873217701911926,2651000,648,0.8937889917577944,2.954350288026035,15.7613816059893,0.0018676799954846501,15.763249285984784,4.138020230981056,19.90126951696584,0.022681672067847103
7,1e-05,0.354627624745212,1.8046911954403171e-06,0.3546294542417547,13255012.75,0.6316896360555576,0.6809007810176518,0.6497009816302238,0.5062644279450732,0.6497009816302238,0.5320845849802874,0.7615928357232428,0.6211414942799917,0.0,0.0,0.9873171134561504,0.6515758405184073,0.785056737840348,2495335,1646786,0.5701583773270353,0.9951503394762367,0.724960254372019,6186,10797,0.6556162105491486,0.9998897281799636,0.791955980610507,18137,27661,0.33133239377092366,0.9999568428119305,0.4977402134594247,208540,629371,0.9974629070588991,0.8556198347107438,0.921112725762923,72600,62276,0.0,0.0,0.0,19740,431952,0.0019639934533551553,0.045714285714285714,0.0037661828167908982,525,12220,0.3528245687484741,2.0129079985053977e-06,0.35282641649246216,2651476.75,0.44032788276672363,2651004,648,0.8859727786981425,2.5651362710050307,0.3556705117225647,1.1798349532909924e-06,0.35567164421081543,2651478.0,0.43744030594825745,2651004,648,0.6665702421761588,2.8237791970022954,0.35388320684432983,1.360157170893217e-06,0.35388460755348206,2650702.25,0.43488913774490356,2651002,648,0.7689917320258797,2.782453230000101,0.3581969738006592,2.925828539446229e-06,0.35820022225379944,2650681.0,0.4361031949520111,2651001,648,1.0060348207274386,2.867944671015721,0.35256314277648926,1.5448557633135351e-06,0.35256457328796387,2650674.75,0.4398449659347534,2651000,648,0.7216008656911976,2.822807621967513,13.862120990990661,0.0034446129575371742,13.865565603948198,4.282821873028297,18.148387476976495,0.016172097995877266
8,1e-05,0.3521470273981258,1.5944995578358207e-06,0.35214872486917687,13255012.5,0.6324200444026249,0.6550736371360725,0.6455563785492712,0.5044901239052076,0.6455563785492712,0.5279738047896455,0.7430878806515877,0.6176588910709127,0.0,0.0,0.987315046860517,0.622366535956094,0.7634700578939464,2495335,1572966,0.5705413422321097,0.9949886841254445,0.7252268174855662,6186,10788,0.6354684981428271,0.9998897281799636,0.7770755222281736,18137,28538,0.3394920334129422,0.9999712285412871,0.5068929852344393,208540,614253,0.9977361762250337,0.8559641873278236,0.9214287832507932,72600,62284,0.0,0.0,0.0,19740,504892,0.0008777704630239193,0.045714285714285714,0.0017224674346000646,525,27342,0.34901511669158936,1.2426345392668736e-06,0.34901657700538635,2651476.75,0.44255080819129944,2651004,648,0.6567602263829241,2.4272199959959835,0.35415759682655334,1.4887987163092475e-06,0.3541592061519623,2651476.0,0.43905478715896606,2651004,648,0.7634592307485861,2.5296448469744064,0.35138535499572754,1.4159027159621473e-06,0.3513869643211365,2650702.5,0.434720903635025,2651002,648,0.7139767242795086,2.4405008039902896,0.35500088334083557,1.3873172974854242e-06,0.35500213503837585,2650681.0,0.4406018555164337,2651001,648,0.8980624947863337,3.135548443009611,0.35117655992507935,2.4379849037359236e-06,0.3511790931224823,2650676.25,0.43655526638031006,2651000,648,0.8308442103639003,2.4263485609553754,12.959262650925666,0.001386775984428823,12.960649426910095,4.228080817032605,17.1887302439427,0.01325493911281228
9,1e-05,0.3496398579405338,1.2936955471948045e-06,0.3496411640502036,13255012.5,0.6339522803042277,0.648416926527341,0.6444104883528785,0.5075363850364183,0.6444104883528785,0.529454096852257,0.7379681743235229,0.6177578012643739,0.0,0.0,0.9865894162168071,0.6148513125492169,0.7575750842498982,2495335,1555115,0.5722521852334015,0.9948270287746525,0.7265643447461629,6186,10754,0.6557584523594286,0.9998897281799636,0.7920597484276729,18137,27655,0.339501982140386,0.9999712285412871,0.5069040746255051,208540,614235,0.9977032171021988,0.8556198347107438,0.9212151771082818,72600,62261,0.0,0.0,0.0,19740,525765,0.0009494422027059103,0.045714285714285714,0.001860248808278107,525,25278,0.34776365756988525,1.405957959832449e-06,0.3477649390697479,2651476.75,0.43975716829299927,2651004,648,0.7301299792058459,2.739983132982161,0.35193517804145813,1.1039338687623967e-06,0.3519364595413208,2651475.25,0.4390702545642853,2651004,648,0.6190899830483292,2.6556437669787556,0.350528746843338,1.3724056771025062e-06,0.35053008794784546,2650702.5,0.43466055393218994,2651002,648,0.7219465624338961,2.258925929025281,0.35064026713371277,1.4640831977885682e-06,0.35064172744750977,2650682.0,0.43878254294395447,2651001,648,0.6924968668922431,2.3399486819980666,0.34733128547668457,1.1221191016375087e-06,0.3473324775695801,2650676.0,0.44023990631103516,2651000,648,0.7061673495919654,2.2833430119790137,12.277844522963278,0.001712527999188751,12.279557050962467,4.152231374988332,16.4317884259508,0.02575367403915152
10,1e-05,0.3477118442545003,1.3788447196661628e-06,0.3477132871052747,13255009.0,0.6332985558173589,0.6567371944547145,0.6457542529604934,0.5075437039492356,0.6457542529604934,0.5304572838010742,0.7443085557632095,0.617190404710809,0.0,0.0,0.986819449389245,0.6242576648025215,0.7647425435206252,2495335,1578538,0.5721457791000372,0.9948270287746525,0.7264785739582104,6186,10756,0.6556636176289815,0.9998897281799636,0.7919905668617346,18137,27659,0.3395135897260564,0.9999712285412871,0.5069170128616817,208540,614214,0.9977192418888532,0.8556198347107438,0.9212220080083049,72600,62260,0.0,0.0,0.0,19740,502219,0.0009442499114765708,0.045714285714285714,0.0018502813969624547,525,25417,0.3452214300632477,1.2929348258694517e-06,0.3452228307723999,2651475.0,0.437397301197052,2651004,648,0.7679859093124756,2.2775091390358284,0.3494810163974762,9.431485636923753e-07,0.3494820296764374,2651476.25,0.43642595410346985,2651004,648,0.5936448324073118,2.4506254689767957,0.3494771122932434,1.6416064454460866e-06,0.3494787812232971,2650703.75,0.42935124039649963,2651002,648,0.7803880186063186,2.6104811300174333,0.34990355372428894,1.8338372456128127e-06,0.349905401468277,2650680.5,0.4325777292251587,2651001,648,0.7674201718335222,2.567973894008901,0.34447628259658813,1.1828502692878828e-06,0.3444775938987732,2650673.5,0.4360294044017792,2651000,648,0.6674840481584705,2.7332186209969223,12.63980825303588,0.013147194986231625,12.652955448022112,4.327053048997186,16.9800084970193,0.016711682954337448
