epoch,weighted_train_loss,weighted_val_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_worst_class_f1,val_worst_class_f1_id,val_worst_class_f1_name,val_worst_class_recall,val_worst_class_recall_id,val_worst_class_recall_name,val_precision_class0_Benign,val_recall_class0_Benign,val_f1_class0_Benign,val_support_class0_Benign,val_predicted_count_class0_Benign,val_precision_class1_Bot,val_recall_class1_Bot,val_f1_class1_Bot,val_support_class1_Bot,val_predicted_count_class1_Bot,val_precision_class2_BruteForce,val_recall_class2_BruteForce,val_f1_class2_BruteForce,val_support_class2_BruteForce,val_predicted_count_class2_BruteForce,val_precision_class3_DDoS,val_recall_class3_DDoS,val_f1_class3_DDoS,val_support_class3_DDoS,val_predicted_count_class3_DDoS,val_precision_class4_DoS,val_recall_class4_DoS,val_f1_class4_DoS,val_support_class4_DoS,val_predicted_count_class4_DoS,val_precision_class5_Infiltration,val_recall_class5_Infiltration,val_f1_class5_Infiltration,val_support_class5_Infiltration,val_predicted_count_class5_Infiltration,val_precision_class6_Web Attacks,val_recall_class6_Web Attacks,val_f1_class6_Web Attacks,val_support_class6_Web Attacks,val_predicted_count_class6_Web Attacks
1,0.39513689279556274,0.6065953969955444,0.6185544243428807,0.8129633659764574,0.48049021701726613,0.8129633659764574,0.4911225521826378,0.7306726814148431,0.005182344492648474,6,Web Attacks,0.18695214347367412,3,DDoS,0.9999274315134908,0.6405448567026071,0.7808707016054668,2495335,1598490,0.5781807930840067,0.9946653734238603,0.7312811980033278,6186,10642,0.6572319066429891,0.9998897281799636,0.793133610321452,18137,27593,0.08753943394743638,0.18695214347367412,0.1192436210152851,208540,445365,0.9962718986461937,0.8686914600550965,0.9281178487597772,72600,63303,0.04168215142403459,1.0,0.08002854108050693,19740,473584,0.002597903862711915,1.0,0.005182344492648474,525,202086
2,0.34019553661346436,0.5601193308830261,0.6696560835401407,0.7910838352106068,0.534343823242138,0.7910838352106068,0.5576956880205176,0.7529447438265505,0.002281585702062934,6,Web Attacks,0.045714285714285714,6,Web Attacks,0.9999084924706461,0.6305754537967848,0.7734117871425145,2495335,1573641,0.7044046799724708,0.992725509214355,0.8240740740740741,6186,8718,0.6580666231221424,0.9998897281799636,0.7937411095305832,18137,27558,0.33976017465541397,0.9999904095137624,0.5071942795991828,208540,613780,0.9986698547924815,0.8686914600550965,0.9291570596165037,72600,63151,0.03842694791922165,1.0,0.07400992047870246,19740,513702,0.0011699897625895774,0.045714285714285714,0.002281585702062934,525,20513
3,0.3324592709541321,0.5080193281173706,0.8198863336267216,0.8153820400455898,0.6171467067540133,0.8153820400455898,0.6389882416412574,0.8890052517673271,0.0015622457282343368,6,Web Attacks,0.045714285714285714,6,Web Attacks,0.9999294094323017,0.8004107664902709,0.8891144859662271,2495335,1997434,0.6930022573363431,0.9925638538635629,0.8161637644556693,6186,8860,0.6571014492753623,0.9999448640899818,0.7930559503246825,18137,27600,0.9285211737988155,0.9998945046513859,0.9628870263905244,208540,224570,0.9986073305057922,0.8691460055096418,0.9293899313635962,72600,63188,0.042070624942723,1.0,0.08074428725986857,19740,469211,0.0007947019867549669,0.045714285714285714,0.0015622457282343368,525,30200
4,0.32758456468582153,0.5384613871574402,0.817354309350766,0.7895718380596833,0.6160285702053557,0.7895718380596833,0.6280840501186928,0.8882489893960694,0.0023209709395096948,6,Web Attacks,0.045714285714285714,6,Web Attacks,0.999907604733048,0.797993055040706,0.8876122492326901,2495335,1991444,0.6637249736564805,0.8145813126414484,0.7314559442589635,6186,7592,0.660199475829936,1.0,0.7953254840053499,18137,27472,0.9479950358897895,0.9999952047568812,0.9733010671638831,208540,219979,0.9990020908572514,0.8687190082644628,0.9293165944655645,72600,63132,0.04018009802804058,1.0,0.0772560407648896,19740,491288,0.0011907124429450288,0.045714285714285714,0.0023209709395096948,525,20156
5,0.3261687159538269,0.5212987661361694,0.824384637989297,0.8083294677486927,0.6689255494301388,0.8083294677486927,0.6652865190820361,0.8941956952692363,0.003030111735370242,6,Web Attacks,0.045714285714285714,6,Web Attacks,0.9999049997015698,0.8056349147509252,0.8923185499755318,2495335,2010520,0.9989672977624785,0.9382476559974136,0.9676558852950984,6186,5810,0.6616203990807281,1.0,0.7963556531284303,18137,27413,0.9806768964528068,0.9999904095137624,0.9902394898228103,208540,212647,0.9991445273513616,0.8687190082644628,0.9293782188722619,72600,63123,0.04059773689211368,1.0,0.07802772474474973,19740,486234,0.0015669887699138157,0.045714285714285714,0.003030111735370242,525,15316
6,0.3243447542190552,0.5150657296180725,0.8227721252591665,0.709987695302935,0.6703390841139134,0.709987695302935,0.571189194201957,0.8938221607201938,0.00505462253383336,6,Web Attacks,0.17714285714285713,6,Web Attacks,0.9999300945446669,0.813988101797955,0.8974287828747528,2495335,2031315,0.9984674329501916,0.21063692208212093,0.3478841276198104,6186,1305,0.6612944393801277,0.9999448640899818,0.7961020148369256,18137,27425,0.9892780482145023,0.8994821137431668,0.9422455299622505,208540,189611,0.9990179151288591,0.8687190082644628,0.929323441218292,72600,63131,0.04182176808198253,1.0,0.08028584036783441,19740,472003,0.0025638904970639318,0.17714285714285713,0.00505462253383336,525,36273
7,0.32330450415611267,0.46414345502853394,0.814366074064989,0.8192522384263644,0.6689379907962313,0.8192522384263644,0.6523812533789582,0.8889500576075487,0.005048531040323106,6,Web Attacks,0.29523809523809524,6,Web Attacks,0.9999080403396376,0.8104883713008474,0.8952888260876976,2495335,2022626,0.9996615905245347,0.9550598124797931,0.9768518518518519,6186,5910,0.6613550175029171,1.0,0.7961633853515068,18137,27424,0.9778948900858931,0.8052603817013523,0.8832209117326075,208540,171725,0.9991445273513616,0.8687190082644628,0.9293782188722619,72600,63123,0.042055835833106084,1.0,0.0807170487164599,19740,469376,0.0025460339361684653,0.29523809523809524,0.005048531040323106,525,60879
8,0.3239733576774597,0.47428008913993835,0.8504078072698128,0.7926148603767584,0.6704976598242364,0.7926148603767584,0.6494002435799577,0.9105563384864986,0.004831815647649135,6,Web Attacks,0.17333333333333334,6,Web Attacks,0.999909334639674,0.844157998825809,0.9154562283259196,2495335,2106648,0.9997890740350137,0.7662463627546072,0.867575729843507,6186,4741,0.6618859937230859,1.0,0.7965480137903774,18137,27402,0.9797669369303224,0.8958473194590966,0.9359297426468747,208540,190678,0.9992395075811588,0.8687190082644628,0.9294193063507151,72600,63117,0.05044271532063322,1.0,0.09604086845466156,19740,391335,0.0024500565397663023,0.17333333333333334,0.004831815647649135,525,37142
9,0.32289576530456543,0.5693004131317139,0.8352925829731559,0.7048992618507434,0.693598429906591,0.7048992618507434,0.5862121702491426,0.9005038633965979,0.07228915662650602,6,Web Attacks,0.045714285714285714,6,Web Attacks,0.9999305898397212,0.8197969410920778,0.90094810890205,2495335,2045810,0.9983870967741936,0.20012932428063368,0.3334231079989227,6186,1240,0.6614873983295035,0.9999448640899818,0.7962418228915134,18137,27417,0.9816417025202647,0.9999904095137624,0.9907311070887315,208540,212438,0.9991603561357372,0.8687190082644628,0.9293850665330602,72600,63122,0.04191999524312111,1.0,0.0804668217032144,19740,470897,0.17266187050359713,0.045714285714285714,0.07228915662650602,525,139
10,0.32283008098602295,0.5192742347717285,0.8282136910802772,0.7770128268618973,0.6707177155202443,0.7770128268618973,0.6352331407681969,0.8976243006952878,0.007226918614288082,6,Web Attacks,0.20761904761904762,6,Web Attacks,0.9999093652939245,0.8223376821148263,0.9024716499883783,2495335,2052194,0.9995256166982922,0.6812156482379567,0.8102288021534321,6186,4216,0.661258567886831,1.0,0.7960934928124657,18137,27428,0.9888836146466933,0.8591157571688884,0.9194434893280714,208540,181174,0.9991604359396781,0.868801652892562,0.929432394200165,72600,63128,0.0426089452883011,1.0,0.08173523828057877,19740,463283,0.0036774628879892037,0.20761904761904762,0.007226918614288082,525,29640
