epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_attack_precision,val_attack_recall,val_attack_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_roc_auc,val_pr_auc,val_mcc,val_specificity,val_false_positive_rate,val_false_negative_rate,val_predicted_positive_rate,val_tn,val_fp,val_fn,val_tp
1,0.15558629129755458,0.03934004849561262,0.9930050035979049,0.9959542693012894,0.8509138693107156,0.9991583672324309,0.9190967741935484,0.9254393805301384,0.9959542693012894,0.9577206225664834,0.9940376378213378,0.9930050035979049,0.9932725918842377,0.998524778637647,0.9487465475095471,0.9186914108726999,0.9927501713701479,0.007249828629852099,0.0008416327675690841,0.04669466896486325,341788,2496,12,14246
2,0.04070739838790612,0.03174665899509166,0.9932197622593727,0.9964022530101724,0.8544201378483668,0.9998597278720718,0.9214361891219339,0.9272071437244653,0.9964022530101724,0.9589465927850929,0.9942051646014207,0.9932197622593727,0.9934736732368606,0.9990739437699526,0.969110944836391,0.9210137646026038,0.992944778148273,0.0070552218517270626,0.00014027212792818068,0.04653569177390655,341855,2429,2,14256
3,0.03434667511499842,0.02886081367877013,0.9944720562723475,0.9970543309458302,0.8780487804878049,0.9998597278720718,0.9350036072670034,0.9390214688811451,0.9970543309458302,0.9660584385975997,0.9951448029945837,0.9944720562723475,0.9946433791755831,0.9991861124990353,0.9728510466932551,0.9342751682145324,0.9942489340195885,0.005751065980411521,0.00014027212792818068,0.04528339776093177,342304,1980,2,14256
4,0.03206296931742308,0.02848826462036886,0.9946477679044575,0.9971458251773366,0.8814691151919867,0.9998597278720718,0.9369393053136604,0.9407316367708018,0.9971458251773366,0.9670722947482504,0.9952808191443313,0.9946477679044575,0.9948087104851517,0.9992376855788917,0.9749430127693801,0.9361792419065453,0.9944319224826016,0.0055680775173984265,0.00014027212792818068,0.045107686128821725,342367,1917,2,14256
5,0.030523577087563054,0.026811580892962875,0.994795588801312,0.9972227965149533,0.8843672456575682,0.9998597278720718,0.9385739680031602,0.9421807024556772,0.9972227965149533,0.9679283239636599,0.9953960688374478,0.994795588801312,0.9949480334543748,0.9992825335953017,0.9763616123307257,0.9377895828808472,0.9945858651578348,0.005414134842165189,0.00014027212792818068,0.044959865231967246,342420,1864,2,14256
6,0.030072405294061116,0.0258357300289578,0.9949015735952831,0.997277983511735,0.8864569083447332,0.9998597278720718,0.9397495056031642,0.9432255341233098,0.997277983511735,0.9685438347302193,0.9954791682615711,0.9949015735952831,0.9950480581252064,0.9993229944917599,0.9783675206174436,0.9389489865796783,0.9946962391513983,0.005303760848601736,0.00014027212792818068,0.0448538804379961,342458,1826,2,14256
7,0.028775558490494242,0.025326390157919335,0.9950298709774587,0.9973784045662217,0.8889512408030926,0.9999298639360359,0.9411803538420913,0.9444741605645809,0.9973784045662217,0.969292833344862,0.995581163697282,0.9950298709774587,0.9951694368121864,0.9993402447317489,0.9796540545437852,0.9403655647725983,0.9948269451964076,0.0051730548035923835,7.013606396409034e-05,0.04473116120287163,342503,1781,1,14257
8,0.028169603829382175,0.024977176753890606,0.9951135431832254,0.9974555889904846,0.8905683947532792,1.0,0.94211708735298,0.9452841973766396,0.9974555889904846,0.9697830929007364,0.9956482759966538,0.9951135431832254,0.9952487319246272,0.9993630276870578,0.979769836358536,0.9412950922514182,0.9949111779809692,0.0050888220190308,0.0,0.04465306714415605,342532,1752,0,14258
9,0.027774798471964054,0.024419821523588226,0.9951804809478387,0.9974568281932273,0.8919544544544544,0.9999298639360359,0.9428609218966999,0.9459757676203869,0.9974568281932273,0.9701725297210808,0.9957005917662333,0.9951804809478387,0.9953119574139289,0.9993981786313391,0.980955247259057,0.9420269440127019,0.9949837924504188,0.00501620754958116,7.013606396409034e-05,0.04458055123249159,342557,1727,1,14257
10,0.02694319870325051,0.02422001227755508,0.9950661289332909,0.9974309000708717,0.8896237599051601,1.0,0.9415882450057784,0.94481187995258,0.9974309000708717,0.9695062639008819,0.9956107110707471,0.9950661289332909,0.9952038728389573,0.9994067765552845,0.981742695183567,0.9407723928921987,0.9948618001417434,0.005138199858256556,0.0,0.04470048139409051,342515,1769,0,14258
11,0.026876225307728447,0.023536771757972374,0.9952055826095687,0.9974698987977283,0.8924569640062597,0.9999298639360359,0.9431416002381504,0.9462270224346367,0.9974698987977283,0.9703194370141224,0.9957205749414101,0.9952055826095687,0.9953357329008716,0.9994299560432481,0.9832047433823075,0.9423046464734648,0.9950099336594207,0.004990066340579289,7.013606396409034e-05,0.04455544957076159,342566,1718,1,14257
12,0.026119054669560063,0.023273639515790267,0.9952529968595032,0.9975282034599342,0.8933583959899749,1.0,0.9436759547289695,0.9466791979949875,0.9975282034599342,0.9705990166356089,0.9957592248886464,0.9952529968595032,0.9953808007189258,0.9994440448189323,0.9837621818070643,0.9428372052509816,0.9950564069198685,0.004943593080131519,0.0,0.044513613467878244,342582,1702,0,14258
13,0.025994179598205137,0.0232468332064551,0.9951358557714298,0.9974672073055966,0.8910136232970879,1.0,0.9423661599471249,0.9455068116485439,0.9974672073055966,0.969913467962334,0.9956659812266621,0.9951358557714298,0.9952698498507248,0.9994608204012868,0.9841135679377682,0.9415413520954277,0.994934414611193,0.0050655853888069155,0.0,0.044630754555951606,342540,1744,0,14258
14,0.025491875810882116,0.022715290089794907,0.9953645598005255,0.9975526792929008,0.8956527201909787,0.9999298639360359,0.9449231177094379,0.9478249007698145,0.9975526792929008,0.971251789860909,0.9958476597986338,0.9953645598005255,0.9954864579206102,0.9994711430844008,0.9847001459731449,0.944068809424607,0.9951754946497658,0.004824505350234109,7.013606396409034e-05,0.044396472379804874,342623,1661,1,14257
15,0.025498300283979113,0.02311392491126506,0.9953059892564888,0.9974885654731389,0.8945221810880342,0.9998597278720718,0.9442622950819672,0.9472581717308065,0.9974885654731389,0.9709060587711824,0.9957998991933397,0.9953059892564888,0.9954307581238298,0.9994750227484865,0.9839086704083666,0.9434104647511554,0.9951174030742062,0.004882596925793821,0.00014027212792818068,0.044449464776790445,342603,1681,2,14256
16,0.025206985453323637,0.022796980193142094,0.9954593883003944,0.9975684413895336,0.8976199471099358,0.9998597278720718,0.945985401459854,0.948807055210253,0.9975684413895336,0.9718077424218262,0.9959230877473486,0.9954593883003944,0.9955763494422473,0.9994905469051549,0.985158152809172,0.9451184623010851,0.9952771549069954,0.0047228450930046125,0.00014027212792818068,0.04429606573288485,342658,1626,2,14256
17,0.025122579717433726,0.023213669455167632,0.9952083716830943,0.9975049668297103,0.892463695543315,1.0,0.9431765561950123,0.9462318477716575,0.9975049668297103,0.9703376411316476,0.9957236456846243,0.9952083716830943,0.9953385175067945,0.9994655177802846,0.9837816308162299,0.9423429537572802,0.9950099336594207,0.004990066340579289,0.0,0.04455823864428714,342566,1718,0,14258
18,0.0250069394882007,0.02283923769767382,0.9954231303445621,0.9975831773700697,0.8968358809838334,0.9999298639360359,0.945581163986072,0.948416481255681,0.9975831773700697,0.9715961354053974,0.9958947102646026,0.9954231303445621,0.9955420523625022,0.9994758203973999,0.9843990931062938,0.9447211176390798,0.9952364908041036,0.004763509195896411,7.013606396409034e-05,0.0443379018357682,342644,1640,1,14257
19,0.02474675489152165,0.022533024005081632,0.9954538101533432,0.9976327682959417,0.8974068479355488,1.0,0.9459298082664367,0.9487034239677744,0.9976327682959417,0.9717784797397505,0.9959202180995952,0.9954538101533432,0.9955713231211447,0.9995086968556343,0.9853919230713647,0.945070424916474,0.9952655365918834,0.004734463408116555,0.0,0.044312800174038186,342654,1630,0,14258
20,0.024868191689721934,0.022923460056752838,0.9952864657418099,0.9975120151900091,0.8940800200677286,0.9999298639360359,0.9440471460733678,0.9470385505889204,0.9975120151900091,0.9707933727105716,0.9957851186166183,0.9952864657418099,0.9954123858029565,0.9994953375859539,0.9855791474497102,0.9432010393783811,0.9950941664439823,0.004905833556017706,7.013606396409034e-05,0.04447456643852045,342595,1689,1,14257
