method,dataset,input_dim,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedAvg,nf_cse_cic_ids2018_v2,36,5,42,iid,42,4096,0.1,40,38,0.64096443373483,397.39986974938074,177.32928555109538,574.7291553004761
FedAvg,nf_cse_cic_ids2018_v2,36,5,42,alpha_0p1,42,4096,0.1,40,35,0.5763334381303559,416.4805889685522,159.13582576223416,575.6164147307863
FedAvg,nf_cse_cic_ids2018_v2,36,5,42,alpha_0p5,42,4096,0.1,40,40,0.7685692858621612,409.79109665204305,159.82462383399252,569.6157204860356
FedAvg,nf_cse_cic_ids2018_v2,36,5,42,alpha_1p0,42,4096,0.1,40,40,0.6424800096688587,400.16105254611466,167.38439962896518,567.5454521750798
FedAvg,nf_cse_cic_ids2018_v2,36,5,43,iid,42,4096,0.1,40,40,0.6405014565113224,390.8815234603826,168.46790404611966,559.3494275065023
FedAvg,nf_cse_cic_ids2018_v2,36,5,43,alpha_0p1,42,4096,0.1,40,33,0.45197525875126193,414.94173663906986,162.31949753587833,577.2612341749482
FedAvg,nf_cse_cic_ids2018_v2,36,5,43,alpha_0p5,42,4096,0.1,40,38,0.6722247867512142,409.4548301536124,161.55616918299347,571.0109993366059
FedAvg,nf_cse_cic_ids2018_v2,36,5,43,alpha_1p0,42,4096,0.1,40,3,0.6061103938348174,399.2177561367862,166.2340636010631,565.4518197378493
FedAvg,nf_cse_cic_ids2018_v2,36,5,44,iid,42,4096,0.1,40,37,0.6424690761443339,394.96240386605496,167.28432422404876,562.2467280901037
FedAvg,nf_cse_cic_ids2018_v2,36,5,44,alpha_0p1,42,4096,0.1,40,34,0.5859995275886402,411.86906454886775,161.42659132793779,573.2956558768055
FedAvg,nf_cse_cic_ids2018_v2,36,5,44,alpha_0p5,42,4096,0.1,40,26,0.6809082666944776,430.17995576618705,160.43269187182887,590.6126476380159
FedAvg,nf_cse_cic_ids2018_v2,36,5,44,alpha_1p0,42,4096,0.1,40,36,0.6481535318070195,396.3066015585209,160.93417579488596,557.2407773534069
